series,year,ordinal,date,category,name,rankland_id,xcpcio_id,pta_id,archive_id
CCPC,2025,11,2025-10-26,Girls,girls,ccpc2025ladies,,1978758178821128192,
CCPC,2025,11,2025-10-26,Vocational,vocational,,,1978768358019448832,
ICPC,2025,50,2025-10-25,Warmup,chengdu,,icpc/50th/chengdu-warmup,,
ICPC,2025,50,2025-10-19,Regional,xian,icpc2025xi_an,icpc/50th/xian,,50_ICPC_西安
Other,2025,,2025-09-27,School,cityudg,cityudg2025,,,
CCPC,2025,11,2025-09-20,Online,online,,,1967841176776331264,11_CCPC_online
ICPC,2025,50,2025-09-14,Online,online2,,,1964904761885741056,50_ICPC_online2
CCPC,2025,11,2025-09-13,Invitational,nanchang,ccpc2025invitational-nanchang,ccpc/11th/nanchang-invitational,,
Other,2025,2,2025-09-13,Provincial,jiangxi,jxccpc2nd,,,
CCPC,2025,11,2025-09-12,Warmup,nanchang,,ccpc/11th/nanchang-invitational-warmup,,
ICPC,2025,50,2025-09-07,Online,online1,,,1962439589388427264,50_ICPC_online1
ICPC,2024,49,2025-09-04,Final,worldfinals,icpc49thworldfinals,icpc/49th/world-finals,,
ICPC,2024,49,2025-09-02,Warmup,worldfinals,,icpc/49th/world-finals-dress-rehearsal,,
Other,2025,3,2025-08-24,Final,ucupsemifinals,ucup3rdsemifinals,,,
Other,2025,,2025-07-05,Provincial,shanghai,shcpc2025,provincial-contest/2025/shanghai,,
Other,2025,,2025-07-05,Warmup,shanghai,,provincial-contest/2025/shanghai-warmup,,
Other,2025,18,2025-06-22,Provincial,neimenggu,nmcpc18th,,1935575958119424000,
CCPC,2025,11,2025-06-21,Invitational,fujian,ccpc2025invitational-fujian,,1934898936967766016,
Other,2025,12,2025-06-21,Provincial,fujian,fjcpc12th,,,
Other,2025,17,2025-06-08,Provincial,sichuan,sccpc17th,provincial-contest/2025/sichuan,,
ICPC,2025,50,2025-06-08,Invitational,srni,icpc2025srni,,,
Other,2025,,2025-06-07,Warmup,sichuan,,provincial-contest/2025/sichuan-warmup,,
CCPC,2025,11,2025-06-02,Invitational,zhengzhou,ccpc2025invitational-zhengzhou,ccpc/11th/zhengzhou-invitational,,
Other,2025,10,2025-06-02,Provincial,jiangsu,jscpc10th,provincial-contest/2025/jiangsu,,
CCPC,2025,11,2025-06-02,Preliminary,guangdong,ccpc2025invitational-guangdong-preliminary,,1925946171279802368,
Other,2025,7,2025-06-02,Provincial,henan,haccpc7th,,,
Other,2025,22,2025-06-02,Provincial,guangdong,gdcpc22nd,,,
Other,2025,,2025-06-01,Warmup,jiangsu,,provincial-contest/2025/jiangsu-warmup,,
CCPC,2025,11,2025-05-25,Invitational,northeast,ccpc2025invitational-northeast,ccpc/11th/northeastern,,
Other,2025,15,2025-05-25,Provincial,shandong,sdcpc15th,provincial-contest/2025/shandong,,
Other,2025,8,2025-05-25,Provincial,guangxi,gxcpc8th,,,
Other,2025,19,2025-05-25,Provincial,northeast,northeastcpc19th,,,
CCPC,2025,11,2025-05-24,Warmup,northeast,,ccpc/11th/northeastern-warmup,,
Other,2025,18,2025-05-24,Provincial,jilin,jlcpc18th,provincial-contest/2025/jilin,,
Other,2025,,2025-05-23,Warmup,jilin,,provincial-contest/2025/jilin-warmup,,
ICPC,2025,50,2025-05-18,Invitational,nanchang,icpc2025invitational-nanchang,icpc/50th/nanchang-invitational,,
ICPC,2025,50,2025-05-18,Warmup,nanchang,,icpc/50th/nanchang-invitational-warmup,,
Other,2025,9,2025-05-18,Provincial,hebei,hecpc9th,provincial-contest/2025/hebei,,
Other,2025,,2025-05-18,Provincial,jiangxi,jxcpc2025,,,
Other,2025,17,2025-05-18,School,sdutpc17,sdutpc17,,,
Other,2025,9,2025-05-17,Warmup,hebei,,provincial-contest/2025/hebei-warmup,,
Other,2025,16,2025-05-11,Provincial,henan,haicpc16th,provincial-contest/2025/henan,,
Other,2025,20,2025-05-11,Provincial,heilongjiang,hlcpc20th,,1915280742287147008,
CCPC,2024,10,2025-05-11,Final,final,ccpc2024final,,1919646713470414848,
Other,2025,13,2025-05-10,Warmup,shaanxi,,provincial-contest/2025/shaanxi-warmup,,
Other,2025,13,2025-05-10,Provincial,shaanxi,sncpc13th,provincial-contest/2025/shaanxi,,
Other,2025,,2025-05-10,Warmup,henan,,provincial-contest/2025/henan-warmup,,
Other,2025,13,2025-05-10,Provincial,chongqing,cqcpc13th,,1917126683478355968,
ICPC,2025,50,2025-05-04,Invitational,xian,icpc2025invitational-xi_an,,,
ICPC,2025,50,2025-04-27,Invitational,wuhan,icpc2025invitational-wuhan,icpc/50th/wuhan-invitational,,
ICPC,2025,50,2025-04-26,Warmup,wuhan,,icpc/50th/wuhan-warmup,,
Other,2025,22,2025-04-26,Provincial,zhejiang,zjcpc22nd,provincial-contest/2025/zhejiang,,
Other,2025,,2025-04-26,Warmup,zhejiang,,provincial-contest/2025/zhejiang-warmup,,
Other,2025,,2025-04-20,Provincial,beijing,bjcpc2025,,,
Other,2025,2,2025-02-22,Final,ucupfinals,ucup2ndfinals,,,
ICPC,2024,49,2024-12-28,Final,ecfinal,icpc2024ecfinal,icpc/49th/ecfinal,,49_ICPC_ECFinal
ICPC,2024,49,2024-12-27,Warmup,ecfinal,,icpc/49th/ecfinal-warmup,,
ICPC,2024,49,2024-12-22,Regional,hongkong,icpc2024hongkong,icpc/49th/hongkong,,49_ICPC_香港
ICPC,2024,49,2024-12-21,Warmup,hongkong,,icpc/49th/hongkong-warmup,,
ICPC,2024,49,2024-12-01,Regional,kunming,icpc2024kunming,icpc/49th/kunming,,49_ICPC_昆明
ICPC,2024,49,2024-11-24,Regional,shenyang,icpc2024shenyang,icpc/49th/shenyang,,49_ICPC_沈阳
ICPC,2024,49,2024-11-23,Warmup,shenyang,,icpc/49th/shenyang-warmup,,
ICPC,2024,49,2024-11-17,Regional,shanghai,icpc2024shanghai,icpc/49th/shanghai,,49_ICPC_上海
CCPC,2024,10,2024-11-17,Regional,zhengzhou,ccpc2024zhengzhou,ccpc/10th/zhengzhou,,10_CCPC_郑州
ICPC,2024,49,2024-11-16,Warmup,shanghai,,icpc/49th/shanghai-warmup,,
CCPC,2024,10,2024-11-16,Warmup,zhengzhou,,ccpc/10th/zhengzhou-warmup,,
ICPC,2024,49,2024-11-10,Regional,hangzhou,icpc2024hangzhou,icpc/49th/hangzhou,,49_ICPC_杭州
CCPC,2024,10,2024-11-10,Regional,chongqing,ccpc2024chongqing,ccpc/10th/chongqing,,10_CCPC_重庆
ICPC,2024,49,2024-11-09,Warmup,hangzhou,,icpc/49th/hangzhou-warmup,,
CCPC,2024,10,2024-11-09,Warmup,chongqing,,ccpc/10th/chongqing-warmup,,
ICPC,2024,49,2024-11-03,Regional,nanjing,icpc2024nanjing,icpc/49th/nanjing,,49_ICPC_南京
Other,2024,5,2024-11-03,Provincial,liaoning,,provincial-contest/2024/liaoning,,
CCPC,2024,10,2024-11-03,Vocational,vocational,ccpc2024hv,,1851178571429322752,
CCPC,2024,10,2024-11-03,Girls,girls,ccpc2024ladies,,1851537240507555840,
Other,2024,5,2024-11-03,Provincial,lncpc,lncpc5th,,,
ICPC,2024,49,2024-11-02,Warmup,nanjing,,icpc/49th/nanjing-warmup,,
ICPC,2024,49,2024-10-27,Regional,chengdu,icpc2024chengdu,icpc/49th/chengdu,,49_ICPC_成都
CCPC,2024,10,2024-10-27,Regional,jinan,ccpc2024jinan,ccpc/10th/jinan,,10_CCPC_济南
ICPC,2024,49,2024-10-26,Warmup,chengdu,,icpc/49th/chengdu-warmup,,
CCPC,2024,10,2024-10-26,Warmup,jinan,,ccpc/10th/jinan-warmup,,
CCPC,2024,10,2024-10-20,Regional,harbin,ccpc2024harbin,ccpc/10th/harbin,,10_CCPC_哈尔滨
CCPC,2024,10,2024-10-19,Warmup,harbin,,ccpc/10th/harbin-warmup,,
Other,2024,20,2024-10-13,Provincial,hunan,,provincial-contest/2024/hunan,,
Other,2024,20,2024-10-13,Provincial,hncpc,hncpc20th,,,
Other,2024,20,2024-10-12,Warmup,hunan,,provincial-contest/2024/hunan-warmup,,
ICPC,2024,49,2024-09-21,Online,online2,,icpc/49th/online-qualification-2,1835981416207253504,49_ICPC_online2
ICPC,2023,48,2024-09-19,Final,worldfinals,icpc48thworldfinals,icpc/48th/world-finals,,
ICPC,2024,49,2024-09-15,Online,online1,,icpc/49th/online-qualification-1,1831362571373408256,49_ICPC_online1
CCPC,2024,10,2024-09-08,Online,online,,ccpc/10th/online-qualification,1830898870598004736,10_CCPC_online
Other,2024,2,2024-06-22,Final,ucupsemifinals,ucup2ndsemifinals,,,
Other,2024,,2024-06-16,Provincial,shanghai,,provincial-contest/2024/shanghai,,
Other,2024,16,2024-06-16,Provincial,sichuan,,provincial-contest/2024/sichuan,,
Other,2024,,2024-06-16,Provincial,shcpc,shcpc2024,,,
Other,2024,16,2024-06-16,Provincial,sccpc,sccpc16th,,,
Other,2024,16,2024-06-15,Warmup,sichuan,,provincial-contest/2024/sichuan-warmup,,
ICPC,2024,49,2024-06-09,Invitational,srni,icpc2024srni,,,
Other,2024,,2024-06-03,Provincial,henanicpc,,provincial-contest/2024/henan-icpc,,
Other,2024,15,2024-06-03,Provincial,haicpc,haicpc15th,,,
Other,2024,,2024-06-02,Warmup,shaanxi,,provincial-contest/2024/shaanxi-warmup,,
Other,2024,,2024-06-02,Provincial,shaanxi,,provincial-contest/2024/shaanxi,,
Other,2024,,2024-06-02,Provincial,jiangxi,,provincial-contest/2024/jiangxi,,
Other,2024,,2024-06-02,Warmup,jiangxi,,provincial-contest/2024/jiangxi-warmup,,
Other,2024,,2024-06-02,Warmup,henanicpc,,provincial-contest/2024/henan-icpc-warmup,,
Other,2024,,2024-06-02,Provincial,jxcpc,jxcpc2024,,,
