series,year,ordinal,date,category,name,rankland_id,xcpcio_id,pta_id,archive_id
CCPC,2022,8,2022-11-20,Regional,mianyang,ccpc2022mianyang,ccpc/8th/mianyang,,8_CCPC_绵阳
ICPC,2022,47,2022-11-13,Regional,xian,icpc2022xi_an,icpc/47th/xian,,47_ICPC_西安
CCPC,2022,8,2022-11-13,Regional,guangzhou,ccpc2022guangzhou,ccpc/8th/guangzhou,,8_CCPC_广州
ICPC,2022,47,2022-11-06,Regional,shenyang,icpc2022shenyang,icpc/47th/shenyang,,47_ICPC_沈阳
CCPC,2022,8,2022-11-06,Regional,weihai,ccpc2022weihai,ccpc/8th/weihai,,8_CCPC_威海
CCPC,2022,8,2022-10-30,Regional,guilin,ccpc2022guilin,ccpc/8th/guilin,,8_CCPC_桂林
ICPC,2022,47,2022-09-25,Online,online2,,icpc/47th/online-qualification-2,,
ICPC,2022,47,2022-09-17,Online,online1,,icpc/47th/online-qualification-1,,
CCPC,2022,8,2022-09-11,Online,online,,ccpc/8th/online-qualification,,
CCPC,2021,7,2022-07-27,Final,final,ccpc2021final,ccpc/7th/final,,7_CCPC_总决赛
ICPC,2021,46,2022-07-20,Final,ecfinal,icpc2021ecfinal,icpc/46th/ec-final,,46_ICPC_ECFinal
ICPC,2021,46,2022-04-17,Regional,kunming,icpc2021kunming,icpc/46th/kunming,,46_ICPC_昆明
ICPC,2021,46,2022-04-03,Regional,macau,icpc2021macau,icpc/46th/macau,,46_ICPC_澳门
ICPC,2021,46,2021-12-04,Regional,nanjing,icpc2021nanjing,icpc/46th/nanjing,,46_ICPC_南京
ICPC,2021,46,2021-11-28,Regional,shanghai,icpc2021shanghai,icpc/46th/shanghai,,46_ICPC_上海
CCPC,2021,7,2021-11-28,Regional,harbin,ccpc2021harbin,ccpc/7th/harbin,,7_CCPC_哈尔滨
ICPC,2021,46,2021-11-21,Regional,shenyang,icpc2021shenyang,icpc/46th/shenyang,,46_ICPC_沈阳
CCPC,2021,7,2021-11-21,Regional,weihai,ccpc2021weihai,ccpc/7th/weihai,,7_CCPC_威海
ICPC,2021,46,2021-11-14,Regional,jinan,icpc2021jinan,icpc/46th/jinan,,46_ICPC_济南
CCPC,2021,7,2021-11-14,Regional,guangzhou,ccpc2021guangzhou,ccpc/7th/guangzhou,,7_CCPC_广州
CCPC,2021,7,2021-11-07,Regional,guilin,ccpc2021guilin,ccpc/7th/guilin,,7_CCPC_桂林
ICPC,2020,45,2021-07-18,Regional,shenyang,icpc2020shenyang,icpc/2020/shenyang,,45_ICPC_沈阳
CCPC,2020,6,2021-05-30,Final,final,ccpc2020final,ccpc/2020/final,,6_CCPC_总决赛
ICPC,2020,45,2021-05-29,Regional,macau,,,,45_ICPC_澳门
ICPC,2020,45,2021-05-16,Regional,yinchuan,icpc2020yinchuan,icpc/2020/yinchuan,,45_ICPC_银川
ICPC,2020,45,2021-04-18,Final,ecfinal,icpc2020ecfinal,icpc/2020/ec-final,,45_ICPC_ECFinal
ICPC,2020,45,2021-04-03,Regional,kunming,icpc2020kunming,icpc/2020/kunming,,45_ICPC_昆明
ICPC,2020,45,2020-12-27,Regional,jinan,icpc2020jinan,icpc/2020/jinan,,45_ICPC_济南
ICPC,2020,45,2020-12-20,Regional,nanjing,icpc2020nanjing,icpc/2020/nanjing,,45_ICPC_南京
ICPC,2020,45,2020-12-13,Regional,shanghai,icpc2020shanghai,icpc/2020/shanghai,,45_ICPC_上海
CCPC,2020,6,2020-11-08,Regional,changchun,ccpc2020changchun,ccpc/2020/changchun,,6_CCPC_长春
CCPC,2020,6,2020-11-01,Regional,mianyang,ccpc2020mianyang,ccpc/2020/mianyang,,6_CCPC_绵阳
ICPC,2020,45,2020-10-31,Online,xiaomi2,,icpc/2020/xiaomi-preliminary-contest-2,,
ICPC,2020,45,2020-10-31,Regional,practice,,icpc/2020/practice-contest,,
ICPC,2020,45,2020-10-25,Online,xiaomi1,,icpc/2020/xiaomi-preliminary-contest-1,,
CCPC,2020,6,2020-10-25,Regional,weihai,ccpc2020weihai,ccpc/2020/weihai,,6_CCPC_威海
CCPC,2020,6,2020-10-18,Regional,qinhuangdao,ccpc2020qinhuangdao,ccpc/2020/qinhuangdao,,6_CCPC_秦皇岛
ICPC,2019,44,2019-12-15,Final,ecfinal,icpc2019ecfinal,,,44_ICPC_ECFinal
ICPC,2019,44,2019-12-01,Regional,hongkong,,,,44_ICPC_香港
ICPC,2019,44,2019-11-24,Regional,shanghai,icpc2019shanghai,,,44_ICPC_上海
ICPC,2019,44,2019-11-17,Regional,shenyang,icpc2019shenyang,,,44_ICPC_沈阳
CCPC,2019,5,2019-11-17,Final,final,ccpc2019final,,,5_CCPC_总决赛
ICPC,2019,44,2019-11-11,Regional,nanchang,icpc2019nanchang,icpc/2019/nanchang,,44_ICPC_南昌
ICPC,2019,44,2019-11-03,Regional,xuzhou,,,,44_ICPC_徐州
ICPC,2019,44,2019-10-27,Regional,nanjing,icpc2019nanjing,,,44_ICPC_南京
ICPC,2019,44,2019-10-20,Regional,yinchuan,icpc2019yinchuan,icpc/2019/yinchuan,,44_ICPC_银川
CCPC,2019,5,2019-10-20,Regional,xiamen,ccpc2019xiamen,,,5_CCPC_厦门
CCPC,2019,5,2019-10-13,Regional,harbin,ccpc2019harbin,,,5_CCPC_哈尔滨
CCPC,2019,5,2019-09-22,Regional,qinhuangdao,ccpc2019qinhuangdao,,,5_CCPC_秦皇岛
ICPC,2018,43,2018-12-16,Final,ecfinal,icpc2018ecfinal,,,43_ICPC_ECFinal
ICPC,2018,43,2018-11-25,Regional,jiaozuo,icpc2018jiaozuo,,,43_ICPC_焦作
CCPC,2018,4,2018-11-25,Final,final,ccpc2018final,,,4_CCPC_总决赛
ICPC,2018,43,2018-11-11,Regional,beijing,,,,43_ICPC_北京
ICPC,2018,43,2018-10-28,Regional,xuzhou,icpc2018xuzhou,,,43_ICPC_徐州
CCPC,2018,4,2018-10-28,Regional,guilin,ccpc2018guilin,,,4_CCPC_桂林
ICPC,2018,43,2018-10-21,Regional,qingdao,,icpc/2018/qingdao,,43_ICPC_青岛
ICPC,2018,43,2018-10-21,Regional,shenyang,icpc2018shenyang,,,43_ICPC_沈阳
ICPC,2018,43,2018-10-14,Regional,nanjing,icpc2018nanjing,,,43_ICPC_南京
CCPC,2018,4,2018-09-28,Regional,qinhuangdao,ccpc2018qinhuangdao,,,4_CCPC_秦皇岛
CCPC,2018,4,2018-09-22,Regional,jilin,ccpc2018jilin,,,4_CCPC_吉林
ICPC,2017,42,2017-12-17,Final,ecfinal,,,,42_ICPC_ECFinal
ICPC,2017,42,2017-12-03,Regional,urumchi,icpc2017urumchi,,,
ICPC,2017,42,2017-12-03,Regional,urumqi,,,,42_ICPC_乌鲁木齐
ICPC,2017,42,2017-11-26,Regional,nanning,icpc2017nanning,,,42_ICPC_南宁
ICPC,2017,42,2017-11-19,Regional,beijing,icpc2017beijing,,,42_ICPC_北京
ICPC,2017,42,2017-11-19,Regional,hongkong,,,,42_ICPC_香港
CCPC,2017,3,2017-11-05,Regional,hangzhou,ccpc2017hangzhou,,,3_CCPC_杭州
ICPC,2017,42,2017-10-29,Regional,xian,icpc2017xi_an,,,42_ICPC_西安
CCPC,2017,3,2017-10-29,Regional,qinhuangdao,,,,3_CCPC_秦皇岛
ICPC,2017,42,2017-10-22,Regional,neu,,icpc/2017/neu_onsite,,
CCPC,2017,3,2017-10-22,Regional,hrbust,,ccpc/2017/hrbust_onsite,,
ICPC,2017,42,2017-10-22,Regional,shenyang,icpc2017shenyang,,,42_ICPC_沈阳
CCPC,2017,3,2017-10-22,Regional,harbin,ccpc2017harbin,,,3_CCPC_哈尔滨
ICPC,2017,42,2017-09-01,Regional,gxu,,icpc/2017/gxu_onsite,,
ICPC,2017,42,2017-09-01,Regional,pku,,icpc/2017/pku_onsite,,
ICPC,2017,42,2017-09-01,Regional,qingdao,,icpc/2017/qingdao,,42_ICPC_青岛
ICPC,2017,42,2017-09-01,Regional,hrbust,,icpc/2017/hrbust_onsite,,
ICPC,2017,42,2017-09-01,Regional,nwpu,,icpc/2017/nwpu_onsite,,
ICPC,2017,42,2017-09-01,Regional,xju,,icpc/2017/xju_onsite,,
CCPC,2017,3,2017-09-01,Regional,neu,,ccpc/2017/neu_onsite,,
CCPC,2017,3,2017-09-01,Regional,nwpu,,ccpc/2017/nwpu_onsite,,
CCPC,2017,3,2017-09-01,Regional,hdu,,ccpc/2017/hdu_onsite,,
CCPC,2017,3,2017-09-01,Final,final,ccpc2017final,ccpc/2017/final_onsite,,3_CCPC_总决赛
CCPC,2017,3,2017-09-01,Regional,zstu,,ccpc/2017/zstu_onsite,,
ICPC,2016,41,2016-11-13,Regional,beijing,icpc2016beijing,,,
ICPC,2016,41,2016-11-06,Regional,cuhk,,icpc/2016/cuhk_onsite,,
ICPC,2016,41,2016-11-06,Regional,hongkong,icpc2016hongkong,,,
ICPC,2016,41,2016-10-23,Regional,neu,,icpc/2016/neu_onsite,,
ICPC,2016,41,2016-10-23,Regional,shenyang,icpc2016shenyang,,,
ICPC,2016,41,2016-10-16,Regional,dlmu,,icpc/2016/dlmu_onsite,,
CCPC,2016,2,2016-10-16,Regional,ahu,,ccpc/2016/ahu_onsite,,
CCPC,2016,2,2016-10-16,Regional,hdu,,ccpc/2016/hdu_onsite,,
ICPC,2016,41,2016-10-16,Regional,dalian,icpc2016dalian,,,
CCPC,2016,2,2016-10-16,Regional,hefei,ccpc2016hefei,,,
CCPC,2016,2,2016-10-16,Regional,hangzhou,ccpc2016hangzhou,,,
CCPC,2016,2,2016-09-27,Regional,jlu,,ccpc/2016/jlu_onsite,,
CCPC,2016,2,2016-09-27,Regional,changchun,ccpc2016changchun,,,
ICPC,2016,41,2016-09-18,Online,neuonline,,icpc/2016/neu_online,,
ICPC,2016,41,2016-09-17,Online,upconline,,icpc/2016/upc_online,,
ICPC,2016,41,2016-09-10,Online,dlmuonline,,icpc/2016/dlmu_online,,
ICPC,2016,41,2016-09-01,Regional,pku,,icpc/2016/pku_onsite,,
ICPC,2016,41,2016-09-01,Regional,dlmu2,,icpc/2016/dlmu_onsite2,,
ICPC,2016,41,2016-09-01,Regional,hrbust,,icpc/2016/hrbust_onsite,,
ICPC,2016,41,2016-09-01,Regional,nwpu,,icpc/2016/nwpu_onsite,,
ICPC,2016,41,2016-09-01,Online,cuhkonline,,icpc/2016/cuhk_online,,
ICPC,2016,41,2016-09-01,Regional,shu,,icpc/2016/shu_onsite,,
CCPC,2016,2,2016-09-01,Regional,dlmu,,ccpc/2016/dlmu_onsite,,
CCPC,2016,2,2016-09-01,Regional,cuhk,,ccpc/2016/cuhk_onsite,,
CCPC,2016,2,2016-09-01,Regional,neu,,ccpc/2016/neu_onsite,,
CCPC,2016,2,2016-09-01,Online,cuhkonline,,ccpc/2016/cuhk_online,,
ICPC,2015,40,2015-12-13,Final,ecfinal,icpc2015ecfinal,icpc/2015/ecfinal,,
ICPC,2015,40,2015-11-22,Regional,ecust,,icpc/2015/ecust_onsite,,
ICPC,2015,40,2015-11-22,Regional,shanghai,icpc2015shanghai,,,
ICPC,2015,40,2015-11-15,Regional,pku,,icpc/2015/pku_onsite,,
ICPC,2015,40,2015-11-15,Regional,beijing,icpc2015beijing,,,
ICPC,2015,40,2015-11-08,Regional,ustc,,icpc/2015/ustc_onsite,,
ICPC,2015,40,2015-11-08,Regional,hefei,icpc2015hefei,,,
ICPC,2015,40,2015-10-25,Regional,neu,,icpc/2015/neu_onsite,,
ICPC,2015,40,2015-10-25,Regional,shenyang,icpc2015shenyang,,,
ICPC,2015,40,2015-10-18,Regional,nenu,,icpc/2015/nenu_onsite,,
CCPC,2015,1,2015-10-18,Regional,nyist,,ccpc/2015/nyist_onsite,,
ICPC,2015,40,2015-10-18,Regional,changchun,icpc2015changchun,,,
CCPC,2015,1,2015-10-18,Regional,nanyang,ccpc2015nanyang,,,
ICPC,2015,40,2015-09-27,Online,ustconline,,icpc/2015/ustc_online,,
ICPC,2015,40,2015-09-26,Online,ecustonline,,icpc/2015/ecust_online,,
ICPC,2015,40,2015-09-20,Online,pkuonline,,icpc/2015/pku_online,,
ICPC,2015,40,2015-09-19,Online,neuonline,,icpc/2015/neu_online,,
ICPC,2015,40,2015-09-13,Online,nenuonline,,icpc/2015/nenu_online,,
ICPC,2014,39,2014-12-07,Regional,shu,,icpc/2014/shu_onsite,,
ICPC,2014,39,2014-12-07,Regional,shanghai,icpc2014shanghai,,,
ICPC,2014,39,2014-11-23,Regional,scut,,icpc/2014/scut_onsite,,
ICPC,2014,39,2014-11-23,Regional,guangzhou,icpc2014guangzhou,,,
ICPC,2014,39,2014-11-16,Regional,bnu,,icpc/2014/bnu_onsite,,
ICPC,2014,39,2014-11-16,Regional,beijing,icpc2014beijing,,,
ICPC,2014,39,2014-10-26,Regional,nwpu,,icpc/2014/nwpu_onsite,,
ICPC,2014,39,2014-10-26,Regional,xian,icpc2014xi_an,,,
ICPC,2014,39,2014-10-19,Regional,ustl,,icpc/2014/ustl_onsite,,
ICPC,2014,39,2014-10-19,Regional,anshan,icpc2014anshan,,,
ICPC,2014,39,2014-10-12,Regional,mdjnu,,icpc/2014/mdjnu_onsite,,
ICPC,2014,39,2014-10-12,Regional,mudanjiang,icpc2014mudanjiang,,,
ICPC,2014,39,2014-09-27,Online,shuonline,,icpc/2014/shu_online,,
ICPC,2014,39,2014-09-21,Online,bnuonline,,icpc/2014/bnu_online,,
ICPC,2014,39,2014-09-20,Online,scutonline,,icpc/2014/scut_online,,
ICPC,2014,39,2014-09-14,Online,nwpuonline,,icpc/2014/nwpu_online,,
ICPC,2014,39,2014-09-13,Online,ustlonline,,icpc/2014/ustl_online,,
ICPC,2014,39,2014-09-07,Online,mdjnuonline,,icpc/2014/mdjnu_online,,
ICPC,2014,39,2014-09-01,Regional,wpu,,icpc/2014/wpu_onsite,,
ICPC,2013,38,2013-12-08,Regional,jlu,,icpc/2013/jlu_onsite,,
ICPC,2013,38,2013-12-08,Regional,changchun,icpc2013changchun,,,
ICPC,2013,38,2013-11-17,Regional,hnu,,icpc/2013/hnu_onsite,,
ICPC,2013,38,2013-11-17,Regional,changsha,icpc2013changsha,,,
ICPC,2013,38,2013-11-02,Regional,njust,,icpc/2013/njust_onsite,,
ICPC,2013,38,2013-11-02,Regional,nanjing,icpc2013nanjing,,,
ICPC,2013,38,2013-10-27,Regional,zjut,,icpc/2013/zjut_onsite,,
ICPC,2013,38,2013-10-27,Regional,hangzhou,icpc2013hangzhou,,,
