Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L
113,辽宁大学,艾瑞莉娅,3,188,Bronze,周孟磊,龚元枫,何勇,N,N,,,,+1(11),,+1(53),,,+1(124),-2,,
114,南京工业大学,南工喷壶,3,225,Bronze,李旭,贺梦杰,仇智寅,N,N,,,,+1(11),,+1(64),,,+1(149),,,
115,华中科技大学,黑糖珍珠圣代,3,264,Bronze,刘言,万才学,朱子鸿,N,Y,-1,,,+1(7),,+3(104),,,+1(112),-1,,
116,南方科技大学,南方科技大学_叙斯特伦,3,266,Bronze,汪泱泱,尹沛骐,龙瀚,,,,,,+1(8),,-3,,,+2(103),+1(134),,
117,北京交通大学,纯正九莲宝灯,3,267,Bronze,骆艺元,栗明磊,郑栩僮,,,-5,,,+1(5),,+2(111),,,+1(130),-1,,
118,河北工业大学,应用回归分析,3,293,Bronze,李明佳,艾煜斌,吴冠男,,,,,,+1(10),,+1(110),,,+1(172),-5,,
119,同济大学,荠菜,3,314,Bronze,王宇其,王佳雯,迟承道,,,-1,,,+3(8),,+1(95),,,+3(130),,,
120,浙江中医药大学,ZCMU-秦皇岛外打渔船,3,318,Bronze,黄哲,韩敏杰,罗苗苗,,,,,,+1(4),,+2(208),,,+2(65),-4,,
121,武汉大学,欣然,3,319,Bronze,余欣然,向雅欣,逄博,,,-4,,,+3(12),,+2(95),,,+1(151),-4,,
122,华中农业大学,线性鸭,3,333,Bronze,詹晔康,赵钰,胡海川,,,,,,+1(18),,+1(98),,,-6,+2(196),,
123,长沙理工大学,幽兰不拿铁,3,342,Bronze,龙佳,易斯龙,潘成,,,-3,,,+1(9),,+2(133),,,+1(180),-8,,
124,哈尔滨工业大学(深圳),格鲁特,3,353,Bronze,张致远,吴俊达,邱建盛,,,-7,,,+1(9),,+5(103),,,+1(160),,,
125,中国石油大学（华东）,一发玄学试试水 全靠暴力出奇迹,3,361,Bronze,赵广旬,柳泉旭,李博,,,-1,,,+1(6),,+4(184),,,+1(111),-12,,
126,哈尔滨工程大学,咆哮的土拨鼠,3,364,Bronze,武朝晖,韩尚君,鲍志伟,,,-9,,,+1(3),,+1(116),,,+3(204),,-1,
127,山东财经大学,花生开门,3,372,Bronze,孙一丹,肖子安,刘晓康,,,,,,+1(9),,+2(88),,,-7,+1(254),,
128,青岛大学,单皮奶,3,377,Bronze,王佳艺,穆明坤,潘武杰,,,-4,,,+1(7),,+2(221),,,+1(127),,,
129,西安理工大学,红橙作伴,3,379,Bronze,孔荣荣,刘文洁,王震,,,,,,+1(25),,+4(82),,,+1(211),,,
130,中国传媒大学,我们取这个这么长的队名...,3,381,Bronze,刘宗鑫,揭青莹,吕九洋,,,,,,+2(17),,+2(121),,,+1(202),,,
131,长春理工大学,你吼那么大声干什么嘛？,3,389,Bronze,陈俊超,王宁,谭睿翔,,,,,,+2(13),,+3(70),,,+3(204),-9,,
132,新疆大学,xju1,3,395,Bronze,韩昊伸,胡浩,王嘉琪,,,,,,+2(13),,+1(85),,,+2(255),,,
133,河南大学,键盘侠,3,398,Bronze,刘阳,邓宏亮,袁昊,,,,,,+1(10),,+2(143),,,+3(183),-4,,
134,吉林大学,请把气球插在这里谢谢,3,412,Bronze,冯振杰,范元涛,雷育琦,,,,,,+1(7),,+4(125),,,+1(219),-1,,
135,中国计量大学,AK自动机,3,417,Bronze,罗中天,张家豪,余鸿皓,,,,,,+1(6),,+1(163),,,+1(247),,-2,
136,西南民族大学,SMU02,3,418,Bronze,杨玉婷,郑楠,丁浩楠,,,,,,+1(9),,+4(245),,,+1(103),,,
137,重庆大学,铁匠世家,3,420,Bronze,蔡祥文,蒋云豪,余康,,,-9,,,+1(9),,+4(246),,,+1(104),,,
138,广东工业大学,晨曦的光,3,446,Bronze,梁烨荣,问永琦,蔡诚杰,,,,,,+1(16),,+2(189),,,+4(160),-1,,
139,华南农业大学,SCAU_单身自动机,3,449,Bronze,黄君瑜,苏富宝,王俊朗,,,-1,,,+2(8),,+2(151),,,+1(250),,,
140,郑州轻工业学院,wr自动机,3,453,Bronze,徐昌鹏,庞浩天,韩家康,,,,,,+2(8),,+2(95),,,+3(269),-5,,
141,天津大学仁爱学院,爱吃冰淇淋,3,461,Bronze,黄艳平,张家辉,郭洁,,,-1,,,+1(6),,+2(274),,,+1(160),,,
142,重庆邮电大学,以爱之名，与坤同行,3,484,Bronze,林华东,夏宇阳,张子旋,,,,,,+1(8),,+2(175),,,+2(260),-4,,
143,国防科技大学,我要我觉得✓,3,503,Bronze,邱纯硕,陈斯隆,郭春希,,,,,,+1(11),,+5(212),,,+2(180),-2,,
144,南京理工大学,V1JCO,3,512,Bronze,董平,章馨月,赵震,,,,,,+1(10),,+5(135),,,+4(226),,,
145,天津大学仁爱学院,小奶狗,3,515,Honorable,徐佳鑫,李世超,高铭泽,,,,,,+2(15),,+5(230),,,+1(170),,,
146,哈尔滨工业大学,守护全世界最好的凯妹,3,530,Honorable,范天泷,刘青林,展宇宏,,,,,,+1(3),,+5(282),,,+1(165),,,
147,哈尔滨学院,%连银铜铁金清,3,548,Honorable,陈灿华,金勤超,张海伦,,,,,,+1(17),,+2(120),,,+7(270),,,
148,南京晓庄学院,全体起立,3,565,Honorable,蒋俊杰,陈安婕,刘翔昊,,,,,,+2(13),,+4(181),,,+2(270),,,
149,河南理工大学,确定性有限状态自闭机,3,576,Honorable,赵猛,王志承,代艳凯,,,,,,+2(18),,+3(293),,,+1(203),,,
150,长春理工大学,我的队友也有点暴躁,3,589,Honorable,商怀朋,朱磊业,唐依凡,,,,,,+1(6),,+2(248),,,+3(273),,,
151,东北农业大学,谁家过年不AK个网络赛？,3,592,Honorable,孙昊昱,王禹,赵晨,,,,,,+2(11),,+5(188),,,+2(272),,,
152,大连海事大学,青雉,3,593,Honorable,李潭林,沈楠,王泓凯,,,,,,+1(13),,+6(213),,,+1(266),,-1,
153,河北工业大学,道知不也我啥叫,3,615,Honorable,叶靖,赵遵涵,李志,,,,,,+5(39),,+6(160),,,+2(216),-1,,
154,东北农业大学,给出题人倒杯茶,3,616,Honorable,张国梁,朱振滔,李泽林,,,,,,+1(7),,+5(246),,,+1(281),,,
155,青海大学,不大的山,2,88,Honorable,夏子勋,向泽南,凌龙,,,,,,+1(8),,+1(79),,,-4,,,
156,太原理工大学,九章算树,2,112,Honorable,王宇轩,钱皓晟,孟子杰,,,,,,+1(12),,-4,,,+1(99),,,
157,西南科技大学,我单抽出货啦,2,147,Honorable,程柯菡,刘心怡,郑伟伟,,,,,,+2(18),,-1,,,+1(109),,,
158,北京理工大学,一分钟想个队名队,2,153,Honorable,何鹏,刘振,李翰杰,,,,,,+1(9),,-8,,,+1(144),-1,,
159,中原工学院,请来三套鼠标键盘,2,153,Honorable,刘勇,吴志阳,孙艺苹,,,,,,+2(7),,-1,,,+1(126),,,
160,浙江工商大学,哈哈哈,2,161,Honorable,周楠馨,周知乐,俞晓雯,,,,,,+1(11),,+2(129),,,-1,,,
161,江西理工大学,jxustccpc2019,2,168,Honorable,汪云飞,李铮,景依航,,,,,,+1(23),,,,,-1,+1(145),,
162,哈尔滨理工大学,哈理工2019秋20,2,173,Honorable,李金澎,魏敦豪,葛潮东,,,,,,+2(20),,+4(72),,,-8,,,
163,湖南大学,来晚了没名字,2,174,Honorable,吴剑兵,王哲,欧健,,,,,,+4(16),,+2(78),,,-5,,,
164,西南交通大学,1566528385,2,177,Honorable,康梦瑶,许沂聪,霍雨佳,,,,,,+1(8),,+3(129),,,-2,-2,,
165,滁州学院,熊猫头,2,184,Honorable,董智健,訾崇崇,丁涛,,,,,,+1(6),,+2(157),,,-12,,,
166,中国石油大学（华东）,出去长见识,2,191,Honorable,高一鸣,李天宝, 林晨,,,,,,+1(11),,,,,+2(159),,,
167,吉首大学,Lucky,2,198,Honorable,雷亮,彭昊,廖嘉琪,,,,,,+1(16),,+2(161),,,-1,,,
