Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,逆十字,11,1456,+1(70),+2(49),+1(255),+2(149),+3(136),+2(249),+1(8),-,+2(11),+1(160),+1(194),-,+1(55),35%,Gold,周雨扬,孔朝哲,潘骏跃,N,N
2,2,南京大学,triple_dogs,9,1002,+2(76),+1(97),-2,+1(39),+3(242),-,+1(30),-,+1(15),+1(114),+1(250),-,+2(59),30%,Gold,刘弘洋,张昕渊,王淳扬,N,N
3,3,清华大学,别人 ac 我们 g,9,1059,+1(33),+3(90),-,+2(67),+3(144),-,+1(16),-,+2(9),+3(122),+1(194),-1,+7(104),60%,Gold,张隽恺,胡昊,胡杨,N,N
4,4,西安交通大学,渡渡鸟幼儿园,9,1251,+3(72),+2(146),-,+1(93),+2(222),-,+2(68),-,+1(7),+1(170),+1(258),-,+1(115),35%,Gold,杨栋,王之坤,陈业元,N,N
5,5,华侨大学,红日初升,9,1307,+2(39),+3(142),-,+2(88),+1(168),-,+1(63),-,+1(43),+3(234),+1(299),-,+1(111),40%,Gold,徐聪,赵雨扬,郑量,N,N
6,6,浙江大学,nameless story,9,1544,+2(80),+2(143),-,+4(19),+3(275),-,+1(49),-,+1(8),+14(299),+1(243),-,+1(28),68%,Gold,凌子恒,林响烨,胡家齐,N,N
7,,浙江大学,您有一个加三十三,8,889,+1(115),+1(169),-,+1(40),+1(228),-,+1(29),-,+1(7),-4,+1(149),-,+2(132),11%,Gold,叶佳昂,李克成,陈科睿,N,N
8,,浙江大学,未命名 1,8,1000,+4(85),+1(126),-,+2(65),+2(172),-,+1(22),-,+1(8),+1(218),-,-,+4(144),50%,Gold,严子轩,周轩熠,樊睿,N,N
9,7,中山大学,中山大学_打铁人,8,1004,+2(103),+2(118),-,+3(108),+1(225),-,+1(25),-,+1(7),+1(190),-1,-,+1(148),33%,Gold,刘志源,赵肖睿,高诗豪,N,N
10,8,北京师范大学,Zood,8,1042,+5(78),+2(119),-,+1(41),+2(234),-,+1(30),-,+1(10),+4(187),-,-,+2(143),55%,Gold,卢炜文,李鼎懋,林泽瀚,N,N
11,9,华南理工大学,胖头鱼头胖,8,1055,+1(167),+1(120),-,+1(78),+1(202),-,+1(21),-,+1(10),+2(269),-,-,+2(148),20%,Gold,冼昊明,李珲,钱晨炼,N,N
12,10,电子科技大学,UESTC_篝月明火,8,1102,+1(95),+3(139),-,+1(71),+1(209),-,+1(34),-,+1(10),+2(289),-,-,+2(175),33%,Gold,李佳骏,李奕聪,陈奕可,N,N
13,11,杭州电子科技大学,杭电 4 队,7,747,+1(97),+1(66),-,+1(76),+1(194),-1,+1(27),-,+1(7),-,-18,-,+5(200),36%,Gold,柴汉锋,赵章恺,高义雄,N,N
14,12,湘潭大学,参宿一,7,792,+1(87),+1(139),-1,+2(146),+3(249),-1,+1(20),-1,+1(5),-5,-1,-1,+2(66),36%,Gold,田楚天,肖志林,胡梁宇,N,N
15,13,南方科技大学,南方科技大学 - 维希,7,806,+3(137),+1(81),-,+1(47),+2(255),-,+1(45),-,+1(8),-,-3,-,+4(113),46%,Gold,李浩宇,洪朝阳,陈璐瑶,N,N
16,,华南理工大学,星穹铁道 Star Rail,7,988,+1(139),+3(263),-,+2(113),+1(269),-,+1(72),-,+1(8),-,-,-,+1(64),30%,Gold,程科源,翟宇炫,赵冬青,N,N
17,14,华中科技大学,Kelin，加训！,7,1062,+3(121),+2(236),-,+4(161),+2(258),-,+2(46),-,+1(7),-6,-,-,+1(73),53%,Gold,何佳林,喻珈,范彦廷,N,N
18,15,上海交通大学,吸风饮露,7,1105,+6(132),+1(184),-1,+3(111),+1(238),-1,+1(31),-,+2(17),-1,-1,-,+4(172),61%,Gold,刘泳霖,杨崇烨,王鲲鹏,N,N
19,16,北京理工大学,内核恐慌,7,1130,+5(184),+2(196),-,+4(110),+1(252),-,+2(57),-,+1(7),-,-,-,+1(144),56%,Gold,张书豪,秦一飞,陈驭祺,N,N
20,,西安交通大学,怎么会是呢？,7,1132,+4(198),+1(205),-1,+2(109),+1(272),-2,+2(56),-1,+1(15),-1,-1,-1,+2(157),46%,Gold,刘一可,栾家骏,郭修屹,N,N
21,17,西北工业大学,黎明与黄昏,7,1144,+1(197),+4(139),-,+1(77),+4(278),-,+1(22),-,+1(3),-4,-,-,+5(228),58%,Gold,李天舒,池久涛,赵一平,N,N
22,18,兰州大学,粉碎煎饼,7,1146,+2(156),+2(216),-,+2(140),+1(279),-,+3(46),-,+1(11),-,-,-,+5(118),56%,Gold,孟戴浓达,狄农雨,王徐笙,N,N
23,,南京大学,黎明觉醒,7,1147,+3(159),+1(205),-,+1(77),+1(265),-,+5(192),-,+2(12),-,-,-,+1(97),50%,Gold,刘朗麒,林荣恩,陈晓,N,N
24,19,武汉大学,永远在线,7,1236,+3(192),+1(175),-,+7(217),-,-,+2(35),-,+1(7),+5(292),-,-,+1(58),65%,Gold,张涵,徐嘉浩,潘非,N,N
25,,北京大学,日拱一卒,7,1431,+4(224),+2(183),-,+2(121),+1(284),-,+5(133),-,+1(38),-,-,-,+2(248),58%,Gold,张佳豪,张力元,李思齐,N,N
26,,上海交通大学,梦想天生,6,565,+2(159),+2(119),-,+1(52),-2,-,+1(30),-,+1(8),-3,-,-,+3(117),40%,Gold,张明驰,张景博,林一凡,N,N
27,20,东北大学,东北大学_赢,6,592,+1(106),+1(54),-,+1(151),+1(253),-,+1(21),-,+1(7),-,-,-,-6,0%,Gold,徐越昊,李泽仁,陈少皇,N,N
28,,南方科技大学,南方科技大学 - 敦刻尔克,6,621,+2(176),+1(46),-,+3(211),-,-,+1(22),-,+1(8),-2,-,-,+1(98),33%,Gold,邓清文,陈天乐,黄少霖,N,N
29,21,西安电子科技大学,喵喵喵,6,644,+3(148),+1(119),-,+1(64),-,-,+1(20),-,+1(5),-4,-,-,+4(188),45%,Gold,刘朝旭,张亲翰,罗杰,N,N
29,,清华大学,写得不好，草草睡辽,6,644,+2(72),+2(202),-,+1(98),-1,-,+1(28),-,+1(10),-,-,-,+2(174),33%,Gold,丁其安,孙从博,顾奕成,N,N
31,,西安电子科技大学,Flukehn,6,662,+5(136),+1(122),-,+2(51),-4,-,+2(59),-,+1(8),-1,-,-,+2(146),53%,Gold,冯畅,周灿,湛忠胜,N,N
32,22,北京航空航天大学,口嗨战神,6,680,+1(56),+4(129),-,+1(70),+5(247),-,+1(28),-,+1(10),-1,-,-,-4,53%,Gold,王大禹,董和军,蒋槟阳,N,N
33,23,厦门大学,银分治分银,6,707,+3(167),+1(107),-,+1(219),-5,-,+1(37),-,+1(3),-,-,-,+1(134),25%,Gold,周正,徐铭逸,高言峰,N,N
