Rank,Country,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
183,China,北京理工大学,北理工具人,2,51,-5,,,+1(43),,,,+1(8),,,,-3,
184,China,温州大学,兰姆达队,2,127,-8,,,+1(117),,,,+1(10),,,,,
185,China,兰州理工大学,有一说一,2,135,-9,,,+1(72),,,,+3(23),,,,-3,
186,China,辽宁科技大学,南果梨,2,137,-8,,,+1(112),,,,+1(25),,,,,
187,China,中南林业科技大学,牧码人,2,155,-7,,,+1(143),,,,+1(12),,,,,
187,China,安徽大学,听取WA声一片,2,155,-2,,,+1(144),,,,+1(11),,,,-1,
189,China,大连东软信息学院,冲冲冲,2,171,-12,,,+3(121),,,,+1(10),,,,-3,
190,China,杭州电子科技大学信息工程学院,信工三队,2,194,-6,,,+4(115),,,,+1(19),-1,,,,
191,China,河北师范大学,夹心饼干,2,240,-6,,,+3(142),,,,+2(38),,,,-2,
192,China,浙江财经大学,_沙滩海浪仙人掌,2,277,-10,,,+6(148),,,,+2(9),,,,-2,
193,China,长春工业大学,镧系锕系,2,321,-4,,,+3(270),,,,+1(11),,,,,
194,China,中国地质大学(武汉),明年我还会再来东北的,2,515,-7,,,+10(254),,,,+3(41),,,,-3,
195,China,中国传媒大学,震惊！三名大学生打acm竟然发生了这种事......,1,9,-5,,,-3,,,,+1(9),,,,,
196,China,兰州大学,分块组,1,23,-7,,,-1,,,,+1(23),,,,-3,
197,China,西安邮电大学,胜利之歌,1,31,-3,,,-3,,,,+1(31),,,,,
198,China,沈阳师范大学,落日飞车,1,37,-1,,,,,,,+1(37),,,,-1,
199,China,贵州工程应用技术学院,梦之队,1,90,-8,,,-1,,,,+2(70),,,,,
200,China,中国矿业大学,青铜矿工,0,0,,,,,,,,,,,,,
