Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
31,30,西南科技大学,two-thirds,3,237,-,-1,-,-,-,-,-,+1(12),-,+1(152),+1(73),-,0%,Silver,刘诗璐,钟妍,柯涵,Miao Chen ,N,N
32,31,惠州学院,Genesis in Hong Kong,3,256,-,-,-,-,-,-1,-,+1(12),-1,+1(127),+1(117),-,0%,Silver,冼健民,孙昊,钟志杰,Li Liu ,N,N
33,32,井冈山大学,Phoenix,3,256,-,-1,-,-,-,-,-,+1(10),-,+2(166),+1(60),-,25%,Silver,王琼,杨文源,陈柏伟,Yunlan Tan ,N,N
34,33,哈尔滨工业大学深圳,from here,3,300,-,-4,-,-,-,-,-,+1(15),-,+3(90),+2(135),-,50%,Silver,赵飞羽,陈彦波,蔡易轩,Jie Wen ,N,N
35,34,福州大学,Russian Roulette,3,317,-,-,-,-,-,-,-,+1(11),-,+2(194),+1(92),-,25%,Silver,黄佳鹏,肖羽石,张仁杰,Yanggeng Fu ,N,N
36,35,西南交通大学,Explosion!,3,323,-,-1,-,-,-,-,-,+1(12),-,+2(133),+2(138),-,40%,Silver,刘俊豪,Xinke Li,陈义达,Xiuying Yu ,N,N
37,36,武汉大学,Thank you Bing Zhang,3,337,-,-,-,-,-,-1,-,+1(11),-,+1(196),+2(110),-,25%,Silver,刘尚源,袁振宇,洪阳,Wenyong Dong ,N,N
38,37,成都信息工程大学,One pull one hit,3,338,-,-,-,-,-,-,-,+1(14),-,+1(180),+3(104),-,40%,Silver,季璨,李奕乐,王宇欣,Mingyuan Yuan ,N,N
39,38,东莞理工学院,Team is Powerful,3,349,-,-,-,-,-,-,-,+1(9),-,+2(129),+2(171),-,40%,Silver,黄海,林恬烁,林志龙,Chuanxiang Chen ,N,N
40,39,广州大学,Hajimi,3,378,-,-,-,-,-,-4,-,+2(11),-,+3(187),+1(120),-,50%,Bronze,李轩,周昊焌,杨尚华,Kailun Qiu ,N,N
41,40,华南理工大学,SCUT Chireden,3,402,-,-,-,-,-,-,-,+1(12),-,+3(213),+1(137),-,40%,Bronze,郑理耀,袁昊朗,陈弘毅,Chuhua Xian ,N,N
42,,National University of Mongolia,NUM-NTN,3,404,-,-,-,-,-,-,-,+2(13),-,+2(204),+1(147),-,40%,Bronze,Naranbat Munkherdene,Tamir Jamiyangarav,Aldarjaw Naranbaatar,Bagabold Gendensuren ,N,N
43,41,武昌首义学院,GreedyIsTruth,3,405,-,-,-,-,-,-,-,+2(31),-,+2(204),+2(110),-,50%,Bronze,汤龙飞,李明辉,Jingyun Gao,Lan Jin ,N,N
44,42,浙江工商大学,Rosmontis_Fan,3,446,-,-,-,-,-,-,-,+1(9),-,+3(113),+6(184),-,70%,Bronze,沈士渊,魏嘉豪,徐晨阳,Wenqiang Liu ,N,N
45,43,西南财经大学,May this voyage culminate in the Final,3,469,-,-,-,-,-,-,-,+1(11),-,+6(219),+1(139),-,62%,Bronze,蒋思翔,刘彻,祝亚辉,Feng Zhou ,N,N
46,44,厦门大学嘉庚学院,Ordinary.exe,3,477,-,-,-,-,-,-,-,+1(11),-,+3(210),+4(156),-,62%,Bronze,孙硕,卓子翔,黄俊华,Yijing Guo ,N,N
47,45,四川农业大学,we are iron,3,495,-1,-,-,-,-,-,-,+2(12),-,+6(286),+1(77),-,66%,Bronze,江雅奥,李鑫,刁戈,Jiangshu Wei ,N,N
48,46,浙江理工大学,Last Final,3,512,-,-,-,-,-,-,-,+1(7),-,+3(231),+5(154),-,66%,Bronze,陈宏毅,陶稼辉,王舜宇,Hairong Ye ,N,N
49,47,成都锦城学院,The last dance of XiaoMo,3,529,-,-1,-,-,-,-,-,+1(13),-1,+4(269),+3(147),-,62%,Bronze,程义威,邓力豪,何轩逸,Dan Li ,N,N
50,48,大连理工大学,Back Seaing,3,531,-,-,-,-,-,-,-,+1(11),-,+7(253),+4(87),-,75%,Bronze,冯子祥,吴习哲,Fangyu Bu,Bing Liang ,N,N
51,49,香港科技大学,HKUST1,3,538,-,-9,-,-,-,-1,-,+1(12),-,+4(251),+4(155),-,66%,Bronze,Taimas Korganbayev,Mukhammadarif Sakhmoldin,Raiymbek Baishuak,Qifeng Chen ,N,N
52,50,成都大学,nia~nia~nia~ciallo~,3,552,-,-,-,-,-,-,-,+2(16),-,+4(294),+2(142),-,62%,Bronze,陈纪元,张凡盛,黄兵,Ying Qin ,N,N
53,51,广西大学,Harukanaru Gensokyo,3,562,-,-,-,-,-,-,-,+1(8),-,+4(280),+3(174),-,62%,Bronze,张健明,陶康,孙怿翔,Feng Zhan ,N,N
54,52,河海大学,ln 7/b,3,563,-,-3,-,-,-,-,-,+1(12),-,+2(190),+4(281),-,57%,Bronze,陈培印,邵然,谭炜烨,Xuejie Zhang ,N,N
55,53,香港理工大学,Without Sky,3,588,-,-,-,-,-,-,-,+2(8),-3,+3(128),+6(292),-,72%,Bronze,孙涵松,孟祥宇,Ziqian Lin,Bo Li ,N,N
56,54,四川大学,Wanting to learn Ai,3,602,-,-2,-,-,-,-,-,+2(12),-,+5(231),+3(219),-,70%,Bronze,冯朝航,蔡相渔,陈燚,Jie Zuo ,N,N
57,55,重庆移通学院,Courage,3,602,-,-,-,-,-,-,-,+1(10),-,+7(242),+6(130),-,78%,Bronze,李德立,詹毅涵,Qing'an Lu,Yi Wang ,N,N
58,56,哈尔滨工程大学,go valorant esacpe delta dance,3,610,-,-,-,-,-,-,-,+3(16),-,+4(184),+3(270),-,70%,Bronze,赵新凯,孙江吉,闫力仁,Lin Guo ,N,N
59,57,天津大学,^v^,3,657,-,-,-,-,-,-,-,+1(7),-,+17(290),+1(40),-,84%,Bronze,张翔智,万文彬,王嘉晨,Mei Yu ,N,N
60,58,西北工业大学,Little Switty,3,682,-,-,-,-,-,-,-,+1(12),-,+4(255),+5(275),-,70%,Bronze,李可期,邹嘉豪,钟涛宇,Junrui Liu ,N,N
61,59,华中师范大学,T34-Gray,3,774,-,-,-,-2,-,-,-,+2(17),-,+4(269),+7(288),-,76%,Bronze,刘孟谦,杨璟欣,彭雅晨,Junmin Ye ,N,N
62,60,江南大学,Taboo Laevatein,2,69,-,-,-,-,-2,-14,-,+1(7),-,-7,+1(62),-,0%,Bronze,董万里,赵泓博,吴继凯,Min Jiang ,N,N
63,61,昆山杜克大学,zufang,2,120,-,-3,-,-,-,-,-,+2(24),-,-7,+1(76),-,33%,Bronze,胡子,孙厚旻,袁天骏,Ming-Chun Huang ,N,N
64,,香港科技大学,HKUST5,2,120,-,-,-,-,-,-,-,+1(11),-,-3,+2(89),-,33%,Bronze,Chan Ho Yin,AWADALLA,bdelrahman HossamEldin A. A.,Qifeng Chen ,N,N
65,62,武汉理工大学,Chuunibyou But ACMers,2,122,-,-,-,-,-,-,-,+1(18),-,-2,+1(104),-,0%,Bronze,史佳尚,余翔宇,陆冠丞,Dongdong Zhao ,N,N
