Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
267,,中山大学,中山大学_未完待续,3,216,+1(22),-6,-,-3,-2,-,-,-,+1(9),-,-,+3(145),-,40%,Honorable,N,N
268,,厦门大学,悠米出动！,3,217,+1(15),-,-,-5,-11,-,-,-,+1(58),-,-,+1(144),-,0%,Honorable,N,N
269,,青岛大学,命运之轮,3,227,+2(40),-,-,-5,-7,-,-,-,+2(54),-,-,+1(93),-,40%,Honorable,N,N
270,121,齐鲁工业大学,生死时速,3,228,+2(24),-2,-,-1,-1,-,-,-,+1(33),-,-,+4(91),-,57%,Honorable,N,N
271,,浙江工业大学,夏,3,229,+1(28),-6,-,-,-5,-,-,-,+3(34),-,-,+3(87),-,57%,Honorable,N,N
271,122,河北工业大学,先打他一块铁,3,229,+3(30),-,-,-1,-2,-,-,-,+2(46),-,-,+1(93),-,50%,Honorable,N,N
273,,武汉科技大学,有人四级没过,3,233,+1(8),-,-,-5,-4,-,-,-,+1(22),-,-,+5(123),-,57%,Honorable,N,N
274,123,南昌大学,我们都有美好的未来,3,235,+1(37),-5,-,-,-1,-,-,-,+1(30),-,-,+4(108),-,50%,Honorable,N,N
275,124,上海理工大学,令和三年的上海爱丽丝,3,236,+1(10),-21,-,-,-2,-,-,-,+1(19),-,-,+4(147),-,50%,Honorable,N,N
276,,深圳大学,SZU-YanranLee,3,244,+1(28),-,-,-10,-6,-,-,-,+2(34),-,-,+4(102),-,57%,Honorable,N,N
277,125,浙江工商大学,键盘滚脸,3,245,+1(6),-1,-,-2,-6,-,-,-,+1(33),-,-,+5(126),-,57%,Honorable,N,N
278,,东北大学,东北大学_空指针,3,247,+1(23),-,-,-1,-8,-,-,-,+2(18),-,-,+4(126),-,57%,Honorable,N,N
279,,兰州大学,灵光乍现,3,250,+1(33),-6,-,-1,-2,-,-,-,+3(45),-,-,+2(112),-,50%,Honorable,N,N
280,126,西南民族大学,锐汝乐,3,254,+2(27),-,-,-9,-6,-,-,-,+1(18),-,-,+4(129),-,57%,Honorable,N,N
280,126,新疆大学,xju02,3,254,+1(20),-,-,-,-12,-,-,-,+1(61),-,-,+3(133),-,40%,Honorable,N,N
282,128,长安大学,打完比赛吃最后一顿黄焖鸡,3,256,+1(32),-,-,-6,-3,-,-,-,+1(39),-,-,+3(145),-,40%,Honorable,N,N
283,,华东师范大学,加不出来,3,260,+1(15),-6,-,-2,-,-,-,-,+1(53),-,-,+4(132),-,50%,Honorable,N,N
284,129,长沙学院,林孟霜粉丝团,3,262,+1(26),-11,-,-,-,-,-,-,+1(32),-,-,+4(144),-,50%,Honorable,N,N
285,,上海大学,书,3,269,+2(13),-,-,-,-9,-,-,-,+2(33),-,-,+3(143),-,57%,Honorable,N,N
286,,苏州大学,555我的炸鸡,3,274,+1(21),-,-,-1,-3,-,-,-,+1(15),-,-,+6(138),-,62%,Honorable,N,N
287,130,河南大学,零异事件,3,279,+1(8),-,-,-,-15,-,-,-,+2(24),-,-,+5(147),-,62%,Honorable,N,N
288,,西北农林科技大学,二维数组,3,283,+1(35),-5,-,-,-4,-,-,-,+2(23),-,-,+4(145),-,57%,Honorable,N,N
289,,长沙学院,划水大队,3,290,+3(35),-,-,-,-5,-,-,-,+1(52),-,-,+2(143),-,50%,Honorable,N,N
290,,山东大学(威海),先占个位置,3,292,+2(43),-,-,-,-11,-,-,-,+2(21),-,-,+3(148),-,57%,Honorable,N,N
291,,华南师范大学,梭哈队,3,295,+1(17),-,-,-,-5,-,-,-,+1(29),-,-,+5(169),-,57%,Honorable,N,N
292,131,北京化工大学,全都不是原队伍队员,3,296,+1(24),-1,-,-,-11,-,-,-,+1(34),-,-,+5(158),-,57%,Honorable,N,N
293,132,浙江财经大学,秃如其来,3,298,+1(17),-7,-,-3,-,-,-,-,+1(41),-,-,+5(160),-,57%,Honorable,N,N
294,133,广西大学,退休不退役,3,304,+1(19),-3,-,-,-2,-,-,-,+2(50),-,-,+4(155),-,57%,Honorable,N,N
295,,浙江工业大学,铁华团,3,307,+1(16),-1,-,-,-4,-,-,-,+1(29),-,-,+5(182),-,57%,Honorable,N,N
296,134,昆明理工大学,哼 哼 啊啊啊啊啊啊啊,3,308,+1(24),-,-,-3,-,-,-,-,+7(63),-,-,+1(101),-,66%,Honorable,N,N
297,,北京理工大学,挂件挂挂件,3,318,+1(12),-,-,-3,-3,-,-,-,+1(22),-2,-,+4(224),-,50%,Honorable,N,N
298,135,河南财政金融学院,wawa自动机,3,319,+1(25),-,-,-,-4,-,-,-,+1(15),-,-,+5(199),-,57%,Honorable,N,N
299,136,信息工程大学,信大打铁人,3,330,+1(61),-,-,-,-12,-,-,-,+2(42),-,-,+4(147),-,57%,Honorable,N,N
299,136,宁波大学,超级BUG创作家,3,330,+1(21),-4,-,-,-,-,-,-,+1(32),-,-,+7(157),-,66%,Honorable,N,N
301,,东北大学,东北大学_奇迹有色信必橙,3,341,+2(52),-,-,-3,-11,-,-,-,+1(18),-,-,+5(171),-,62%,Honorable,N,N
302,,中国计量大学,为菈妮，我变成AC模样,3,344,+1(16),-1,-,-,-3,-,-,-,+1(19),-,-,+6(209),-,62%,Honorable,N,N
303,138,桂林电子科技大学,罚时不到两位数就算大成功,3,345,+1(19),-,-,-5,-6,-,-,-,+3(73),-,-,+4(153),-,62%,Honorable,N,N
304,,广西大学,这会不会是我此生仅有的机会,3,352,+1(37),-,-,-3,-,-,-,-,+1(87),-,-,+3(188),-,40%,Honorable,N,N
305,,山东师范大学,蒙古上单,3,353,+2(29),-,-,-,-15,-,-,-,+1(15),-,-,+8(149),-,72%,Honorable,N,N
306,,西南民族大学,刻晴想吃Cherry么,3,357,+2(19),-,-,-,+4(204),-,-,-,+2(34),-,-,-3,-,62%,Honorable,N,N
307,,浙江师范大学,星际猫,3,366,+1(14),-5,-,-,-,-,-,-,+5(86),-,-,+4(126),-,70%,Honorable,N,N
308,,苏州大学,渐入佳境,3,376,+2(18),-,-,-,-6,-,-,-,+6(42),-,-,+4(136),-,75%,Honorable,N,N
309,,南京航空航天大学,nuaa4,3,377,+2(20),-,-,-,-,-,-,-,+1(25),-,-,+3(272),-,50%,Honorable,N,N
310,,西北大学,火烧柯基屁屁,3,380,+1(34),-,-,-,-,-,-,-,+1(23),-,-,+5(243),-,57%,Honorable,N,N
311,139,中国石油大学（北京）,云雾深处把井打,3,387,+1(30),-2,-,-,-3,-,-,-,+6(36),-,-,+5(141),-,75%,Honorable,N,N
312,,南京航空航天大学,nuaa3,3,393,+3(39),-4,-,-,-2,-,-,-,+2(41),-,-,+3(213),-,62%,Honorable,N,N
313,140,西安科技大学,石榴花开等你来,3,397,+1(63),-1,-,-,-1,-,-,-,+5(70),-,-,+2(164),-,62%,Honorable,N,N
314,141,四川轻化工大学,巴巴托斯-suse,3,404,+1(26),-,-,-,-4,-,-,-,+1(64),-,-,+6(214),-,62%,Honorable,N,N
314,141,西安理工大学,德鲁比,3,404,+1(34),-,-,-1,-6,-,-,-,+1(16),-,-,+6(254),-,62%,Honorable,N,N
316,,北京科技大学,旺旺特工,3,407,+1(20),-2,-,-,-,-,-,-,+6(124),-,-,+4(103),-,72%,Honorable,N,N
317,143,东北电力大学,HAL 9000,3,425,+2(13),-,-,-11,-8,-,-,-,+1(21),-,-,+7(251),-,70%,Honorable,N,N
318,144,中南民族大学,411找不到,3,431,+1(41),-,-,-,-8,-,-,-,+2(23),-,-,+9(187),-,75%,Honorable,N,N
319,,上海理工大学,立直dora7,3,435,+1(30),-,-,-13,-10,-,-,-,+1(15),-,-,+12(170),-,78%,Honorable,N,N
320,145,嘉兴学院,"""-1' union select 'zjxu',1#""",3,436,+1(19),-,-,-,-9,-,-,-1,+1(47),-,-,+7(250),-,66%,Honorable,N,N
321,146,福建工程学院,黄昏之烬的二重奏,3,475,+1(29),+9(267),-,-,-,-,-,-,+1(19),-,-,-13,-,72%,Honorable,N,N
322,,新疆大学,xju01,3,476,+2(17),-,-,-,-1,-,-,-,+2(34),-,-,+8(245),-,75%,Honorable,N,N
323,,复旦大学,上海爱丽丝幻乐团,3,489,+1(29),-7,-,-,-,-,-2,-,+1(19),-,-,+11(241),-,76%,Honorable,N,N
324,147,江西理工大学(南昌),我们都是铁匠,3,523,+1(41),-,-,-,-,-,-,-,+2(26),-,-,+10(256),-,76%,Honorable,N,N
325,148,宁夏大学,好吃你就多吃点,3,600,+5(87),-,-,-,-4,-,-,-,+4(121),-,-,+3(212),-,75%,Honorable,N,N
326,149,乐山师范学院,看罗少AC,3,619,+1(49),-,-,-,-,-,-,-,+1(55),-,-,+12(295),-,78%,Honorable,N,N
327,,西南财经大学,世界征服者,3,664,+9(125),-,-,-,-,-,-,-,+2(29),-,-,+5(250),-,81%,Honorable,N,N
328,,中国传媒大学,菜鸟驿站,3,775,+8(156),-,-,-,-,-,-,-,+2(44),-,-,+7(295),-,82%,Honorable,N,N
329,150,阜阳师范大学,摸鱼老人,2,29,+1(23),-,-,-,-,-,-,-,+1(6),-,-,-25,-,0%,Honorable,N,N
330,,北京师范大学,酉算子,2,35,+1(25),-2,-,-,-,-,-,-,+1(10),-,-,-10,-,0%,Honorable,N,N
331,,南华大学,昨天刚学C++,2,72,+1(31),-,-,-1,-1,-,-,-,+2(21),-,-,-7,-,33%,Honorable,N,N
332,,长安大学,WA自动机,2,78,+1(32),-5,-,-1,-,-,-,-,+2(26),-,-,-2,-,33%,Honorable,N,N
333,,成都理工大学,tourists,2,87,+1(40),-,-,-,-4,-,-,-,+2(27),-,-,-6,-,33%,Honorable,N,N
334,,中国石油大学（北京）,祖国盛开石油花,2,101,+3(34),-2,-,-4,-,-,-,-,+1(27),-,-,-6,-,50%,Honorable,N,N
335,,西安邮电大学,加速同调连光都可以超越,2,116,+3(56),-,-,-,-,-,-,-,+1(20),-,-,-3,-,50%,Honorable,N,N
336,,江西师范大学,学长代打,2,120,+3(43),-1,-,-2,-,-,-,-,+2(17),-,-,-4,-,60%,Honorable,N,N
337,,乐山师范学院,乐师一队,2,131,+3(44),-,-,-,-4,-,-,-,+2(27),-,-,-12,-,60%,Honorable,N,N
338,151,湖南第一师范学院,正气队,2,147,+3(44),-,-,-,-,-,-,-,+3(23),-,-,-10,-,66%,Honorable,N,N
339,,西南民族大学,百竹,2,170,+3(37),-,-,-,-,-,-,-,+3(53),-,-,-7,-,66%,Honorable,N,N
339,,西安理工大学,神秘的力量,2,170,+2(73),-,-,-,-2,-,-,-,+2(57),-,-,-3,-,50%,Honorable,N,N
341,,湖北工业大学,Wahaha,2,202,+2(69),-,-,-,-,-,-,-,+2(93),-,-,-3,-,50%,Honorable,N,N
342,152,南京晓庄学院,卤蛋卷怎么这么好吃啊,2,259,+3(115),-,-,-,-,-,-,-,+4(44),-,-,-6,-,71%,Honorable,N,N
343,153,空军工程大学,木落南翔,2,280,+2(118),-1,-,-2,-,-,-,-,+4(82),-,-,-8,-,66%,Honorable,N,N
344,,西安理工大学,西理10086,2,346,+5(207),-,-,-,-,-,-,-,+2(39),-,-,-4,-,71%,Honorable,N,N
345,,东华大学,牛,2,375,+8(174),-,-,-,-,-,-,-1,+3(21),-,-,-6,-,81%,Honorable,N,N
346,,信息工程大学,大人，时代变了,2,429,+5(196),-,-,-,-1,-,-,-,+3(113),-,-,-5,-,75%,Honorable,N,N
347,,宁夏大学,非确定性图灵机,2,530,+7(288),-,-,-,-,-,-,-,+3(82),-,-,-1,-,80%,Honorable,N,N
348,,西安邮电大学,今晚吃肉夹馍！,2,630,+5(268),-,-,-,-,-,-,-,+7(162),-,-,-3,-,83%,Honorable,N,N
349,154,西安工业大学,西北枢纽,1,30,+1(30),-,-,-,-,-,-,-,-7,-,-,-5,-,0%,Honorable,N,N
350,155,西南石油大学,溜溜橙,1,61,-20,-,-,-,-3,-,-,-,+3(21),-,-,-,-,66%,Honorable,N,N
351,,中国传媒大学,啊对对队,1,105,-8,-,-,-,-1,-,-,-,+4(45),-,-,-4,-,75%,Honorable,N,N
352,156,西安明德理工学院,魔芋摸得一手好鱼,1,120,-,-,-,-,-,-,-,-,+3(80),-,-,-,-,66%,Honorable,N,N
353,157,西安欧亚学院,ACM也就图一乐，收收心找个电子厂上班吧,1,169,-1,-,-,-,-,-,-,-,+3(129),-,-,-,-,66%,Honorable,N,N
354,158,陕西师范大学,生瓜蛋子,1,230,-2,-,-,-,-,-,-,-,+2(210),-,-,-1,-,50%,Honorable,N,N
355,,西安明德理工学院,八月秋高风怒号,1,259,-,-,-,-,-,-,-,-,+8(119),-,-,-,-,87%,Honorable,N,N
356,,信息工程大学,F1appy_b0ys,0,0,-4,-,-,-,-,-,-2,-,-8,-,-,-,-,0%,Honorable,N,N
356,,重庆邮电大学,天生万物以养人,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
356,159,陕西科技大学,好好好冲冲冲！,0,0,-,-,-,-,-,-,-,-,-22,-,-,-,-,0%,Honorable,N,N
356,,陕西师范大学,开拓者,0,0,-,-,-,-,-,-,-,-,-5,-,-,-,-,0%,Honorable,N,N
356,,广东工业大学,强力去污粉,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
356,159,华侨大学,红日初升,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
356,,广东工业大学,金缕衣,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
356,,四川大学,魔理沙,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
