Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
71,浙江大学城市学院,Paprika,5,671,+1(19),+1(188),+3(266),+1(107),,,,,,+1(51),-8,
72,浙江大学,aftermath,5,673,+2(17),+5(96),+4(175),+2(130),,,,,,+2(55),-4,
73,同济大学,dzerzhinski observation group,5,677,+1(7),+3(120),+1(165),+3(217),,,,,,+2(68),-5,
74,河南理工大学,Leap of Faith,5,681,+1(15),+1(125),+3(176),+3(245),,,,,,+1(40),,
75,中国石油大学（华东）,you are not fish,5,682,+1(8),+3(205),+1(114),+4(238),,,,,,+1(17),-10,
76,华东师范大学,510 Not Extended,5,687,+1(7),+2(199),+2(148),+2(228),,,,,,+1(45),-2,
77,武汉大学,KUNJINKAO,5,692,+1(18),+2(200),+1(286),+1(127),,,,,,+1(41),-10,
78,东南大学,girl next door,5,729,+1(8),+1(110),+2(240),+3(232),,,,,,+2(59),-11,
79,中国科学技术大学,winner winner chicken dinner,5,736,+1(20),+1(102),+6(248),+1(140),,,,,,+1(126),-1,
80,西安电子科技大学,-rw-rw-rw-,5,744,+1(13),+3(91),+3(232),+2(187),,,,,,+2(101),-4,
81,浙江财经大学东方学院,ZZWXZKKSKDM,5,750,+3(27),+3(189),+3(202),+1(116),,,,,,+2(76),-17,
82,华东师范大学,AK Programming Contest,5,755,+1(15),+2(72),+3(259),+3(209),,,,,,+2(80),-1,
83,中国石油大学（华东）,"WINNER WINNER,CHICKEN DINNER!",5,766,+2(14),+4(202),+3(121),+3(228),,,,,,+1(41),-15,
84,哈尔滨工程大学,Primary Colors,5,785,+1(10),+2(136),+3(216),+2(295),,,,,,+1(48),,
85,福州大学,IIIIIIIIIIII,5,852,+1(15),+3(200),+4(250),+4(170),,,,,,+1(57),-7,
86,广东工业大学,Neck Pain Sunflower,5,863,+2(49),+1(159),+3(207),+1(289),,,,,,+3(59),,
87,浙江科技学院,zust_team1,5,900,+5(59),+2(106),+1(272),+1(196),,,,,,+3(127),-1,
88,中国矿业大学,CUMT-Fe,5,926,+1(13),+6(195),+4(243),+1(280),,,,,,+1(35),,-3
89,南开大学,1/3μ’s,5,978,+1(23),+3(288),+5(291),+1(175),,,,,,+1(101),,
90,中南大学,Canon in A,5,1106,+1(10),+6(280),+5(264),+1(246),,,,,,+2(106),-1,
91,华中科技大学,HUST Affiliated Kindergarten,4,229,+1(11),+1(73),-6,+1(68),,,,,,+2(57),-5,
92,大连理工大学,Spicy chicken peck each other,4,303,+1(17),+1(129),-6,+1(66),,,,,,+1(91),-1,
93,福建师范大学,Onlookers,4,330,+1(11),+2(117),,+1(154),,,,,,+1(28),,
94,中北大学,Beyond-T,4,358,+1(15),,+1(90),+2(188),-1,,,,,+1(45),,
95,湖南工业大学,Recovery al,4,367,+1(10),+1(96),-5,+1(184),-3,,,,,+1(77),,-2
96,浙江农林大学,Unstop,4,400,+5(18),-1,+1(144),+1(70),,,,,,+1(88),-3,
97,南京理工大学,AcCompany,4,402,+1(8),-6,+4(165),+2(94),,,,,,+1(55),,
98,成都东软学院,Back Pot Man,4,434,+1(16),-5,+1(166),+2(130),,,,,,+2(82),,
99,重庆大学,what for dinner,4,445,+1(10),+2(169),-18,+1(167),,,,,,+2(59),,
100,杭州电子科技大学,HDU-Despacito,4,465,+2(43),+2(143),-2,+1(174),,,,,,+1(65),-10,
100,中国地质大学（北京）,Daybreak,4,465,+1(14),+2(101),-3,+2(269),,,,,,+1(41),,
102,北京交通大学,ironworkers,4,498,+1(14),+3(115),-1,+1(286),,,,,,+1(43),,
103,常州大学,NaCl.Fish,4,510,+1(9),-3,+3(114),+3(254),,,,,,+1(53),-4,
104,杭州电子科技大学信息工程学院,Give me a stock of M4,4,514,+1(10),-3,+1(144),+3(276),,,,,,+1(44),,
105,东华大学,nufeW,4,541,+1(15),+1(240),-1,+2(221),,,,,,+1(45),,
106,华南农业大学,SCAU_Angry_Crow,4,550,+2(14),+1(252),-1,+2(205),,,,,,+1(39),,
107,苏州大学,Billy Jean,4,556,+1(8),-9,+1(69),+1(286),,,,,,+5(113),-3,
108,武汉大学,S,4,592,+1(22),-1,+1(65),+1(214),,,,,,+7(171),,
109,广东工业大学,AOBO,4,606,+1(24),,+2(248),+1(198),,,,,,+1(116),,
110,重庆大学,0.1s explode,4,622,+1(13),+6(281),-19,+3(151),,,,,,+1(37),,
111,华东交通大学,Protea,4,635,+1(7),+4(242),+6(196),,,,,,,+1(30),,
112,中南大学,bluebell,4,654,+1(14),-5,+1(237),+2(187),,,,,,+3(156),,
113,青岛大学,no cer,4,669,+1(15),+6(247),-6,+3(230),,,,,,+1(37),,
114,河南工业大学,Struggle Everyday,4,721,+1(15),,+1(238),+4(263),-3,,,,,+2(125),,
115,东北农业大学,ACdance,4,889,+2(15),+2(155),+9(261),-7,,,,,,+4(198),,
116,浙江大学宁波理工学院,yoridorimidoripoi,3,187,+1(16),-12,-1,+1(120),,,,,,+1(51),,
117,浙江中医药大学,ZCMU-HZ1,3,234,+1(12),,+1(35),-3,,,,,,+3(147),,
118,重庆邮电大学,Dark Repulsor,3,248,+1(20),-6,-2,+1(156),,,,,,+1(72),,
119,长沙理工大学,Black Tiger Corners Little Lamb,3,252,+2(21),,+1(115),,,,,,,+2(76),,
120,郑州轻工业学院,Ttsnt,3,279,+1(9),-4,+1(238),-2,,,,,,+1(32),,
121,湘潭大学,we don’t have a gragh theory,3,298,+1(9),,+1(215),-5,,,,,,+1(74),,
122,天津大学,TJU_acunstoppable,3,300,+1(25),,-3,+1(180),,,,,,+2(75),,
123,华南农业大学,SCAU_party_up,3,308,+1(20),-1,-3,+2(193),,,,,,+2(55),,
124,北京理工大学,ACMilk,3,313,+2(33),-2,-1,+2(117),,,,,,+2(103),,
125,山东大学,Thomas,3,327,+2(9),-2,-1,+3(228),-2,,,,,+1(30),,
126,南阳理工学院,Something Just Like This,3,333,+1(7),-8,-8,+2(271),,,,,,+1(35),,
127,华中师范大学,Moonbow,3,337,+2(21),+4(165),,-3,,,,,,+1(71),,
128,长春理工大学,Amazing,3,345,+1(15),+5(213),-1,,,,,,,+1(37),,
129,南京理工大学,Victory belongs to the brotherhood,3,354,+1(14),+4(205),-7,-5,,,,,,+1(75),,
130,浙江工业大学,you like that,3,361,+1(19),,+3(161),-8,,,,,,+1(141),,
131,郑州师范学院,team one,3,363,+3(23),+3(158),-4,-3,,,,,,+1(102),,
132,南京航空航天大学,Lcj is our goddess,3,377,+2(20),+2(167),-3,,,,,,,+3(110),,
