Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
149,浙江工业大学,ZJUT8,2,511,-,-,+1(197),-,-,-,-,-,-,+6(214),-6,-,-
150,南京晓庄学院,香港记者,2,536,-,-,+1(297),-,-,-,-,-,-,+8(99),-,-,-
151,台州学院,没有女友队,1,23,-,-,-1,-,-,-,-,-,-,+1(23),-,-,-
152,中国人民解放军战略支援部队信息工程大学,人类的本质是,1,31,-,-,-6,-,-,-,-,-,-,+1(31),-,-,-
153,东北林业大学,注射用思他宁,1,39,-,-,-5,-,-,-,-,-,-,+1(39),-,-,-
154,哈尔滨工程大学,一个非常正经的队,1,47,-,-,-2,-,-,-,-1,-,-,+1(47),-,-,-
155,哈尔滨理工大学,哈理工7队,1,50,-,-,-,-,-,-,-,-,-,+2(30),-,-,-
155,山东科技大学,半人马号,1,50,-,-,-3,-,-,-,-1,-,-,+1(50),-,-,-
157,哈尔滨华德学院,这！就是华德,1,52,-,-,-8,-,-,-,-,-,-,+1(52),-,-,-
158,中国传媒大学,我的ac名单上有5个名字,1,56,-,-,-,-,-,-,-,-,-,+1(56),-,-,-
159,兰州大学,逸已死吾亦死,1,63,-,-,-1,-,-,-,-,-,-,+1(63),-,-,-
160,湖南工业大学,青梅煮酒,1,76,-,-,-,-,-,-,-6,-,-,+2(56),-1,-,-
160,山东理工大学,咕军奋战,1,76,-,-,-,-,-,-,-,-,-,+2(56),-,-,-
162,南通大学,沈阳山猪,1,79,-,-,-1,-,-,-,-,-,-,+2(59),-,-,-
163,杭州电子科技大学,杭电十一队,1,83,-,-,-2,-,-,-,-,-,-,+2(63),-,-8,-
164,中南林业科技大学,中南林科大2队,1,85,-,-,-,-,-,-,-,-,-,+1(85),-,-,-
165,沈阳化工大学,这也太真实了,1,95,-,-,-,-,-,-,-2,-,-,+2(75),-,-,-
166,哈尔滨学院,一个没有小姐姐的队,1,97,-,-,-2,-,-,-,-,-,-,+2(77),-,-,-
167,兰州理工大学,混乱清理者,1,98,-,-,-2,-,-,-,-,-,-,+2(78),-,-,-
168,山东大学（威海）,肖秦叶三铁匠一起来打铁,1,99,-,-,-,-,-,-,-,-,-,+2(79),-,-,-
169,大连海事大学,除学不知,1,102,-,-,-4,-,-,-,-,-,-,+3(62),-,-,-
169,江西财经大学,一天A一道,1,102,-1,-,-6,-,-,-,-,-,-,+2(82),-,-,-
171,江南大学,子言君声,1,103,-,-,-2,-,-,-,-,-,-,+3(63),-,-,-
172,北京信息科技大学,沈阳一日游,1,106,-,-,-,-,-,-,-,-,-,+2(86),-,-,-
173,成都信息工程大学,猪肉炖油条,1,108,-,-,-,-,-,-,-,-,-,+2(88),-,-,-
174,河南大学,Bug自动机,1,112,-,-,-4,-,-,-,-,-,-,+3(72),-,-,-
175,华南师范大学,线性代数半价出售,1,118,-,-,-,-,-,-,-,-,-,+3(78),-,-,-
176,东北师范大学,稻花香里说丰年,1,119,-,-,-1,-,-,-,-,-,-,+3(79),-,-,-
177,桂林电子科技大学,WA题自动机,1,124,-,-,-1,-,-,-,-,-,-,+1(124),-,-,-
178,西南石油大学,破浪,1,125,-,-1,-6,-,-,-,-,-,-,+3(85),-,-,-
179,贵州大学,拿牌换机票,1,155,-,-,-,-,-,-,-4,-,-,+4(95),-,-,-
180,天津工业大学,我们坐着硬卧来,1,162,-,-,-3,-,-,-,-,-,-,+4(102),-,-,-
181,西安邮电大学,达拉崩吧,1,225,-,-,-,-,-,-,-,-,-,+7(105),-2,-,-
182,成都理工大学,数独,1,232,-,-,-,-,-,-,-,-,-,+6(132),-,-,-
183,中国科学院大学,Grassmann流形,1,246,-,-,-2,-,-,-,-1,-,-,+4(186),-,-,-
184,华中农业大学,为什么不让我用python,1,286,-,-,-4,-,-,-,-,-,-,+4(226),-8,-,-
185,河北工业大学,编码吧兄弟,1,296,-,-,-,-,-,-,-,-,-,+7(176),-,-,-
186,长安大学,快来补题,1,434,-,-,-,-,-,-,-,-,-,+9(274),-,-,-
187,河南理工大学,随遇而安,1,718,-,-,-2,-,-,-,-,-,-,+22(298),-,-,-
