Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,N,Dirt,Medal,Unofficial,Girl
289,,沈阳航空航天大学,暮雪倾城,3,338,-,+2(40),-,-,-,-1,-3,-,+3(236),-,-,-,-2,+1(2),50%,Honorable,N,N
292,,长沙学院,表里如一,3,341,-,+1(42),-,-,-,-,-6,-,+5(215),-,-,-,-,+1(4),57%,Honorable,N,N
293,,哈尔滨理工大学,哈理工2019秋08,3,344,-,+1(84),-,-,-,-,+1(258),-,-2,-,-,-,-,+1(2),0%,Honorable,N,N
294,181,惠州学院,烫烫烫,3,349,-,+1(72),-,-,-,-,-,-,+4(207),-,-,-,-,+1(10),50%,Honorable,N,N
295,182,广东东软学院,一定队,3,352,-,+1(76),-,-,-,-,-1,-,+3(233),-,-,-,-,+1(3),40%,Honorable,N,N
296,183,中央民族大学,嗯么么么,3,355,-,+1(34),-,-,-,-,+5(233),-,-,-,-,-,-,+1(8),57%,Honorable,N,N
297,184,兰州大学,啥都不会,3,356,-,+1(41),-,-,-,-,-9,-,+5(233),-,-,-,-,+1(2),57%,Honorable,N,N
298,185,南京中医药大学,葡萄树上黄鹂鸟,3,360,-,+2(105),-,-,-,-,-1,-13,+6(132),-,-,-,-,+1(3),66%,Honorable,N,N
299,,中北大学,感赞真主,3,362,-,+1(66),-,-,-,-,-,-,+4(233),-,-,-,-,+1(3),50%,Honorable,N,N
299,,华南师范大学,码不停题,3,362,-,+1(77),-,-,-,-,-2,-,+2(263),-,-,-,-,+1(2),25%,Honorable,N,N
301,,河南大学,博文*2+?,3,364,-,+2(80),-,-,-,-,-,-,+1(262),-,-,-,-,+1(2),25%,Honorable,N,N
302,,海贼科技,白胡子纽盖特,3,366,-,+2(200),-,-,-,-,-2,-,+4(83),-,-,-,-,+1(3),57%,Honorable,N,N
303,186,桂林电子科技大学,一A不WA,3,368,-,+1(94),-,-,-,-,+1(270),-,-,-,-,-,-,+1(4),0%,Honorable,N,N
304,,吉首大学,Lucky,3,369,-,+1(41),-,-,-,-,+4(265),-,-5,-,-,-,-,+1(3),50%,Honorable,N,N
304,,江南大学,大弱智鱼,3,369,-,+1(34),-,-,-,-,-,-,+4(271),-,-,-,-,+1(4),50%,Honorable,N,N
306,187,北京理工大学珠海学院,签完到就走,3,378,-,+1(137),-,-,-,-1,-9,-6,+5(158),-,-,-,-,+1(3),57%,Honorable,N,N
307,,暨南大学,彭勇是我大哥,3,379,-,+1(61),-,-,-,-,+3(269),-,-,-,-,-,-,+1(9),40%,Honorable,N,N
308,188,桂林电子科技大学信息科技学院,我不要你觉得 我要我觉得,3,387,-,+1(59),-,-,-,-,-,-,+5(243),-,-,-,-4,+1(5),57%,Honorable,N,N
309,189,沈阳化工大学,啥也不会的宁杰玉,3,397,-,+2(98),-,-,-,-,-12,-,+3(234),-,-,-,-,+1(5),50%,Honorable,N,N
310,190,内蒙古师范大学,师大一队,3,402,-,+1(188),-,-,-,-,-,-,+5(131),-,-,-,-,+1(3),57%,Honorable,N,N
311,,中北大学,星辰大海,3,413,-,+2(42),-,-,-,-,-3,-,+4(282),-,-,-,-,+1(9),57%,Honorable,N,N
312,191,淮北师范大学,答案,3,448,-,+2(61),-,-,-,-,-,-,+7(243),-,-,-,-,+1(4),70%,Honorable,N,N
313,,北京信息科技大学,"我们叫""这只竹鼠中暑了""",3,467,-,+1(40),-,-2,-,-,-,-,+12(204),-,-,-,-,+1(3),78%,Honorable,N,N
313,,南昌航空大学,听取wa声一片,3,467,-,+1(34),-,-,-,-,-4,-,+8(288),-,-,-,-,+1(5),70%,Honorable,N,N
315,,中国传媒大学,拿不到牌全单身,3,498,-,+3(145),-,-,-,-,+2(291),-,-4,-1,-,-,-,+1(2),50%,Honorable,N,N
316,,沈阳化工大学,肥仔快乐水！,3,509,-,+5(97),-,-,-,-,-,-,+5(249),-,-,-,-,+1(3),72%,Honorable,N,N
317,192,浙江科技学院,卖竹鼠三元一只十元三只,3,538,-,+1(107),-,-,-,-,+8(287),-,-14,-,-,-,-,+1(4),70%,Honorable,N,N
318,,哈尔滨理工大学,哈理工2019秋09,3,546,-,+2(102),-,-,-,-5,-5,-,+7(288),-,-,-,-,+1(16),70%,Honorable,N,N
319,193,湖北民族大学,练习时长一年半的程序猿,3,548,-,+5(79),-,-,-,-,-,-,+6(285),-,-,-,-,+1(4),75%,Honorable,N,N
320,,海贼科技,摩根船长,2,29,-,-3,-,-,-,-,-,-,+1(23),-,-,-,-,+1(6),0%,Honorable,N,N
321,,中国地质大学（武汉）,地大最锈wa掘机,2,34,-,+1(31),-,-,-,-,-2,-,-,-,-,-,-1,+1(3),0%,Honorable,N,N
322,,天津工业大学,给大佬递猫,2,37,-,+1(34),-,-,-,-,-5,-,-4,-,-,-,-,+1(3),0%,Honorable,N,N
323,194,西南交通大学峨眉校区,星之希望,2,38,-,+1(33),-,-,-,-,-3,-,-1,-,-,-,-,+1(5),0%,Honorable,N,N
323,,长春工业大学,谁管它,2,38,-,+1(33),-,-,-,-,-3,-,-,-,-,-,-,+1(5),0%,Honorable,N,N
325,195,安徽工业大学,AC自动机,2,40,-,+1(36),-,-,-,-,-1,-,-,-,-,-,-,+1(4),0%,Honorable,N,N
326,196,湖北经济学院,纵横,2,42,-,+1(36),-,-,-,-,-,-,-1,-,-,-,-,+1(6),0%,Honorable,N,N
327,197,武昌首义学院,不要太慢,2,45,-,+1(43),-,-,-,-,-2,-9,-4,-,-,-,-,+1(2),0%,Honorable,N,N
328,198,北京化工大学,七金打铁,2,46,-,+1(40),-,-,-,-,-,-,-,-,-,-,-,+1(6),0%,Honorable,N,N
329,,苏州大学,从江南到江南,2,49,-,+1(43),-,-,-,-,-3,-,-,-,-,-,-,+1(6),0%,Honorable,N,N
329,,江西师范大学,霞鹜齐飞,2,49,-,+1(46),-,-,-,-,-1,-,-,-,-,-,-,+1(3),0%,Honorable,N,N
331,,兰州理工大学,专写bug队,2,56,-,+1(50),-,-,-,-2,-2,-,-2,-,-,-,-,+1(6),0%,Honorable,N,N
332,,贵州大学,复制粘贴,2,64,-,+2(42),-,-,-,-,-5,-,-6,-,-,-,-,+1(2),33%,Honorable,N,N
332,,吉首大学,JSU02,2,64,-,+1(57),-,-,-,-,-2,-,-,-,-,-,-,+1(7),0%,Honorable,N,N
334,199,陕西师范大学,求求给个铜,2,67,-,+1(64),-,-,-,-,-4,-,-,-,-,-,-,+1(3),0%,Honorable,N,N
335,200,天津理工大学,tjut_new_power,2,72,-,+2(47),-,-,-,-,-1,-,-,-,-,-,-,+1(5),33%,Honorable,N,N
336,201,衡水学院,衡水学院一队,2,74,-,+1(71),-,-,-,-,-,-,-2,-,-,-,-,+1(3),0%,Honorable,N,N
337,202,太原工业学院,盖茨,2,76,-,+2(46),-,-,-,-,-,-,-1,-,-,-,-,+1(10),33%,Honorable,N,N
338,203,东华大学,小怪兽,2,77,-,+1(69),-,-,-,-,-6,-,-,-,-,-,-,+1(8),0%,Honorable,N,N
339,,桂林电子科技大学,罗小黑战队,2,78,-,+1(73),-,-,-,-,-,-,-6,-,-,-,-,+1(5),0%,Honorable,N,N
339,,西安科技大学,西科大17队,2,78,-,+1(76),-,-,-,-,-,-,-2,-,-,-,-,+1(2),0%,Honorable,N,N
341,,青海大学,LLJ,2,83,-,+1(77),-,-,-,-,-,-,-6,-,-,-,-,+1(6),0%,Honorable,N,N
342,,绍兴文理学院,让我想想,2,88,-,+3(41),-,-,-,-,-8,-,-2,-,-,-,-,+1(7),50%,Honorable,N,N
343,204,信息工程大学,CV,2,89,-,+1(84),-,-,-,-2,-,-,-,-,-,-,-,+1(5),0%,Honorable,N,N
344,205,北京电子科技学院,顽强拼搏,2,92,-,+3(50),-,-,-,-5,-,-4,-,-,-,-,-,+1(2),50%,Honorable,N,N
345,,兰州大学,骑骆驼来写代码,2,94,-,+3(33),-,-,-,-,-,-3,-1,-,-,-,-,+1(21),50%,Honorable,N,N
345,,南昌航空大学,世界你好,2,94,-,+2(67),-,-,-,-,-4,-,-,-,-,-,-1,+1(7),33%,Honorable,N,N
345,,东北农业大学,摸金校尉,2,94,-,+1(69),-,-,-,-,-,-,-,-,-,-,-,+1(25),0%,Honorable,N,N
348,,曲阜师范大学,幼儿园班车,2,97,-,+1(95),-,-,-,-,-3,-,-2,-,-,-,-,+1(2),0%,Honorable,N,N
349,206,宁夏大学,最大瘤,2,101,-,+2(66),-,-,-,-,-,-,-3,-,-,-,-,+1(15),33%,Honorable,N,N
349,,天津理工大学,tjut_star,2,101,-,+1(96),-,-,-,-2,-,-,-3,-,-2,-,-,+1(5),0%,Honorable,N,N
349,,兰州理工大学,窝窝头,2,101,-,+1(99),-,-,-,-,-2,-,-1,-,-,-,-,+1(2),0%,Honorable,N,N
352,207,北方民族大学,不规则体空间移动工程师,2,106,-,+1(55),-,-,-,-,-,-,-,-,-,-,-1,+1(51),0%,Honorable,N,N
353,,西南石油大学,说好不WA,2,107,-,+1(98),-,-,-,-1,-,-,-1,-,-,-,-1,+1(9),0%,Honorable,N,N
354,208,辽宁大学,那可以浪起来,2,110,-,+1(87),-,-,-,-,-,-,-,-,-,-,-,+1(23),0%,Honorable,N,N
355,,中国地质大学（武汉）,只配拥有平凡理想的弱单环,2,112,-,+3(71),-,-,-,-,-,-,-3,-,-,-,-,+1(1),50%,Honorable,N,N
356,209,中南民族大学,Bug队,2,113,-,+1(110),-,-,-,-,-1,-,-1,-,-,-,-,+1(3),0%,Honorable,N,N
357,210,沈阳师范大学,落日飞车,2,114,-,+2(93),-,-,-,-,-,-,-,-,-,-,-,+1(1),33%,Honorable,N,N
358,,广东东软学院,旗鼓相当的对手,2,119,-,+2(96),-,-,-,-,-,-,-3,-,-,-,-,+1(3),33%,Honorable,N,N
359,,江西财经大学,欧拉！欧拉！欧拉！,2,129,-,+2(72),-,-,-,-,-,-3,-,-,-,-,-,+2(17),50%,Honorable,N,N
360,,河南理工大学,杰瑞行,2,131,-,+3(88),-,-,-,-,-1,-,-,-,-,-,-,+1(3),50%,Honorable,N,N
361,211,上海建桥学院,上海建桥学院,2,138,-,+1(133),-,-,-,-,-2,-,-4,-,-,-,-,+1(5),0%,Honorable,N,N
362,212,河南牧业经济学院,三人一个队,2,139,-,+1(136),-,-,-,-4,-,-,-2,-,-,-,-,+1(3),0%,Honorable,N,N
363,213,郑州商学院,祖安文曲星下凡,2,156,-1,+2(132),-,-,-,-,-,-,-5,-,-,-,-,+1(4),33%,Honorable,N,N
364,,山东财经大学,神之长子永世长存,2,163,-,+3(117),-,-,-,-,-4,-,-3,-,-1,-,-,+1(6),50%,Honorable,N,N
365,,宁夏大学,平头哥,2,164,-,+4(70),-,-,-,-1,-4,-,-,-,-,-,-,+1(34),60%,Honorable,N,N
366,,临沂大学,暴力出奇迹，打表出省一,2,169,-,+3(123),-,-,-,-,-,-,-,-,-,-,-,+1(6),50%,Honorable,N,N
367,214,广西民族大学,广西民族大学,2,171,-,+1(166),-,-,-,-,-,-,-2,-,-,-,-,+1(5),0%,Honorable,N,N
368,215,宁夏理工学院,AC Duck,2,173,-,+2(149),-1,-,-,-,-,-,-1,-,-1,-,-,+1(4),33%,Honorable,N,N
369,216,青岛农业大学,42,2,174,-,+1(150),-,-,-,-,-,-,-,-,-,-,-,+2(4),33%,Honorable,N,N
370,,武昌首义学院,不要太快,2,180,-,+3(134),-,-,-,-,-7,-,-,-,-,-,-,+1(6),50%,Honorable,N,N
371,,宁夏大学,Linear base,2,183,-,+3(116),-,-,-,-1,-,-,-,-,-,-,-,+1(27),50%,Honorable,N,N
372,217,四川大学锦城学院,莫名塘深度优先,2,184,-,+3(124),-,-,-,-,-,-,-,-,-,-,-,+1(20),50%,Honorable,N,N
373,218,黄河科技学院,站马屯北男子职业技术学院,2,187,-,+2(157),-,-,-,-,-,-,-3,-,-,-,-,+1(10),33%,Honorable,N,N
374,219,福建农林大学,打完这场就去喝奶茶,2,193,-,+2(166),-,-,-,-,-3,-,-2,-,-,-,-,+1(7),33%,Honorable,N,N
375,,内蒙古科技大学,老板来杯拿铁,2,197,-,+1(108),-,-,-,-,-2,-,-,-,-,-,-,+2(69),33%,Honorable,N,N
376,220,辽宁中医药大学,红鲤鱼与绿鲤鱼与驴,2,219,-,+2(193),-,-,-,-2,-,-,-3,-,-,-,-4,+1(6),33%,Honorable,N,N
377,,曲阜师范大学,铸剑者,2,259,-,+4(196),-,-,-,-1,-,-,-2,-,-,-,-2,+1(3),60%,Honorable,N,N
378,,宁夏理工学院,想飞上天和太阳肩并肩,2,260,-,+1(257),-,-1,-,-,-,-,-3,-,-,-,-,+1(3),0%,Honorable,N,N
379,221,山东工商学院,给阿姨倒一杯,2,262,-,+3(221),-,-,-,-,-2,-,-2,-,-,-,-,+1(1),50%,Honorable,N,N
380,,河南科技大学,河南洛阳,2,266,-,+2(241),-,-,-,-,-,-,-7,-,-,-,-,+1(5),33%,Honorable,N,N
381,222,通化师范学院,你看我扎不扎你就完了,2,376,-,+7(252),-,-,-,-,-,-,-,-,-,-,-2,+1(4),75%,Honorable,N,N
382,223,河北经贸大学,三次元,2,399,-,+10(214),-,-3,-,-,-,-,-,-,-,-,-,+1(5),81%,Honorable,N,N
383,224,贵州工程应用技术学院,梦想探险家,2,411,-,-5,-,-,-,-,-,-,+8(267),-,-,-,-,+1(4),77%,Honorable,N,N
384,,河南科技大学,我们好难啊,1,2,-,-7,-,-,-,-,-,-,-3,-,-3,-,-,+1(2),0%,Honorable,N,N
385,225,广东技术师范大学,我们是打不对代码小能手,1,4,-,-5,-,-,-,-,-,-,-8,-,-,-,-,+1(4),0%,Honorable,N,N
386,,通化师范学院,三只菜鸟帮帮我,1,5,-,-3,-,-,-,-,-,-,-2,-,-,-,-,+1(5),0%,Honorable,N,N
386,,西北师范大学,佛系玩家,1,5,-,-1,-,-,-,-,-,-1,-,-,-,-,-,+1(5),0%,Honorable,N,N
386,,兰州理工大学,这个需求做不了,1,5,-,-1,-,-,-,-,-,-,-2,-,-,-,-,+1(5),0%,Honorable,N,N
389,,天津工业大学,打铁铺,1,6,-,-3,-,-,-,-,-,-,-1,-,-,-,-2,+1(6),0%,Honorable,N,N
390,,黄河科技学院,十八里河男子职业技术学院,1,7,-,-5,-,-,-,-1,-,-,-11,-,-,-,-,+1(7),0%,Honorable,N,N
391,,宁夏理工学院,令人头大,1,11,-,-,-,-,-,-,-,-,-2,-,-,-,-,+1(11),0%,Honorable,N,N
392,,北方民族大学,希望之星,1,21,-,-4,-,-,-,-,-,-,-2,-,-,-,-,+1(21),0%,Honorable,N,N
393,,哈尔滨工程大学,可持久化金清树,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
