Rank,School Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K
311,191,Honorable,沈阳航空航天大学,AkumaImouto,2,140,,+1(18),,,,,,,+1(122),-4,
312,192,Honorable,大连东软信息学院,23334,2,141,,+4(63),,,,,,,+1(38),-7,
313,193,Honorable,邵阳学院,arsenic,2,142,,+1(21),,,,,,,+1(121),,
314,,Honorable,东北大学,It is OK,2,143,,+3(35),,,,,,,+1(68),-4,
314,194,Honorable,暨南大学,CaiCai,2,143,,+2(20),-1,,,,,,+2(83),,
314,195,Honorable,江南大学,TriplePupils,2,143,,+1(20),,,,,,,+1(123),-8,-6
317,196,Honorable,西北农林科技大学,Road Trip,2,144,,+2(20),,,,,,,+1(104),-5,
318,,Honorable,浙江师范大学,Alice And Bob,2,159,,+3(63),,,,,,,+1(56),-8,
318,,Honorable,中国石油大学（北京）,Maji yabakune,2,159,,+1(12),,,,,,,+2(127),-6,
320,197,Honorable,湖南中医药大学,HUCM001,2,167,,+1(17),,,,,,,+1(150),-10,
321,198,Honorable,北京信息科技大学,Be a veteran in battle,2,169,,+1(22),,,,,,,+3(107),-2,
322,,Honorable,山东大学（威海）,GG,2,175,,+4(18),,,,,,,+2(77),,
323,199,Honorable,福建师范大学,MiddleTwoYoungsters,2,177,,+2(25),,,,,,,+1(132),-7,
324,,Honorable,广州大学,Lu na Lai na Lan,2,178,,+3(22),,,,,,,+2(96),,
325,200,Honorable,鲁东大学,winner,2,180,,+2(46),,,,,,,+1(114),-8,
326,,Honorable,西南民族大学,Oriental_gods_bull,2,186,,+2(35),,,,,,,+1(131),,
327,201,Honorable,青岛科技大学,The captain is a cute girl,2,192,,+3(53),,,,,,,+1(99),-1,
328,202,Honorable,武汉理工大学,whut_syz,2,197,,+2(26),,,,,,,+1(171),,
329,203,Honorable,电子科技大学中山学院,CDZSC_ Scratch_Head,2,200,,+2(55),,,,,,,+3(85),-5,
330,204,Honorable,衡水学院,HSDream,2,205,,+1(41),,,,,-1,,+1(164),-6,
331,205,Honorable,长春工业大学,social_social,2,208,,+1(20),,,,,,,+1(188),-2,
332,206,Honorable,辽宁中医药大学,Thinking,2,209,,+1(36),,,,,,,+1(173),-9,
333,,Honorable,哈尔滨理工大学,HRBUST18,2,212,,+5(78),,,,,,,+1(54),,
333,207,Honorable,电子科技大学成都学院,Quantum Artificial Intelligence,2,212,,+4(47),,,,,,,+1(105),-2,
335,208,Honorable,杭州电子科技大学信息工程学院,Just take these 5 bandages,2,215,,+4(74),,,,,,,+1(81),,
336,209,Honorable,浙江工商大学,ZHEJIANG GONGSHANG UNIVERSITY,2,225,,+4(46),-1,,,,,,+1(119),,
337,,Honorable,哈尔滨工业大学（威海）,Believe,2,227,,+2(28),,,,,,,+1(179),,
338,,Honorable,东北师范大学,Two lamps wait a lamp,2,230,,+4(42),,,,,,,+2(108),,
339,,Honorable,东北林业大学,I feel good,2,232,,+3(49),,,,,,,+1(143),-4,
340,210,Honorable,哈尔滨学院,Endless African tears,2,245,,+2(33),,,,,,,+1(192),,
341,211,Honorable,武汉工程大学,Dream Team,2,247,,+4(58),-1,,,,,,+1(129),,
342,212,Honorable,北京工业大学,Valar Morghulis,2,248,,+1(96),,,,,,-2,+1(152),,
343,213,Honorable,山东农业大学,agricultural college,2,254,,+3(52),,,,,,,+1(162),-10,
344,214,Honorable,肇庆学院,ZQU_NewcastleUnited,2,261,,+4(65),,,,,,,+1(136),-28,
345,215,Honorable,淮北师范大学,Salted Fish,2,274,,+1(31),,,,,-1,,+1(243),,
346,216,Honorable,汕头大学,lang!,2,275,-2,+4(91),,,,,,,+1(124),-1,-3
347,217,Honorable,江苏科技大学（张家港）,pipis,2,283,,+4(94),,,,,,,+1(129),-8,
348,218,Honorable,西安科技大学,Hope of the star,2,284,,+1(49),,,,,-1,,+3(195),,
349,219,Honorable,桂林电子科技大学,GUET_Catching Fire,2,295,,+3(43),,,,,,,+1(212),,
350,220,Honorable,西安航空学院,Eagle,2,302,,+1(34),,,,,-1,,+1(268),,
351,,Honorable,山东农业大学,AC789,2,309,,+2(26),,,,,,,+5(183),-9,
352,221,Honorable,青岛农业大学,NoProblem,2,314,,+3(42),,,,,-1,,+1(232),,
353,,Honorable,青岛科技大学,LuckyCoder,2,339,,+3(48),,,,,,,+1(251),-3,
354,,Honorable,鲁东大学,Acdreamers,2,347,,+1(16),,,,,,,+3(291),,
355,,Honorable,宁波大学,society society,2,380,,+5(160),,,,,,,+1(140),,
356,,Honorable,天津大学仁爱学院,Glorious Days,2,401,,+8(146),,,,,,,+1(115),,
357,222,Honorable,海军航空大学,Spyral Hunter,2,470,,+4(295),,,,,,,+1(115),-13,
358,223,Honorable,合肥学院,Hfuu,1,31,,+1(31),,,,,,,,,
359,224,Honorable,中国矿业大学徐海学院,Agile,1,102,,+3(62),,,,,-1,,,,
360,225,Honorable,徐州工程学院,arrival,1,122,,+2(102),,,,,,,,,
361,226,Honorable,中国人民解放军陆军工程大学,Fusing,1,156,,-8,,,,,,,+1(156),,
362,,,海军航空大学,Decode Kuriboh,0,0,,-7,,,,,-1,,-5,,
362,,,中国科学技术大学,Lovely Luna,0,0,,,,,,,,,,,
