Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
51,南京大学,三个小学生 (three pupils),5,334,+1(7),-4,-,+1(20),+2(77),+1(143),-,-,+2(47),-,-,-
52,南开大学,世界终焉 (End World),5,340,+1(8),-5,-,+1(70),+1(47),+2(162),-,-,+1(33),-,-,-
53,南京林业大学,焦迟但到 (On time),5,341,+1(5),-6,-,+1(109),+1(71),+1(131),-,-,+1(25),-,-,-
54,西南民族大学,"两个中心 一个基本点 (Two centers, One basic Point)",5,355,+1(10),-,-,+1(112),+1(53),+1(146),-,-4,+1(34),-,-,-
55,重庆大学,打不好就走回去 (one AC one ticket),5,357,+1(6),-2,-,+1(87),+1(71),+1(145),-,-,+2(28),-,-,-
56,中山大学,中山大学_深蓝 (SYSU_DeepBlue),5,365,+1(11),-2,-7,+1(116),+1(57),+3(119),-,-,+1(22),-,-,-
57,东北大学,辉耀 (NEU_Radiance),5,372,+1(8),-2,-,+1(70),+1(117),+1(160),-,-,+1(17),-,-,-
58,湖南科技大学,极光 (Aurora),5,400,+1(12),-4,-,+3(149),+1(61),+1(105),-,-,+1(33),-,-,-
59,四川大学,病名为菜 (Bingming Wei Cai),5,405,+1(5),-10,-,+1(101),+1(67),+3(151),-,-,+2(21),-,-,-
60,华东师范大学,给毒瘤题放天假吧 (give duliuti a holiday),5,413,+1(5),-4,-,+1(113),+1(58),+2(196),-,-,+1(21),-,-,-
61,上海大学,心动网络-匠心队 (X.D.Network-Ingenuity),5,419,+1(5),-,-,+1(101),+1(54),+1(179),-,-,+2(60),-,-,-
62,浙江师范大学,QvQ (QvQ),5,423,+1(4),-4,-,+2(131),+1(62),+3(116),-,-,+1(50),-1,-,-
63,南京航空航天大学,赫拉克勒斯 (Hercules),5,427,+1(6),-,-,+1(55),+1(92),+4(197),-,-4,+1(17),-,-,-
64,浙江大学城市学院,金色威兹班 (Whizbang the Wonderful),5,429,+1(7),-4,-,+1(109),+1(86),+3(164),-,-,+1(23),-,-,-
65,广东工业大学,茶大师 (Team Aster),5,434,+1(6),-3,-,+1(140),+1(77),+2(162),-,-,+1(29),-,-,-
66,北京理工大学,1e7+9 (1e7+9),5,440,+2(8),-4,-,+1(67),+1(66),+4(186),-,-,+1(33),-,-,-
67,浙江师范大学,毕竟老夫也不是什么恶魔嘛 ( we are not devil),5,447,+1(13),-3,-,+1(113),+1(90),+1(172),-,-,+1(59),-,-,-
67,安徽大学,Amadeus (Amadeus),5,447,+1(9),-2,-,+1(175),+1(66),+1(159),-,-,+1(38),-,-,-
69,中国矿业大学,不想吃WA的咸鱼 (WA WA FISH),5,451,+1(6),-3,-,+1(105),+1(104),+2(176),-,-,+2(20),-,-,-
70,武汉大学,三只仓鼠吃不饱 (three hungry hamsters),5,473,+1(6),-11,-6,+1(117),+1(34),+8(138),-,-,+2(18),-,-,-
71,华南农业大学,德国骨科 (SCAU_hentai),5,488,+1(5),-4,-,+1(175),+1(83),+2(152),-,-,+2(33),-,-,-
72,福州大学,富贵险中求 (Mewtu),5,494,+1(8),-1,-,+1(159),+1(95),+1(205),-,-,+1(27),-,-,-
73,中国传媒大学,赛博格实验 (Cyborg_Lab),5,501,+1(5),-1,-,+2(215),+1(89),+1(144),-,-,+1(28),-,-,-
74,哈尔滨工程大学,米库米库 (mikumiku),5,510,+1(8),-6,-,+1(137),+1(114),+2(201),-,-,+1(30),-,-,-
75,成都信息工程大学,三元线性回归 (Ternary linear regression),5,517,+1(7),-1,-,+1(122),+1(64),+5(224),-,-,+1(20),-,-,-
76,东北农业大学,完美谢幕 (Perfect Ending),5,520,+1(7),-7,-,+1(145),+2(128),+1(194),-,-,+1(26),-,-,-
76,上海大学,无人艇 (Unmanned ship),5,520,+1(5),-4,-,+1(158),+2(96),+1(209),-,-,+1(32),-,-,-
78,长安大学,汪汪鱼 (think once after coding),5,539,+1(5),-2,-,+1(160),+3(122),+1(191),-,-,+1(21),-,-,-
79,中国人民大学,江浙闽 (HK Coder),5,541,+1(5),-22,-,+1(154),+1(114),+1(241),-,-,+1(27),-,-,-
80,江南大学,朝烟暮雨 (Zimi),5,546,+1(6),-9,-,+1(102),+1(125),+3(248),-,-,+1(25),-,-,-
81,中国石油大学（华东）,三个小机灵鬼儿 (Three smart kids),5,549,+1(8),-2,-,+1(129),+1(162),+2(173),-,-,+1(57),-,-,-
82,华东理工大学,很正经 (Why so serious),5,554,+1(5),-4,-,+1(101),+3(152),+3(192),-,-,+1(24),-,-,-
83,北京邮电大学,灰色幽灵 (CV-6 Enterprise),5,555,+1(6),-,-,+1(144),+2(123),+1(211),-,-2,+1(51),-,-,-
84,山东大学（威海）,教练，我想打ACM (What are codes),5,560,+1(6),-3,-,+1(161),+1(115),+1(217),-,-,+1(61),-,-,-
85,南京大学,我李云龙八岁打ACM (Saber Lee),5,563,+1(6),-,-,+1(206),+1(87),+1(174),-,-,+1(90),-,-,-
86,上海大学,心动网络-初心队 (X.D.Network-Keep faith),5,567,+1(5),-,-,+1(112),+2(131),+4(211),-,-,+1(28),-,-,-
87,中山大学,中山大学_三磅斤 (SYSU_ThreePoundGold),5,568,+1(6),-3,-,+1(63),+5(233),+1(166),-,-3,+1(20),-,-,-
88,郑州大学,教练太强啦 (Our coach is so awesome!),5,571,+1(6),-2,-,+1(152),+1(127),+1(258),-,-,+1(28),-,-,-
89,杭州电子科技大学,杭电三队 (HDU-Strelizia),5,581,+3(8),-2,-,+1(180),+2(109),+2(145),-,-,+2(39),-,-,-
89,山东科技大学,航海家号 (SKD74656 Voyager),5,581,+1(9),-,-,+1(221),+1(117),+1(194),-,-,+1(40),-,-,-
91,西南交通大学,米瑞特之阻碍 (qqwrwwv),5,584,+1(7),-,-,+1(188),+1(108),+3(208),-,-,+1(33),-,-,-
91,北京航空航天大学,"啊，队友呢？队友呢？队友呢？！队友呢？！？！ (Eh,Gugugu?!?!)",5,584,+1(8),-,-,+1(84),+3(113),+4(232),-,-,+2(27),-,-,-
93,南京航空航天大学,刷牙 (Brush teeth),5,586,+2(7),-,-3,+2(98),+1(130),+4(191),-,-,+2(40),-,-,-
94,河海大学,最后祝您身体健康再见 (finally wish your a BuriBuri body),5,590,+1(6),-1,-,+1(169),+1(136),+1(240),-,-,+1(39),-,-,-
94,烟台大学,北极星 (Polaris),5,590,+1(13),-3,-,+1(149),+2(114),+3(218),-,-,+1(36),-,-,-
96,北京师范大学,满星园 (MXY),5,591,+1(7),-1,-,+1(99),+1(144),+3(210),-,-,+3(51),-,-,-
97,宁波大学,前面的请让一让 (Don't Block us!),5,592,+1(9),-3,-,+1(156),+2(88),+1(263),-,-,+2(36),-,-,-
97,山东农业大学,AC789 (AC789),5,592,+1(8),-3,-,+1(169),+1(120),+1(200),-,-,+4(35),-,-,-
99,天津工业大学,做宝可梦 (Dream?Pokémon),5,597,+1(8),-2,-,+1(190),+1(115),+1(166),-,-,+2(98),-,-,-
100,中北大学,抓猪抓猪 (catch~catch~),5,599,+1(7),-2,-,+1(235),+2(117),+1(148),-,-,+2(52),-,-,-
101,宁波大学,生存时限 (TTL),5,600,+1(8),-,-,+1(160),+1(114),+3(231),-,-,+1(47),-,-,-
102,台州学院,梦里AC (AC in a dream),5,607,+1(8),-6,-,+1(205),+1(130),+1(212),-,-,+1(52),-,-,-
102,青岛大学,我爱中华 (WLChina),5,607,+1(6),-2,-,+1(131),+1(107),+5(238),-,-,+1(45),-,-,-
104,武汉科技大学,.CALLC. (.CALLC.),5,627,+1(4),-1,-,+2(167),+1(117),+3(205),-,-,+2(54),-,-,-
105,杭州电子科技大学,杭电十队 (HDU-Team10),5,628,+1(7),-1,-,+1(182),+1(105),+3(245),-,-,+1(49),-,-,-
106,郑州大学,队友好像中暑了，有点忧郁，好漂亮的 (Teammates are so pretty),5,634,+1(9),-,-,+1(152),+1(106),+5(227),-,-,+1(60),-,-,-
107,重庆大学,香港记者队 (deep dark fantasy),5,637,+1(9),-,-,+1(101),+2(149),+2(288),-,-2,+2(30),-,-,-
108,华中师范大学,感觉找不到妹子了 (I feel that I can't find a girlfriend),5,639,+1(7),-,-,+1(87),+2(262),+2(189),-,-,+1(54),-,-,-
109,重庆邮电大学,残酷天使的行动纲领 (Zankokuna Tenshi no Tēze),5,640,+1(6),-6,-,+1(183),+1(202),+4(126),-,-,+1(63),-,-,-
110,浙江大学宁波理工学院,宁静致远 (ningjingzhiyuan),5,657,+1(8),-5,-,+2(212),+1(117),+3(166),-,-,+1(94),-,-,-
111,哈尔滨工业大学（威海）,拂晓的地平线 (Akatsuki no Suiheisen ni),5,673,+1(4),-,-,+1(120),+1(95),+8(274),-,-,+1(40),-,-,-
112,西南科技大学,万一A了呢 (scpc01),5,704,+1(11),-,-,+1(276),+1(122),+1(260),-,-,+1(35),-,-,-
113,重庆邮电大学,CQUPT_欧锦神 (CQUPT_OuJinShen),5,708,+1(7),-,-,+3(264),+1(127),+4(180),-,-,+1(30),-,-,-
114,西北大学,呵，呵呵，呵呵呵 (It's ok),5,719,+1(4),-,-,+2(104),+1(185),+6(276),-,-,+1(30),-,-,-
115,西北工业大学,为忙碌而忙碌 (NPU_busy_for_dying),5,727,+1(7),-1,-,+4(107),+2(129),+5(288),-,-,+1(36),-,-,-
116,北京航空航天大学,菜里别加鎕 (No CE in Vegetable),5,739,+1(5),-4,-,+3(197),+1(73),+4(188),-,-,+4(116),-,-,-
117,中国地质大学（北京）,花汐酒屋 (Hana-Shio winehouse),5,740,+1(6),-,-,+1(154),+1(145),+8(246),-,-1,+1(49),-,-,-
118,西安电子科技大学,李先生说的 (Whatever Mr. Li says),5,744,+1(7),-6,-,+1(209),+6(175),+2(189),-,-,+1(44),-,-,-
119,南开大学,以豹制豹 (Seal Seal),5,753,+1(6),-2,-,+1(103),+6(145),+7(240),-,-,+1(39),-,-,-
120,宁波工程学院,中羊禽鲍貂猹橘 (Central Intelligence Investigation Bureau),5,771,+1(7),-,-,+1(205),+1(174),+5(267),-,-,+1(38),-,-,-
121,天津大学,TJU_人间不值得 (TJU_The_world_is_not_worth_it),5,776,+1(6),-,-,+1(141),+4(229),+2(259),-,-,+1(61),-,-,-
122,北京邮电大学,"开局一套板，AC全靠蒙 (No ban, No ac)",5,791,+1(6),-,-,+3(278),+1(119),+2(259),-,-,+2(49),-,-,-
123,哈尔滨理工大学,哈理工3队 (HRBUST3),5,798,+1(7),-,-,+1(186),+2(275),+2(243),-,-,+1(47),-,-,-
124,东北林业大学,雷锋 (leifeng),5,821,+1(12),-,-,+1(174),+1(75),+5(277),-,-,+3(163),-,-,-
125,西北大学,信 (ruorancarry),5,839,+1(7),-1,-,+1(273),+1(138),+6(234),-,-,+2(67),-,-,-
126,长沙理工大学,长王里1+1队 (CSUST team Two),5,855,+1(7),-,-,+1(255),+1(147),+7(275),-,-,+1(51),-,-,-
126,南京航空航天大学,我明天一定好好学ACM (I will practise ACM tomorrow),5,855,+1(6),-2,-,+1(152),+6(178),+5(247),-,-,+2(72),-,-,-
128,西北大学,稳 (carry qbd),5,858,+1(9),-,-,+1(194),+1(233),+2(281),-,-,+2(101),-,-,-
129,湖南大学,听取A西一片 (ACman),5,879,+1(8),-3,-,+1(287),+2(205),+3(257),-,-,+1(62),-,-,-
130,北京大学,陷入沉思 (Hmmmm),5,888,+1(5),-3,-,+1(150),+2(222),+7(98),-,-,+6(173),-,-,-
131,重庆大学,大佬的奖牌不要扔，隔壁弱队都馋哭了 (nice),5,899,+1(6),-1,-,+1(186),+3(277),+7(211),-1,-,+2(39),-,-5,-
132,东南大学,三只老狗 (clw),5,939,+1(14),-3,+2(292),+1(69),-,+5(288),-,-,+5(96),-,-,-
133,广东外语外贸大学,希尔伯特空间 (GDUFS_AllergicToMen),4,230,+1(9),-1,-,+1(109),+1(81),-5,-,-,+1(31),-,-,-
134,厦门大学,三位一体 (Trinity),4,231,+1(6),-4,-,+1(93),+1(84),-6,-,-,+1(48),-,-,-
135,西南交通大学,Bkn New Balance (Bkn New Balance),4,285,+1(9),-,-,+1(90),+2(140),-21,-,-,+1(26),-,-,-
136,陕西科技大学,至诚至博 (SUST_1),4,296,+1(5),-,-,+2(143),+1(91),-11,-,-,+1(37),-,-,-
137,大连海事大学,脸滚键盘 (face on keyboard pa pa pa),4,333,+1(6),-,-,+1(70),+2(214),-5,-,-,+1(23),-,-,-
138,湖南师范大学,江山代有才人秃 (Strongmen in Jiangshan),4,334,+1(16),-,-,+2(180),+1(89),-1,-,-,+1(29),-,-,-
139,东华大学,咨瓷 (Wonderful Answer),4,351,+1(6),-1,-,+1(113),+1(164),-6,-,-,+2(48),-,-,-
140,浙江农林大学,爱吃馍馍 (AiChiMomo),4,364,+1(8),-,-,+1(206),+1(115),-4,-,-,+1(35),-,-,-
141,华中科技大学,爱死柯锐木 (Ice Cream),4,371,+1(8),-,-,+1(120),+2(160),-,-,-,+1(63),-,-,-
142,河南大学,报菜名 (Wildest Dreams),4,374,+1(8),-,-,+1(147),+1(150),-5,-,-,+1(69),-,-,-
143,哈尔滨工业大学（深圳）,好像有点儿 (SoundsRight),4,396,+1(6),-,-,+1(237),+1(86),-13,-,-,+1(67),-,-,-
144,湘潭大学,平凡之路 (XTU_The Road to Mediocre Life),4,407,+1(5),-,-,+1(124),+1(201),-4,-,-,+2(57),-,-,-
145,福建师范大学,WA自动机 (WA Automaton),4,409,+2(9),-,-,+1(93),+1(184),-,-,-,+2(83),-,-,-
146,安阳工学院,吃瓜群众 (QAQ),4,422,+1(9),-1,-,+1(172),+1(221),-,-,-,+1(20),-,-,-
