Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
50,铜奖,Shanghai Jiao Tong University,Drink Northwestern Wind,3,94,+1(67),,,,,-10,,+1(9),,,+1(18),-5
51,铜奖,Wuhan University of Technology,Isn't CCTVï¼Ÿ,3,123,+1(85),,,,,,,+1(11),,,+1(27),-3
52,铜奖,University of Electronic Science and Technology of China,UESTC_Cdr_pup,3,153,+2(82),,,,,-3,,+1(10),,,+1(41),
53,铜奖,Xinjiang University,xju01,3,157,+1(92),,,,,,,+1(19),,,+1(46),-15
53,铜奖,Wuhan University of Technology,Three vegetable dogs,3,157,+1(98),,,,,,,+1(21),,,+1(38),-1
55,铜奖,Harbin Institute of Technology at Shenzhen,Why hungry as soon as start programming,3,171,+1(108),,,,,,,+1(14),,,+1(49),-2
56,铜奖,JiangNan University,TEAM OP,3,174,+1(85),,,,,-2,,+1(18),,,+2(51),
57,铜奖,Zhongshan (Sun Yat-sen) University,SYSU_Hong Kong Journalists,3,187,+1(73),,,,-3,-7,,+1(25),,,+3(49),
58,铜奖,Wuhan University,Three Sun People,3,202,+2(133),,,,,-3,,+1(13),,,+1(36),-4
59,铜奖,Jiaxing University,Yoimiyaï¼ŒI love you.,3,212,+3(102),,-1,,,-2,-1,+1(17),,,+2(33),-3
60,铜奖,Chongqing Jiaotong University,Do cyber hamsters dream of virtual fried onion rings?,3,226,+3(122),-1,,,-11,,,+1(14),,,+2(30),
61,铜奖,The Chinese University of Hong Kong,LeaveHomeUnsafe,3,234,+2(92),,,,,-4,,+1(10),,,+3(72),
62,铜奖,Hunan Normal University,Little Tu Da Da,3,236,+1(97),,,,,,,+2(16),,,+3(63),-10
63,铜奖,Shandong University,Simp of csq,3,238,+1(89),,,,,-4,,+2(20),,,+3(69),-5
64,铜奖,Qingdao University,Three Little Yang People,3,245,+1(117),,,,,-3,,+2(30),,,+2(58),-6
65,铜奖,City University of Hong Kong,Kowloontong MMW,3,247,+1(113),,,,,-7,,+1(19),,,+2(95),
66,铜奖,Hong Kong Polytechnic University,SharkBeeTree,3,257,+1(114),,,,,-3,,+1(25),,,+3(78),-4
67,铜奖,Zhejiang Chinese Medical University,ZCMU-HK,3,258,+1(172),,,,,,,+1(20),,,+1(66),
68,,South China University of Technology,TiangongKaiwu,3,261,+1(149),,,,-6,,,+2(20),,,+2(52),
69,,Qingdao University,cat barbecue,3,263,+1(116),,,,-1,,,+2(24),,,+3(63),
70,,Zhejiang Gongshang University,Oshawotts,3,275,+4(131),,,,,,,+2(19),,,+1(45),-1
71,,Changsha University,GuliGuliGuli,3,279,+2(164),,,,,,,+2(15),,,+2(40),-2
72,,Huazhong University of Science and Technology,Sweating Bugcat,3,289,+3(84),,,,,-3,,+1(32),,,+5(53),-2
73,,Zhejiang University of Science and Technology,JiangNan Chicken,3,293,+1(182),,,,-2,-1,,+2(19),,,+2(52),-6
74,,Qingdao University,drink kaoyan,3,302,+1(156),,,,,-3,,+1(24),,,+3(82),-1
75,,Beijing Union University,Pioneer,3,305,+1(145),,,,,,,+2(19),,,+3(81),-7
76,,Harbin Institute of Technology at Shenzhen,WAgoRhythm,3,314,+4(89),,,,,-3,,+1(13),,,+6(52),
