Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,N,Dirt,Medal,Unofficial,Girl
368,199,辽宁大学,星空之下,0,0,-,-,-,-,-,-,-4,-,-,-,-,-,-,-4,0%,Honorable,N,N
368,199,陕西师范大学,曼巴永恒,0,0,-,-,-,-,-,-1,-,-,-,-,-,-,-,-,0%,Honorable,N,N
368,199,空军工程大学,木落南翔,0,0,-,-,-,-,-,-,-2,-,-,-,-,-,-,-7,0%,Honorable,N,N
368,,河南师范大学,泼天富贵何时轮到我,0,0,-,-,-2,-,-,-,-7,-,-,-,-,-,-,-1,0%,Honorable,N,N
368,199,西安科技大学,爱讲笑话,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-5,0%,Honorable,N,N
368,,上海大学,穿越时空的AC,0,0,-,-,-,-,-,-,-7,-,-,-,-,-,-,-4,0%,Honorable,N,N
368,,西安明德理工学院,等导员通知,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-7,0%,Honorable,N,N
368,,南京航空航天大学,米兰的铁匠铺,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-4,0%,Honorable,N,N
368,,陕西师范大学,经验丰富的你与经验为零的我组队的故事,0,0,-,-,-,-,-,-,-3,-,-,-,-,-,-,-12,0%,Honorable,N,N
368,,西安工业大学,芝士与你分享,0,0,-,-,-,-,-,-,-6,-,-,-,-,-,-,-6,0%,Honorable,N,N
368,199,四川师范大学,芳心纵火犯,0,0,-,-,-,-,-,-,-11,-1,-,-,-,-,-,-6,0%,Honorable,N,N
368,,厦门大学,菜狗驿站,0,0,-,-,-,-,-,-,-2,-,-,-,-,-,-,-4,0%,Honorable,N,N
368,,天津大学,西弗勒斯,0,0,-,-,-,-,-,-,-6,-,-,-,-,-,-,-2,0%,Honorable,N,N
368,199,西北师范大学,请给我们一枚奖牌,0,0,-,-,-,-,-,-,-2,-,-,-,-,-,-,-3,0%,Honorable,N,N
368,199,青岛农业大学海都学院,超级棒棒糖,0,0,-,-,-,-,-,-,-25,-,-,-,-,-,-,-1,0%,Honorable,N,N
368,,东北师范大学,这场不AC回家就得AC,0,0,-,-,-,-,-,-,-2,-1,-,-,-,-,-,-,0%,Honorable,N,N
368,,西安科技大学,随便起个名字吧,0,0,-,-,-,-,-3,-,-4,-,-,-,-,-,-,-5,0%,Honorable,N,N
368,,河南科技大学,黑键,0,0,-,-,-,-,-,-,-5,-,-,-,-,-,-,-1,0%,Honorable,N,N
