Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L
16,北京航空航天大学,趣味时光,6,709,Silver,伍俊洁,钟梓皓,邓一兴,N,N,+1(10),+4(232),,-6,,,+1(49),,+4(196),,+1(76),+1(26)
17,哈尔滨工业大学,落日余晖,6,757,Silver,姚顺,于金鹭,陈海峰,N,N,+1(6),+2(196),,,,,+1(19),-3,+2(159),,+4(224),+1(53)
18,南京大学,Calabash！,6,779,Silver,陈劭源,王冬杨,王淳扬,N,N,+2(9),+2(147),,-2,,,+1(41),,+3(195),,+2(251),+1(36)
19,上海交通大学,类星体,6,782,Silver,陈伟哲,卢宇欣,郭林松,N,N,+1(5),+1(136),,,,-2,+1(35),-3,+2(153),,+5(255),+2(78)
20,电子科技大学,UESTC,6,789,Silver,李子通,金欧文,刘昕,N,N,+3(11),+4(225),,,,-4,+1(37),,+2(137),,+2(187),+1(52)
21,浙江工业大学,欢迎报考浙江工业幼儿园,6,797,Silver,李弘毅,李昕虎,陶宇星,N,N,+1(6),+3(190),,,,,+1(39),-2,+3(129),,+2(266),+1(67)
22,浙江大学,YaSHa,6,813,Silver,黄洋逸,刘一辰,邓浩然,N,N,+1(8),+2(153),,,,,+3(54),,+1(93),,+7(281),+1(44)
23,武汉大学,我才不要这个队名呢,6,826,Silver,郭松,刘瑾俐,黄敬哲,N,N,+1(13),+2(188),,,,,+1(62),-4,+3(142),,+2(205),+4(76)
24,华南理工大学软件学院,打完这场送队友养老,6,878,Silver,孙宇鹏,黄浩填,王络,N,N,+1(9),+1(180),,,,,+1(79),-15,+1(245),,+1(260),+1(105)
25,东南大学,艾斯易悠,6,980,Silver,张建东,陈曦,韩数,N,N,+1(7),+2(262),-4,,,,+1(66),,+2(224),,+2(254),+1(107)
26,杭州电子科技大学,杭电一队,6,1011,Silver,陈惇显,祝之禺,徐景滨,N,N,+1(14),+2(145),,,,,+2(51),,+1(183),,+10(287),+3(71)
27,同济大学,荠蒻,6,1019,Silver,刘毅韬,欧阳小伟,任秋宇,N,N,+1(10),+4(284),,-1,,,+2(129),,+1(193),,+2(265),+1(38)
28,湖南大学,乌龙茶,6,1063,Silver,陈安祺,周国浩,朱伟劲,N,N,+1(5),+3(285),,,,,+3(35),-2,+1(152),,+5(267),+3(119)
29,长沙理工大学,四斋蒸鹅心,6,1157,Silver,张昊,刘健博,刘乐遥,N,N,+1(4),+6(241),,,,,+2(101),,+2(183),,+4(296),+2(112)
30,福州大学,小黄鸭,5,355,Silver,吴媛媛,尹泽锋,傅滨,N,N,+1(8),+2(157),,,,,+1(39),,+1(103),,-9,+1(28)
31,北京交通大学,我是一名守护者,5,465,Silver,吴泽航,王丹羽,郑栩僮,N,N,+1(9),+1(213),,,,,+1(40),-1,+1(126),-1,,+1(77)
32,华中科技大学,我想吃烧味拼盘虾饺烧麦红米肠蚝仔烙潮汕牛肉火锅,5,481,Silver,张嘉辉,陈威宇,武敏颜,N,N,+1(6),+1(121),,,,,+1(39),-2,+2(204),,,+2(71)
33,重庆大学,这题不是随便搞吗,5,486,Silver,张博虓,徐茂凯,汪啸宇,N,N,+2(7),+1(183),,,,,+1(49),,+4(108),,,+1(59)
34,北京邮电大学,未知数,5,503,Silver,张泉,褚孝杰,刘兆岩,N,N,+1(11),+1(205),,,,,+1(59),,+2(156),,,+1(52)
35,山东理工大学,我卢某人没有开挂,5,505,Silver,李东庆,孙振强,李绪伟,N,N,+1(14),+2(221),,,,,+1(70),,+1(136),,-7,+1(44)
36,南京邮电大学,从零开始,5,512,Silver,李尧羿,吴永琦,孙斗南,N,N,+2(14),-10,,,,,+2(62),,+1(177),,+2(157),+1(42)
37,浙江大学宁波理工学院,忒修斯之船,5,516,Silver,叶森,颜蒙杰,陈一帆,N,N,+1(10),+2(242),,,,,+2(58),,+1(121),,-6,+1(45)
38,北京理工大学,乖乖站好,5,554,Bronze,尹昊,徐子懋,龙水彬,N,N,+2(6),+1(218),,,,,+1(58),,+1(144),,,+2(88)
39,四川大学,野花,5,592,Bronze,孙典圣,陈荣钰,嵇名程,N,N,+1(7),+2(219),,,,,+1(67),,+2(128),,,+4(71)
40,中国科学院大学,前方高能所,5,601,Bronze,韩雨,李建徽,任瀚昇,N,N,+1(7),-4,,,,,+2(116),,+2(156),,+1(94),+1(188)
41,南方科技大学,SUSTech,5,657,Bronze,贺启旸,朱泓霖,黄博,N,N,+1(10),-3,,,,,+1(43),,+1(143),,+7(254),+1(87)
42,中国科学技术大学,中科大18队,5,680,Bronze,陈墨涵,林元芃,曾明亮,N,N,+1(12),-2,,,,,+2(156),,+2(239),,+1(170),+1(63)
43,杭州师范大学,TI1050,5,696,Bronze,薛鸿涛,潘律旨,罗天松,N,N,+2(12),+3(266),,,,,+2(79),,+1(108),,,+1(151)
44,苏州大学,奶昌，抱抱我,5,702,Bronze,祝秀军,王仁杰,郝永昌,N,N,+2(18),+7(296),,,,,+1(51),,+2(136),,-11,+1(41)
45,浙江理工大学,林少，这题开不开,5,711,Bronze,林航宇,杨昊泽,罗晨宇,N,N,+1(10),+1(283),,,,,+1(63),,+1(223),,-1,+1(132)
46,哈尔滨理工大学,我永远喜欢高放学长,5,736,Bronze,高尚,张皓然,季发虎,N,N,+1(6),+1(255),,,,,+1(71),,+4(206),,-28,+3(98)
47,北京化工大学,*,5,751,Bronze,赵伟杰,邓佩瑶,刘权达,N,N,+4(16),+4(259),,,,,+1(46),,+5(180),,,+1(70)
48,东北林业大学,有何贵干,5,764,Bronze,牟冠华,张云铭,宋健宇,N,N,+1(6),+3(290),,,,,+1(86),,+5(168),,,+2(74)
49,浙江农林大学,快乐风男hasaki,5,805,Bronze,黄磊,余凯,顾博盛,N,N,+1(8),+4(182),,,,,+2(72),,+3(261),,,+1(162)
50,重庆邮电大学,键来!,5,818,Bronze,林锦,李超予,鲁运,N,N,+1(9),+2(266),,,,,+2(169),,+1(225),,,+1(109)
51,浙江大学城市学院,不看晕针,5,835,Bronze,吴成铭,周佳辉,周德阳,N,N,+2(12),+3(288),,,,,+3(120),,+3(203),,,+1(72)
52,北京师范大学,圆环之理,5,844,Bronze,吴剑荣,黄鸣宇,吴松原,N,N,+1(6),-2,,,,,+1(73),,+3(231),,+7(249),+1(125)
53,山东大学,队友说打完青岛就退役！,5,970,Bronze,赵玉鑫,霍瑜,杜保河,N,N,+1(8),+1(152),,,,,+2(72),,+8(299),,-5,+3(239)
54,南京航空航天大学,还差得远呢,5,1123,Bronze,吕超杰,王浩泽,尼博琳,N,N,+1(8),+2(290),,,,,+1(113),,+4(288),,,+12(124)
55,北京航空航天大学,除了AC,4,246,Bronze,郭镕昊,王嘉翼,姜圣虎,N,N,+1(8),-2,,,,,+1(40),,+1(124),,-12,+1(74)
56,华中科技大学,队友叫我AC，我怎么AC啊,4,295,Bronze,李毅朝,罗宇兵,董小钧,N,N,+1(8),-1,,,,,+1(60),,+2(141),,,+1(66)
57,浙江中医药大学,诶等等？！,4,309,Bronze,陈志渠,林初阜,周期律,N,N,+1(14),-3,,,,,+1(86),,+2(161),,,+1(28)
58,大连理工大学开发区校区,overcoded,4,312,Bronze,傅心语,任奕舟,林俊贤,N,N,+1(23),,,,,,+1(73),,+2(148),,,+1(48)
59,中国矿业大学,嘟嘟噜,4,318,Bronze,蒋理文,蒋宇,陈俊宇,N,N,+2(9),-5,,-2,,,+3(46),,+1(112),,,+2(71)
60,东北大学秦皇岛分校,我RE，我快乐,4,333,Bronze,金轶凡,吴嘉梁,毛润,N,N,+1(12),-1,,,,,+1(43),,+2(186),,,+1(72)
61,华南农业大学,河底摸鱼,4,375,Bronze,谭志康,黄柏贵,肖文洋,N,N,+1(17),-15,,,,,+1(115),,+1(132),,,+3(71)
62,中国传媒大学,模板搬运工,4,406,Bronze,初国俊,邓楚盟,夏业伟,N,Y,+1(11),,,,,,+2(43),,+1(252),,-4,+1(80)
63,深圳大学,喵帕斯,4,445,Bronze,傅奕飞,周园洲,胡杰仁,N,N,+1(9),,,,,,+1(59),,+2(222),,,+1(135)
64,河海大学,猪肘子我正在煮,4,451,Bronze,郑涌,王文,张世伟,N,N,+1(8),-3,,,,,+2(92),,+3(210),,,+1(81)
65,湘潭大学,我们教练会写签到题,4,458,Bronze,斯海洋,程坚,郭晨亮,N,N,+1(9),-8,,,,,+1(83),,+4(182),,-4,+2(104)
66,南阳理工学院,复读机天下第一,4,467,Bronze,贺鹏程,程天祥,高胤润,N,N,+2(17),,,,,,+1(139),,+1(193),,,+1(98)
67,上海大学,心动网络-潜心队,4,474,Bronze,俞硕文,许立雄,任悦,N,N,+1(9),,,,,,+3(64),,+3(171),,,+1(150)
68,华中师范大学,肥仔欢乐队2.0,4,490,Bronze,武玥彤,朱有为,金秀树,N,N,+1(14),,,,,,+1(96),,+1(207),,,+1(173)
69,华东理工大学,亮剑,4,520,Bronze,付成瑜,傅志凌,彭博,N,N,+1(7),-5,,,,,+4(202),,+1(137),,-1,+2(94)
70,浙江财经大学,小鸡爱吃肯德基,4,539,Honorable,黄森林,王教律,于翔,N,N,+2(8),,,,,,+1(135),,+2(204),,,+3(112)
71,武汉科技大学,黎明预言,4,540,Honorable,王星,刘银虎,胡辰,N,N,+1(13),,,,,,+2(106),,+1(239),,,+1(162)
72,东北师范大学,三线程,4,571,Honorable,许征航,赵梦宇,樊友朋,N,N,+1(11),,,,,,+1(201),,+1(252),,,+1(107)
73,中国石油大学（北京）,我为祖国献石油,4,593,Honorable,吕博枫,李昊元,冯云豪,N,N,+1(5),,,,,,+1(59),,+3(290),,,+3(159)
