Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Coach,A,B,C,D,E,F,G,H,I,J
116,北京师范大学,满星园,3,473,Bronze,袁宇昊,莫荣康,解书照,冯速,,+3(48),+1(101),,,,+6(183),,,
117,湖南师范大学,巨巨又双叒叕A了一道题,3,474,Bronze,安浩,李隆意,宋杰,瞿绍军,,+2(24),+1(83),,,,+7(227),,,
118,四川师范大学,四川师范大学1队,3,486,Bronze,任力,李英彦,周香君,徐勇,,+2(23),+1(72),,,,+8(230),,,
119,华中农业大学,第一次，好紧张,3,498,Bronze,林中龙,金钰恒,詹晔康,章英,-7,+2(19),+1(49),,,,+12(190),,,
120,中国海洋大学,[闪照]请使用新版手机QQ查看闪照,3,505,Bronze,陈尊龙,谢哲勇,苏宇恒,刘培顺,,+2(16),+1(105),,,,+9(203),,-1,
121,华东交通大学,我为大佬续一秒,3,508,Bronze,蓝志毅,黄勇,李煌尧,周娟,,+1(14),+3(157),,,,+6(196),,,
122,东北大学,谜,3,541,Bronze,茅晓璐,陈明,杜志聪,李芳芳,,+4(20),+2(107),,,,+6(233),,,
123,哈尔滨工业大学(深圳),南国小鸡,3,549,Bronze,刘颂唐,宁之涵,廖儒,唐琳琳,-2,+1(33),+2(103),,,,+8(252),,,
124,山东师范大学,教练喊我们回去搬砖,3,553,Bronze,宋俊阳,任耀辰,陈仕博,李圣涛,,+1(13),+4(140),,,,+4(279),,-1,
125,东南大学,火箭少女707的wa掘机,3,554,Bronze,杨航源,孔令海,冉雨杭,倪庆剑,-1,+1(23),+2(83),,,,+9(267),,,
126,中国人民解放军信息工程大学,不忘初心,3,556,Bronze,喻彬,赵江涛,韩济阳,周刚,-4,+3(25),+2(93),,,,+8(237),,,
127,南阳师范学院,稻花香里说丰年,3,639,Bronze,文成龙,王永忠,胡会平,兰义华,-4,+2(18),+2(63),,,,+14(257),,,
128,成都东软学院,大连东软你们好,3,645,Bronze,刘鑫,刘一洁,袁堃,黄婧,-1,+5(73),+1(67),,,,+11(225),,,
129,西北大学,隐,3,653,Bronze,范凡,黄德翔,郄博达,刘晓宁,,+1(11),+1(137),,,,+12(285),,,
130,长春理工大学,幻想乡乐园,3,663,Bronze,陈俊超,付志强,赵珏,王睿,,+4(17),+1(56),,,,+13(290),,-2,
131,南阳理工学院,复读机天下第一,3,666,Bronze,贺鹏程,程天祥,高胤润,赵东江,,+2(19),+2(45),,,,+16(260),,,
132,北京林业大学,wrong answer不相信嘤嘤嘤,3,693,Bronze,廖嘉伟,史金明,庄超群,徐艳艳,,+2(24),+2(149),,,,+10(299),,,
133,宁波大学,我们还可以抢救一下,3,716,Bronze,梅杰,李文浩,李红旭,陈叶芳,,+2(24),+5(196),,,,+6(295),,,
134,武汉理工大学,未命名,3,734,Bronze,王熠弘,李劲巍,刘晨寅,赵广辉,,+5(24),+3(166),,,,+8(283),,,
135,青岛大学,戎码一生,3,750,Bronze,段永成,谷雨,韩在畅,张志梅,,+2(25),+4(178),,,,+11(265),,,
136,合肥工业大学宣城校区,你就站在此地不要走动,3,751,Bronze,林煌坤,汤嘉,蹇相鸿,吕俊伟,,+4(34),+2(77),,,,+17(239),,,
137,贵州大学,Gzu_Dream,3,766,Bronze,李想,吴聪,张翔玮,徐晶,,+3(37),+2(124),,,,+15(264),,,
138,南京大学,鳝阿克,3,831,Bronze,单启程,岳心淳,贺方泽,马骏,,+2(22),+6(192),,,,+11(296),,,
