Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
193,,南阳理工学院,燕山一脉 渤海之怀,3,156,,,+1(51),,+1(82),,,,,,,+1(23),-22
194,,青岛大学,试水船员,3,244,,,+1(82),,+2(115),,-1,,,,,+1(27),-9
195,122,广东外语外贸大学,希尔伯特空间队,3,250,,,+2(106),,-8,,,,,,,+1(37),+2(67)
196,123,河南工业大学,烛阴,3,258,,,+1(71),,+1(168),,,,,,,+1(19),-3
197,,山东科技大学,圣剑号,3,266,,,+1(56),,+2(172),,-1,,,,,+1(18),-10
198,124,天津大学仁爱学院,菖蒲,3,270,,,+2(93),,+1(140),,,,,,,+1(17),-5
199,125,中北大学,这将是一场屠杀,3,281,,,+1(91),,+2(146),,,,,,,+1(24),-9
199,,山东理工大学,稷下湖的大水怪,3,281,,,+1(78),,+2(161),,,,,,,+1(22),-9
201,,哈尔滨理工大学,哈理工19队,3,304,-1,,+1(120),,+5(87),,,,,,,+1(17),-2
202,126,吉首大学,0.99的450次方,3,325,,,+2(109),,+2(160),,,,,,,+1(16),-13
203,127,中国传媒大学,歪歪歪,3,395,,,+1(81),,+3(249),,-1,,,,,+1(25),
204,128,燕山大学里仁学院,里仁一队,3,397,,,+1(84),,+7(163),,,,,,,+1(30),-6
205,129,东北林业大学,就是不微笑,3,413,,,+3(101),,+3(218),,,,,,,+1(14),-5
206,130,福建师范大学,福州小学一年级,3,431,,,+1(116),,+4(229),,,,,,,+1(26),-4
206,130,山东财经大学,FE1,3,431,,,+1(104),,-3,,-2,,,,,+1(35),+3(252)
206,,北京化工大学,对对对,3,431,,,+1(125),,+3(250),,,,,,,+1(16),-1
209,132,中国人民武装警察部队学院,我心飞扬,3,447,,,+4(127),,+1(198),,-1,,,,,+1(62),-6
210,133,山东师范大学,不太OK,3,453,,,+1(63),,+4(276),,-2,,,,,+2(34),
211,,中北大学,人民兵工第一笑,3,476,,,+2(240),,+2(148),,,,,,,+1(48),-7
212,134,河北工程大学,河北工程勇士,3,488,,,+2(154),,+3(218),,,,,,,+2(36),-2
213,135,哈尔滨商业大学,传承下去,3,498,,,+3(177),,+3(216),,,,,,,+1(25),-24
214,,华中科技大学,光明刀,3,508,,,+2(104),,-8,,,,,,,+1(19),+5(285)
215,136,河北地质大学,helloworld,3,518,,,+2(168),,+4(238),,-1,,,,,+1(32),-1
216,137,长春工业大学,幻影坦克,3,529,,,+3(278),,-1,,,,,,,+1(26),+1(185)
217,,北京林业大学,流星一条！,3,546,,,+2(102),,-6,,,,,,,+1(29),+7(275)
218,138,暨南大学,我为暨大续一秒,3,593,,,+1(205),,+6(258),,-13,,,,,+1(30),
219,,长沙理工大学,套路,3,709,,,+5(265),,+2(291),,,,,,,+2(33),
220,139,石家庄铁道大学,工匠队,3,712,,,+5(273),,+5(231),,-2,,,,,+1(48),-14
221,140,台州学院,有过之而不及,3,731,,,+6(236),,+4(269),,,,,,,+2(46),-7
222,141,西安理工大学,积极向上,2,77,,,+1(58),,-10,,,,,,,+1(19),-6
223,,中国传媒大学,钢琴湖划水,2,164,,,+1(115),,-1,,,,,,,+1(49),-3
224,142,桂林电子科技大学,深藏功与名,2,176,,,+1(158),,,,,,,,,+1(18),-7
224,142,厦门理工学院,可爱多赛高,2,176,,,+2(135),,-4,,,,,,,+1(21),-9
226,144,西安邮电大学,校长说拿牌就给装空调,2,181,,,+1(168),,-6,,,,,,,+1(13),-5
227,,重庆大学,看起来敲好次==,2,204,,,,,+3(147),,,,,,,+1(17),-9
228,145,南京晓庄学院,别走，还能救,2,214,,,-1,,+4(115),,,,,,,+1(39),-3
229,,杭州电子科技大学,HDU-SisterCon,2,218,,-3,+2(169),,-3,,-3,,,,,+1(29),-8
230,146,西南石油大学,双击六六六,2,220,,,-4,,+4(136),,,,,,,+1(24),-2
231,147,内蒙古师范大学,内师大3队,2,223,,,+2(157),,-7,,,,,,,+1(46),
232,148,河北金融学院,胖达斯,2,244,,,+1(193),,,,,,,,,+1(51),-1
233,149,北华大学,三条咸鱼,2,257,,,+1(150),,-8,,,,,,,+3(67),-1
234,150,河北大学,河北大学云帆一队,2,271,,-1,+6(134),,-3,,,,,,,+1(37),-6
235,151,衡水学院,梦之翼,2,275,,,,,+1(190),,,,,,,+1(85),-2
236,,南京晓庄学院,联邦调查局警告,2,286,,,-11,,+1(253),,,,,,,+1(33),
237,,广东工业大学,神奇海螺,2,392,,,+6(248),,-4,,,,,,,+2(24),-2
238,152,华北电力大学科技学院,天天活在梦里,2,410,,,+6(236),,-8,,,,,,,+1(74),
239,,南阳理工学院,南工软件,1,31,,,-2,,-4,,,,,,,+1(31),-1
240,153,河北师范大学,大花猫奔跑,1,32,,,-7,,,,,,,,,+1(32),
