Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
168,100,南京航空航天大学,在ICPC中寻求AC是否搞错了什么？,3,927,钱品亦,李亚宁,岑嘉诚,Bronze,N,N,+2(253),,,,,+5(296),,,,,+1(277),,
169,101,山东大学（威海）,无敌暴龙冰河可爱爆了,3,1041,祁盛文,宁涛,汤子锋,Bronze,N,N,+4(297),,,+2(298),,,,,,,+9(205),,
170,,广州大学,啊对对对,3,1066,林希栋,罗锦祺,李泽刚,Bronze,N,N,,,,+5(290),,+13(297),,,,,+1(157),,
171,,哈尔滨工业大学（威海）,阿波罗11,3,1079,陈柏羽,阮文哲,纪鑫鹏,Bronze,N,N,,,,+3(243),,+23(278),,,,,+1(77),,
172,102,南昌大学,酸甜泡芙,3,1082,万钧,蔡定中,惠鹏程,Bronze,N,N,+3(296),,,+6(297),,,,,,,+7(228),,
173,,南京理工大学,瑟瑟发抖,2,111,刘星辰,季若曦,王瀚楠,Bronze,N,N,,,,+1(89),,,-1,,,,+1(21),,
174,,北京交通大学,有三个人前来买瓜,2,165,韦正豪,无,无,Bronze,N,N,-2,,,+1(135),,,,,,,+1(29),,
175,103,香港科技大学,树状数组不能维护01背包,2,172,温子奇,张重,张瑜隽,Bronze,N,N,-6,,,,,-17,+1(140),,,,+1(31),,
176,104,平顶山学院,平院一队,2,193,邢玉龙,朱梦飞,刘力宾,Bronze,N,N,,,,+1(155),,-3,,,,,+1(37),,
177,,西安电子科技大学,布鲁特福斯惊呼内行,2,199,谭升阳,谢铭松,郭浩杰,Bronze,N,N,,,,+2(119),,-20,,,,,+2(39),,
178,,北京理工大学,贝尔曼福德大战浮士德,2,204,杨予宸,刘志丹,焦鹏屹,Bronze,N,N,,-2,,+2(152),,,,,,,+1(32),,
179,105,长沙理工大学,老面油条,2,217,杨韬,侯骏哲,张禹轩,Bronze,N,N,+1(197),,,-4,,-8,,,,,+1(19),,
180,,上海大学,噫吁嚱,2,223,谢奕,陶钧,李梓航,Bronze,N,N,,,-12,+2(51),,,,,,,+1(151),,
181,106,宁波大学,知世小天使请别难过喔,2,226,李嘉琪,梁航锋,王茹月,Bronze,N,N,,,,+2(177),,-6,,,,,+1(29),,
182,107,中国海洋大学,黑夜犬人Pro,2,227,谢天意,谢腾飞,储思晴,Bronze,N,N,,,,+2(172),,-14,-5,,,,+1(35),,
183,108,阜阳师范大学,正宗太和羊肉板面,2,227,蹇浩航,解正源,张成玺,Bronze,N,N,-1,,,+2(174),,-41,,,,,+1(32),,
184,,鲁东大学,三带一,2,228,武远博,王敬仪,马业森,Bronze,N,N,,,,+1(181),,,,,,,+1(47),,
185,109,东北大学,东北大学_河童重工,2,230,郝思成,陈锦绥,吴钰璋,Bronze,N,N,-10,,,+1(204),,,,,,,+1(26),,
186,109,浙江科技学院,重庆鸡公煲,2,233,蒋银帆,丁好,卢超翼,Bronze,N,N,,,,+2(152),,-14,,,,,+1(60),,
187,,武昌理工学院,昆仑虚,2,238,常毅威,周思豪,常康腾,Bronze,N,N,,,,+3(177),,-23,,,,,+1(21),,
188,,南开大学,我没意见,2,242,黄子懿,苑华莹,郑原,Bronze,N,N,,,-2,+2(125),,-2,,,,,+3(57),,
189,,福州大学,coder和他的两个眼缘队友,2,245,庄佳霖,吴泽凯,林文浩,Bronze,N,N,,,,+2(186),,,,,,,+1(39),,
190,,南昌航空大学,冰与火之歌,2,248,王旻镐,张豪,蔡威,Bronze,N,N,,,,+2(179),,,-1,,,,+1(48),,
191,111,西南民族大学,刻晴想吃cherry么,2,248,张珺开,肖振威,汪湘衡,Bronze,N,N,,,,+1(186),,,,,,,+1(62),,
192,,浙江理工大学,赚钱小分队,2,248,瞿程浩,吴士超,楼家豪,Bronze,N,N,,,,+1(167),,-24,,,,,+2(61),,
193,112,浙大宁波理工学院,笛卡尔鸡,2,252,胡向东,夏宇,吴亦初,Bronze,N,N,-2,+1(155),,,,,,,,,+2(76),,
194,113,浙江工业大学,ZJUT6,2,255,陈天阳,苗子豪,薛予凡,Bronze,N,N,,,,+2(200),,-2,,,,,+1(34),,
195,114,河南工业大学,攻壳机动队,2,255,孔维飒,李志豪,张君毅,Bronze,N,N,,,,-7,,+2(190),,,,,+1(44),,
196,,深圳大学,SZU-Euclid,2,258,梁泽荣,蒋术焜,林烨堃,Bronze,N,N,,,,+1(156),,-19,,,,,+3(61),,
197,,福建师范大学,随机队名,2,259,许泽昊,陈杨涛,周奕帆,Bronze,N,N,,,,+1(203),,,,,,,+1(56),,
198,115,北京邮电大学,珊瑚宫心海,2,264,董凯文,高畅,董建威,Bronze,N,N,,-5,,+1(208),,-2,,,,,+2(36),,
199,,西安电子科技大学,二重虹,2,267,石潇,花煦,周益全,Bronze,N,N,,+2(219),,-1,,,,,,,+1(28),,
200,116,西北工业大学,东大村三巫师,2,268,杨莫凡,季昕泽,肖宇涵,Bronze,N,N,,,,+2(177),,-8,,,,,+2(50),,
201,,苏州大学,咕咕咕咕咕咕咕咕咕,2,268,殷九思,林志诚,徐一,Bronze,N,N,-2,,,,,+4(163),,,,,+1(44),,
202,116,哈尔滨工程大学,人菜瘾大,2,269,周智,常一帆,管袁菲,Bronze,N,N,,,,-7,,+2(175),,,,,+2(53),,
203,118,南昌航空大学,斩首之夜,2,269,吴博雄,吕锴伦,王复兴,Bronze,N,N,,,,+2(201),,,,,,,+1(47),,
204,,华东师范大学,正式参赛好开心,2,270,汪鼎尊,无,无,Bronze,N,N,+2(178),,,-4,,,,,,,+3(31),,
205,119,中南大学,只能靠签到维生这样子,2,275,郭欣澜,包晗,周硕,Bronze,N,N,,+2(201),,-4,,-7,,,,,+1(53),,
206,120,上海理工大学,令和三年的上海爱丽丝,2,275,潘孝安,无,无,Bronze,N,N,,,,+2(212),,,,,,,+1(43),,
207,121,上海大学,还是你懂的多啊,2,276,王启隆,彭昊辉,康高熙,Bronze,N,N,,,,+3(168),,-15,,,,,+2(47),,
208,,电子科技大学中山学院,文君志鸿队2022,2,280,陈佳宝,吴宝,林国杰,Bronze,N,N,,,,+3(174),,-20,,,,,+1(65),,
209,,金华职业技术学院,XQ DDW,2,283,兰强强,褚茂誉,林宇浩,Bronze,N,N,,,,+2(209),,,,,,,+1(53),,
210,,中国地质大学（武汉）,特困生,2,284,曹世杰,刘剑峰,秦浩然,Bronze,N,N,,,,+2(164),,,,,,,+2(79),,
211,122,大连海事大学,队名无所谓,2,284,,,,Honorable,N,N,,,,-11,,+2(146),,,,,+3(77),,
212,,华南师范大学,天江行者,2,284,,,,Honorable,N,N,,-2,,+1(201),,,,,,,+1(83),,
213,123,东南大学,我走错了考场,2,285,,,,Honorable,N,N,-2,,,+3(184),,-1,,,,,+2(40),,
214,123,哈尔滨工业大学（威海）,西伯利亚狼,2,286,,,,Honorable,N,N,+1(241),,,,,-5,,,,,+1(45),,
215,,南京理工大学,小星星,2,286,,,,Honorable,N,N,,,,+2(228),,-12,,,,,+1(38),,
216,125,南阳师范学院,皮卡皮卡,2,287,,,,Honorable,N,N,,,,+2(213),,,,,,,+1(53),,
217,,江西师范大学,call of accept,2,288,,,,Honorable,N,N,,,,+4(178),,,,,,,+2(29),,
218,125,湖南科技大学,天道酬勤,2,288,,,,Honorable,N,N,-1,-1,-1,+3(231),-1,-1,-1,-1,-1,-1,+1(16),-1,-1
219,127,湖南文理学院,今天刷抖音了没,2,289,,,,Honorable,N,N,-1,-1,,+3(188),,-1,,,,,+2(41),,
220,,郑州大学,圣嘉然之力,2,290,,,,Honorable,N,N,+1(266),,,,,-14,,,,,+1(23),,
221,128,东北大学秦皇岛分校,GG仔,2,291,,,,Honorable,N,N,,+1(222),,,,-2,,,,,+1(68),,
222,,中国民航大学,文明牛魔王想下班,2,292,,,,Honorable,N,N,-4,,,+1(204),,,-2,,,,+2(67),,
223,,东南大学,墨西哥鸡肉卷,2,293,,,,Honorable,N,N,,,,+1(206),,-8,-2,,,,+2(67),,
224,,上海海事大学,昆明考全蛙,2,293,,,,Honorable,N,N,,,,+1(212),,-3,,,,,+2(60),,
225,,山东大学（威海）,来不及起名了,2,294,,,,Honorable,N,N,,,,+3(227),,-5,,,,,+1(26),,
226,,中国人民大学,蒙古上单,2,295,,,,Honorable,N,N,-6,,,+3(164),,,,,,,+2(71),,
227,,南京航空航天大学,教练，我想打电竞,2,297,,,,Honorable,N,N,,,,+5(179),,-6,,,,,+2(18),,
228,129,浙江机电职业技术学院,蜜汁辣酱,2,297,,,,Honorable,N,N,,,,+1(235),,,-167,,,,+1(61),,
229,,大连理工大学,航航今天吃什么,2,299,,,,Honorable,N,N,,,,+2(195),,-6,,,,,+1(83),,
230,130,河南大学,十三号永动机,2,299,,,,Honorable,N,N,,,,+4(181),,,,,,,+2(38),,
231,131,哈尔滨工业大学（威海）,青州街幼儿园,2,301,,,,Honorable,N,N,,,,-6,,+2(189),,,,,+3(51),,
232,,西北师范大学,夕阳红战队之黄昏再出发,2,304,,,,Honorable,N,N,,,,+4(183),,,,,,,+1(60),,
233,,武汉大学,不寄不摆不打铁,2,304,,,,Honorable,N,N,,,,+2(261),,-19,-1,,,,+1(23),,
234,,北京邮电大学,未响应,2,307,,,,Honorable,N,N,,,,+4(192),,-18,,,,,+2(35),,
235,132,潍坊学院,都来关注嘉然小姐,2,310,,,,Honorable,N,N,,,,+3(195),,-2,,,,,+2(54),,
236,133,河南理工大学,手气最佳,2,313,,,,Honorable,N,N,,,,+5(197),,-14,,,,,+1(35),,
237,134,中国地质大学（武汉）,背着队友偷偷wa题,2,313,,,,Honorable,N,N,,-5,,+3(189),,-23,,,,,+2(63),,
238,134,重庆邮电大学,gnk48,2,314,,,,Honorable,N,N,,,,+3(207),,,,,,,+2(47),,
239,134,山东理工大学,注意效率,2,315,,,,Honorable,N,N,,,,+3(227),,-1,,,,,+1(47),,
240,,中国人民大学,三个人商量半天发现都不会取名于是就这样了,2,317,,,,Honorable,N,N,,,,+1(216),,,,,,,+1(100),,
241,137,山东理工大学,皮卡Wa,2,317,,,,Honorable,N,N,,-2,,+3(246),,,,,,,+1(30),,
242,,中国石油大学（华东）,金鑫亮晶晶,2,322,,,,Honorable,N,N,,,,+2(254),,-1,,,,,+1(48),,
243,,南昌大学,我们都有美好的未来,2,322,,,,Honorable,N,N,,-1,,+2(262),,,,,,,+1(40),,
244,,西南民族大学,求求让我们拿个奖吧,2,326,,,,Honorable,N,N,,,,+1(222),,,-5,,,,+3(63),,
245,138,南京信息工程大学,从零开始的ACM生活,2,326,,,,Honorable,N,N,-2,,,+4(233),,,,,,,+1(33),,
246,139,青岛大学,好想有个学上,2,328,,,,Honorable,N,N,+2(254),,,-1,,,,,,,+1(53),,
247,139,浙大城市学院,逃跑太阳,2,329,,,,Honorable,N,N,,,,+3(251),,,,,,,+1(38),,
248,141,江苏科技大学,长山有矿,2,330,,,,Honorable,N,N,,-1,,+2(211),,-7,,,,,+3(59),,
249,142,鲁东大学,星星之火,2,332,,,,Honorable,N,N,,,,+4(207),,-1,,,,,+2(44),,
250,142,浙大城市学院,不摆烂从取队名开始,2,332,,,,Honorable,N,N,,,,+3(206),,-6,,,,,+2(66),,
251,,武汉科技大学,AliCization,2,333,,,,Honorable,N,N,,,,+3(256),,,,,,-1,+1(37),,
252,,济南大学,大膜术师,2,333,,,,Honorable,N,N,,,,+1(193),,,,,,,+2(120),,
253,,上海大学,正在AC中,2,335,,,,Honorable,N,N,,,,+2(190),,,,,,,+5(45),,
254,,东南大学,石骨泉心,2,336,,,,Honorable,N,N,,,,+3(168),,-4,,,,,+2(108),,
255,,西安邮电大学,鮊纅孁鬏綦噁,2,339,,,,Honorable,N,N,,,,+2(203),,,,,,,+3(76),,
256,,云南大学,【B限】第一次学代码,2,344,,,,Honorable,N,N,,,,+3(225),,-9,,,,,+2(58),,
257,,江南大学,远坂凛粉丝队,2,346,,,,Honorable,N,N,,,,+2(289),,,,,,,+1(37),,
258,,河北师范大学,懒羊羊与小灰灰,2,347,,,,Honorable,N,N,,,,+1(235),,,,,,,+4(52),,
259,144,山东科技大学,NCC_1371 共和国号,2,347,,,,Honorable,N,N,,,,+2(246),,,,,,,+2(61),,
260,144,华东交通大学,能不能不打铜,2,348,,,,Honorable,N,N,+6(215),,,-7,,,,,,,+1(32),,
261,146,常州大学,塔塔开,2,350,,,,Honorable,N,N,,,,+2(269),,,,,,,+2(40),,
262,,香港中文大学（深圳）,可爱天赐摸猫猫,2,350,,,,Honorable,N,N,,-3,,+5(249),,-8,,,,,+1(20),,
263,,西安邮电大学,遇到困难睡大觉,2,351,,,,Honorable,N,N,,,,+3(208),,,-4,,,,+1(103),,
264,,中南民族大学,回响,2,352,,,,Honorable,N,N,,,,+4(202),,,,,,,+1(89),,
265,147,东北林业大学,kki,2,353,,,,Honorable,N,N,+1(128),,,-5,,,,,,,+4(164),,
266,148,四川大学,狂风之力！,2,354,,,,Honorable,N,N,+2(253),,,,,-1,,,,,+2(60),,
267,148,华中科技大学,打得不错,2,355,,,,Honorable,N,N,-3,,,+1(263),,,,,,,+1(92),,
268,,河北师范大学,美羊羊与沸羊羊,2,359,,,,Honorable,N,N,,,,+3(271),,,,,,,+2(27),,
269,150,广东工业大学,猫猫吃代码,2,360,,,,Honorable,N,N,,,,+3(213),,-6,,,,,+3(67),,
270,151,青岛科技大学,123qwe,2,361,,,,Honorable,N,N,,,,+4(224),,-4,,,,,+2(56),,
271,152,福州大学,新概念女队,2,365,,,,Honorable,N,N,,,,+4(254),,,,,,,+1(51),,
272,,江南大学,OP战队,2,367,,,,Honorable,N,N,,,,+5(224),,,,,,,+1(63),,
273,153,西北大学,闪电ac队,2,368,,,,Honorable,N,N,,,,+4(267),,-1,,,,,+1(40),,
274,,河南科技大学,游戏玩家,2,369,,,,Honorable,N,N,+2(205),,,,,-2,,,,,+2(123),,
275,154,河南理工大学,反方向的钟,2,373,,,,Honorable,N,N,,,,+2(261),,,,,,,+2(72),,
276,,西北工业大学,翱翔快递队,2,373,,,,Honorable,N,N,+2(197),,,-4,,,,,,,+3(116),,
277,155,浙江工业职业技术学院,浙江工业职业技术学院1队,2,375,,,,Honorable,N,N,,,,+5(257),,-19,,,,,+1(38),,
278,,东华大学,关键字,2,377,,,,Honorable,N,N,,,,+1(276),,,,,,,+3(60),,
279,,东北大学,东北大学_不喝百事,2,378,,,,Honorable,N,N,,-1,,+4(266),,,,,,,+1(51),,
280,,浙江工业大学,ZJUT4,2,381,,,,Honorable,N,N,,,,+3(177),,-32,,,,,+3(124),,
281,,福建师范大学,我们需要一个支持单点修改单点查询的数据结构,2,382,,,,Honorable,N,N,,,,+3(184),,-33,,,,,+5(77),,
282,,潍坊学院,积极向上,2,383,,,,Honorable,N,N,,,,+4(245),,-6,,,,,+1(78),,
283,156,杭州师范大学,这就是我们的AC路线,2,384,,,,Honorable,N,N,,-1,,+5(229),,,,,,,+1(75),,
284,,广东工业大学,寂静之声,2,385,,,,Honorable,N,N,,,,+1(233),,-14,,,,,+4(91),,
285,156,中原工学院,希望从河南电子科技大学毕业,2,385,,,,Honorable,N,N,,,,+3(216),,-7,,,,,+2(109),,
286,158,武汉科技大学,敲的要快交的要帅,2,386,,,,Honorable,N,N,,,,+6(250),,,-3,,,,+1(35),,
287,159,杭州师范大学,幼稚未完,2,387,,,,Honorable,N,N,,,,+5(222),-1,,,,,,+2(65),,
288,159,山东理工大学,Wa哈哈,2,387,,,,Honorable,N,N,,,,+4(265),,,,,,,+1(62),,
289,,浙江大学,So Cute,2,389,,,,Honorable,N,N,,,,-1,,+1(229),,,,,+4(100),,
290,161,西南财经大学,世界征服者,2,390,,,,Honorable,N,N,,,,+4(218),,-8,,,,,+3(71),,
291,,盐城工学院,赟赟之队,2,393,,,,Honorable,N,N,,,,+5(250),,,,,,,+2(42),,
292,161,哈尔滨商业大学,先行者,2,394,,,,Honorable,N,N,,,,+4(229),,-7,,,,,+3(65),,
293,,江西师范大学,你百度一下,2,394,,,,Honorable,N,N,,,,+3(209),,,-3,,,,+1(145),,
294,161,浙江工业大学之江学院,三人四级五百分,2,399,,,,Honorable,N,N,,,,+4(266),,,,,,,+2(52),,
295,,青岛科技大学,肖申克,2,400,,,,Honorable,N,N,,,,+3(206),,-8,,,,,+3(113),,
296,164,厦门大学,乐观向上,2,400,,,,Honorable,N,N,+2(277),-1,,-4,,,,,,,+3(62),,
297,,华中师范大学,比赛-读题-下班,2,402,,,,Honorable,N,N,,,,+4(234),,-1,,,,,+2(87),,
298,,哈尔滨工程大学,三头老猫,2,403,,,,Honorable,N,N,+5(275),,,-7,,-15,,,,,+1(48),,
299,165,长安大学,塔塔开,2,403,,,,Honorable,N,N,,,,+6(248),,,,,,,+1(55),,
300,165,南昌航空大学,逸一时误一世,2,404,,,,Honorable,N,N,,,-1,+1(278),,-10,,,,,+2(105),,
301,165,河海大学,溪午闻钟,2,404,,,,Honorable,N,N,,,,+3(281),,,,,,,+1(83),,
302,,宁波大学,错误答案重度依赖,2,404,,,,Honorable,N,N,,,,+3(231),,,,,,,+4(73),,
303,168,鲁东大学,凯酱应援团,2,405,,,,Honorable,N,N,,,,+4(207),,,,,,,+3(97),,
304,,青岛科技大学,奥卡姆剃刀,2,405,,,,Honorable,N,N,,,,+3(203),,-1,,,,,+4(102),,
305,,武汉轻工大学,武汉轻工大学一队,2,406,,,,Honorable,N,N,,,,+3(237),,-3,,,,,+3(88),,
306,169,天津大学,不Fe不改名,2,406,,,,Honorable,N,N,,,,+5(200),,,,,,,+3(86),,
307,170,北京工业大学,啊对对对,2,407,,,,Honorable,N,N,,,,+4(224),,,,,,,+4(62),,
308,,湘潭大学,面对疾风吧,2,407,,,,Honorable,N,N,,,,-6,,+5(217),,,,,+3(70),,
309,,成都东软学院,nnd为什么不队,2,410,,,,Honorable,N,N,,,,+6(256),,-2,,,,,+1(54),,
310,,浙大宁波理工学院,这天我相信了光,2,411,,,,Honorable,N,N,,,,+5(285),,,,,,,+1(45),,
311,,北京航空航天大学,原来你也打XCPC,2,412,,,,Honorable,N,N,,-1,,+2(229),,-4,,,,,+3(123),,
312,,长沙学院,飞天小女警,2,412,,,,Honorable,N,N,,,,+3(226),,-5,,,,,+3(106),,
313,,青岛大学,LOL自动机,2,414,,,,Honorable,N,N,,,,+3(259),,,,,,,+2(94),,
314,171,西南科技大学,可见光,2,415,,,,Honorable,N,N,,,,+5(297),,,,,,,+1(37),,
315,,闽南师范大学,三个新铁匠,2,416,,,,Honorable,N,N,,,,+4(270),,-1,,,,,+2(65),,
316,,北方工业大学,NCUT2,2,417,,,,Honorable,N,N,,,,+3(197),,-8,,,,,+2(160),,
317,,西北大学,我是谁,2,419,,,,Honorable,N,N,,,,+6(293),,,-2,,,,+1(26),,
318,172,南开大学,难♂铜,2,419,,,,Honorable,N,N,,,,+2(236),,-6,,,,,+3(123),,
319,,深圳技术大学,破晓,2,420,,,,Honorable,N,N,+4(243),,,-2,,,,,,,+2(96),,
320,,广东东软学院,三个寄俩,2,420,,,,Honorable,N,N,,,,+5(248),,,,,,,+2(72),,
321,173,北方工业大学,好运来,2,421,,,,Honorable,N,N,,,,+2(254),,-2,,,,,+3(107),,
322,,哈尔滨理工大学,哈理工05队,2,422,,,,Honorable,N,N,,+6(295),,,,,,,,,+1(26),,
323,,桂林电子科技大学,我们队长考青大落榜了,2,423,,,,Honorable,N,N,,,,+3(189),,-8,,,,,+3(154),,
324,,河北工业大学,只能打铁,2,424,,,,Honorable,N,N,,,,+8(259),,,,,,,+1(25),,
325,,中山大学新华学院,a一题就溜,2,426,,,,Honorable,N,N,,,,+1(256),,-11,,,,,+3(129),,
326,,武汉大学,最后轻语,2,426,,,,Honorable,N,N,,,-1,+2(149),,,+1(256),,,,-6,,
327,,东华大学,大二陪跑队,2,430,,,,Honorable,N,N,,,,+5(274),,,-1,,,,+1(76),,
328,174,西北农林科技大学,同一个梦想,2,431,,,,Honorable,N,N,,+4(230),,-4,,,,,,,+4(80),,
329,175,河北工业大学,先打他一块铁,2,434,,,,Honorable,N,N,,,,+2(224),,-23,,,,,+1(189),,
330,,河南财经政法大学,全队儿的希望,2,436,,,,Honorable,N,N,,,,+7(285),,-4,,,,,+1(30),,
331,,中国矿业大学,大四单身狗,2,436,,,,Honorable,N,N,+4(285),,,,,,,,,,+1(90),,
332,,四川旅游学院,红温兰博,2,439,,,,Honorable,N,N,,,,+6(264),,-2,,,,,+2(54),,
333,,兰州理工大学,董芳洁、石树桃、许思沁 全球粉丝后援团,2,441,,,,Honorable,N,N,,,,-2,,+6(229),,,,,+3(71),,
334,176,湖南人文科技学院,妈妈，我做到了,2,445,,,,Honorable,N,N,,,,+1(297),,,,,,,+1(148),,
335,176,东北大学,东北大学_浮生六记,2,447,,,,Honorable,N,N,,,,+4(248),,-16,,,,,+3(99),,
336,,天津理工大学,打铁还需自身硬,2,452,,,,Honorable,N,N,,,,+10(246),,-5,,,,,+1(26),,
337,,西南大学,JK触发器,2,454,,,,Honorable,N,N,,,,+4(296),,,,,,,+3(57),,
338,,国防科技大学,三个弱鸡的金牌之路,2,454,,,,Honorable,N,N,,,,+5(254),,,,,,,+3(79),,
339,,杭州师范大学,我超勇的,2,454,,,,Honorable,N,N,,,,+3(215),,-5,,,,,+6(99),,
340,,深圳大学,SZU-Dijkstra,2,455,,,,Honorable,N,N,,,,+7(226),,-3,,,,,+1(108),,
341,178,北京师范大学,网络流,2,456,,,,Honorable,N,N,,,,+4(258),,,,,,,+2(117),,
342,,江苏大学,三星金克斯,2,456,,,,Honorable,N,N,,,,+5(258),,,,,,,+2(97),,
343,,湖南农业大学,湖南农大子弟小学17队,2,462,,,,Honorable,N,N,,,,+4(277),,,,,,,+4(65),,
344,,南华大学,三个代表,2,463,,,,Honorable,N,N,,,,+2(240),,-4,,,,,+3(162),,
345,,广东工业大学,难兄难弟,2,464,,,,Honorable,N,N,,-3,,+5(290),,,,,,,+2(74),,
346,,武汉科技大学,终幕蔷薇,2,465,,,,Honorable,N,N,,,-1,+4(246),,,,,,,+2(139),,
347,179,中国计量大学,只回韬韬,2,469,,,,Honorable,N,N,,,,+1(248),,,,,,,+5(141),,
348,,东北林业大学,拿个牌子就退役,2,470,,,,Honorable,N,N,+5(295),,,,,-7,,,,,+1(95),,
349,180,华北水利水电大学,用爆零给大家带来笑容,2,471,,,,Honorable,N,N,,,,+6(286),,-8,,,,,+1(85),,
350,180,湖南工业大学,气球怎么全漏气了,2,473,,,,Honorable,N,N,,,,+2(214),,-4,,,,,+8(99),,
351,182,重庆邮电大学,阿尔托莉雅,2,473,,,,Honorable,N,N,,,,+4(264),,-1,,,,,+4(88),,
352,,中国石油大学（华东）,三院盟,2,475,,,,Honorable,N,N,,,,+1(269),,-1,,-1,,,+5(126),,-1
353,,辽宁大学,非日常的日常,2,478,,,,Honorable,N,N,,,,+4(256),,,,,,,+2(141),,
354,,石家庄铁道大学,Szz的航空母舰,2,484,,,,Honorable,N,N,,,,-4,,+5(285),,,,,+4(58),,
355,,天津大学,铁匠打甜酱,2,485,,,,Honorable,N,N,+7(269),,,,,,,,,,+2(76),,
356,183,华东师范大学,泠鸢yousa没有腿,2,487,,,,Honorable,N,N,+6(268),,,-2,,-8,,,,,+3(79),,
357,184,中原工学院,wa了，但没有完全wa,2,494,,,,Honorable,N,N,,,,+9(287),,,,,,,+2(26),,
358,,浙江理工大学,飞飞,2,495,,,,Honorable,N,N,,,,+3(188),,-3,,,,,+7(146),,
359,,南京工业大学,非全菜,2,496,,,,Honorable,N,N,+1(118),,,-2,,,,,,,+8(238),,
360,,华南农业大学,被虐中慢慢成佛,2,497,,,,Honorable,N,N,,,,+5(247),,-10,,,,,+4(109),,
361,,中国民航大学,小虎队,2,502,,,,Honorable,N,N,,,-3,+2(267),,,,,,,+6(114),,
362,,青岛科技大学,提拉塔嘛的喇嘛拿塔嘛打了别喇叭的哑巴一塔嘛,2,502,,,,Honorable,N,N,,,,+5(266),,-11,,,,,+5(76),,
363,,电子科技大学中山学院,ZSC_现在可不是瞌睡的时候啦~,2,505,,,,Honorable,N,N,,,,+9(295),,,,,,,+2(29),,
364,,哈尔滨理工大学,哈理工18队,2,505,,,,Honorable,N,N,,,,+5(266),,-3,,,,,+2(139),,
365,,南京航空航天大学,幺鸡小分队,2,505,,,,Honorable,N,N,,,,-4,,+4(259),,,,,+3(146),,
366,,南阳理工学院,队友上机我开摆,2,517,,,,Honorable,N,N,,,,+4(284),,,,,,,+2(153),,
367,,燕山大学,雨无雪无梦,2,518,,,,Honorable,N,N,,,,+10(294),,-1,,,,,+2(24),,
368,185,贵州大学,猎荒者小队,2,519,,,,Honorable,N,N,,,,+9(268),,-1,,,,,+3(51),,
369,,兰州大学,络合物,2,520,,,,Honorable,N,N,,,,+2(282),,,,,,,+6(117),,
370,186,青岛大学,均衡教派,2,521,,,,Honorable,N,N,+8(207),-8,,,,,-1,,,,+4(113),,
371,187,中北大学,青草池塘处处WA,2,521,,,,Honorable,N,N,-1,-2,,+3(291),-1,,-1,-1,,-1,+5(110),-2,-1
372,,浙江机电职业技术学院,漫步红尘,2,521,,,,Honorable,N,N,,,,+2(252),,,,,,,+7(129),,
373,,乐山师范学院,wa说谎言，ac说真相,2,526,,,,Honorable,N,N,,,,+2(245),,,,,,,+6(161),,
374,,安徽工程大学,刘华强买瓜,2,531,,,,Honorable,N,N,,,,+7(249),,,,,,,+4(102),,
375,188,中国石油大学（北京）,石油滚滚流,2,536,,,,Honorable,N,N,,,,,,+4(242),,,,,+5(154),,
376,,浙江农林大学,楼下大哥别过题了求求,2,542,,,,Honorable,N,N,,,,+3(236),,,,,,,+7(145),,
377,189,浙江中医药大学,三花聚顶,2,546,,,,Honorable,N,N,,,,-3,,+5(269),,,,,+6(96),,
378,,嘉应学院,吃饭不张口,2,560,,,,Honorable,N,N,,,,+5(292),,,,,,,+1(187),,
379,,华南理工大学,路人选手的AC方法,2,561,,,,Honorable,N,N,+5(216),,,,,,,,,,+2(244),,
380,,集美大学,三氧化二铁,2,582,,,,Honorable,N,N,,,,-14,,+3(172),,,,,+9(210),,
381,,苏州大学,555我的炸鸡,2,588,,,,Honorable,N,N,,,,+3(277),,,,,,,+9(111),,
382,190,河海大学常州校区,三哇,2,589,,,,Honorable,N,N,,,,+13(292),,,,,,,+1(57),,
383,,中国科学技术大学,划水摸鱼队,2,594,,,,Honorable,N,N,,-1,-2,+10(295),,,,,,,+3(78),,
384,,厦门大学,比奇堡三恶霸,2,599,,,,Honorable,N,N,+1(273),,,-3,,,,,,,+3(285),,
385,,重庆大学,听取WA声一片,2,602,,,,Honorable,N,N,,,,+12(281),,-8,,,,,+3(61),,
386,,山东师范大学,蒙古上单,2,605,,,,Honorable,N,N,,,,+12(293),,,,,,,+1(91),,
387,191,郑州轻工业大学,这起名多是一件美事,2,611,,,,Honorable,N,N,,,,+3(235),,,,,,,+10(155),,
388,192,湖北工业大学,一架飞机天上飞，两架飞机地上追,2,612,,,,Honorable,N,N,,,,+4(296),,-8,,,,,+8(116),,
389,,广西大学,不死鸟,2,634,,,,Honorable,N,N,,-1,,+9(227),,-3,,,,,+4(186),,
390,193,东南大学,首阳队,2,644,,,,Honorable,N,N,,,,+7(289),,,,,,,+5(154),,
391,194,中国矿业大学（北京）,随缘,2,663,,,,Honorable,N,N,+5(280),,,-4,,,,,,,+3(262),,
392,,国防科技大学,希望号,2,663,,,,Honorable,N,N,,,,+1(280),,,,,,,+10(203),,
393,195,中国计量大学,沃斯尼蝶,2,666,,,,Honorable,N,N,,,,+5(270),,-1,,,,,+4(256),,
394,,暨南大学,三人成wa,2,667,,,,Honorable,N,N,,,,,,+3(298),-3,,,,+7(208),,
