Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
34,25,大连理工大学,三带一,5,828,濮凡轶,江雨桐,李冠霖,Gold,N,N,,+2(260),,+2(110),,+3(162),+1(174),,,,+1(40),-2,
35,26,北京航空航天大学,起名苦手,5,837,雷骧逸,樊佳昊,丁家玮,Gold,N,N,,+1(266),,+3(192),,+2(109),+1(173),,,,+1(36),,
36,,南京大学,徒手抓蛾子,5,839,陈思睿,周子杰,徐沐杰,Silver,N,N,,+2(296),,+3(208),,+4(134),+1(58),,,,+1(22),,
37,,电子科技大学,UESTC_大大卷,5,930,李佳骏,李奕聪,陈奕可,Silver,N,N,,+1(256),,+3(157),,+4(231),+1(104),,,,+2(60),,
38,,重庆大学,CQU_2=1,5,999,余康,蒋云豪,两人队,Silver,N,N,,+2(256),-4,+1(204),,+2(268),+1(162),,,,+2(47),,
39,,北京科技大学,随机队名,5,1061,刘伟浩,裘嘉欣,宋博文,Silver,N,N,,+3(198),,+3(292),,+2(204),+1(123),,,,+1(142),,
40,,香港城市大学,九龙塘妙妙屋,5,1066,李嘉乾,黄一笑,戴晨岳,Silver,N,N,-1,+2(161),,+1(202),,+5(214),+1(273),,,,+1(114),,
41,27,中山大学,中山大学_天作之合,5,1068,刘彦莹,杨天行,罗以彬,Silver,N,N,-4,+1(218),,+1(184),,+4(280),+1(93),,,,+1(231),,
42,28,同济大学,达拉崩吧班得贝迪卜多比鲁翁,5,1079,孙治弘,张乐天,刘依杨,Silver,N,N,+1(289),+1(207),,+3(195),,+1(231),-1,,,,+2(95),,
43,29,上海交通大学,洒满黄浦江,5,1144,杨宗翰,杨尚霏,谭博仁,Silver,N,N,,+4(292),,+3(100),,-45,+1(56),,,,+10(267),+1(147),
44,30,北京大学,淹园外被鸽的鸽子,5,1165,吴清月,胡晋侨,袁傲慕飞,Silver,N,N,,+2(238),,+2(159),,-10,+1(279),,,,+2(107),+4(260),
45,,中国科学技术大学,freedive,5,1187,李泽林,欧阳博丁,舒英特,Silver,N,N,+2(181),+1(245),-5,+3(237),,+6(293),,,,,+1(70),,
46,31,北京邮电大学,三只喵喵一锅汤,5,1312,陈冠州,李亦非,赵昕鹏,Silver,N,N,,+2(258),,+1(195),,+13(297),+1(174),,,,+3(86),,
47,32,西安交通大学,怎么会是呢？,5,1373,郭修屹,栾家骏,刘一可,Silver,N,N,+8(298),+2(259),,+2(148),,+10(204),,,,,+2(82),,
48,33,哈尔滨工业大学（深圳）,删库跑路,5,1428,卢郡然,梁珊,任秦江,Silver,N,N,,+1(162),,+2(173),,+27(290),+1(244),,,,+1(17),,
