Rank,Medal,School,Team,Solved,Penalty,Dirt,A,B,C,D,E,F,G,H,I,J,K,L,M
165,Bronze,苏州大学,树上停滞机,3,537,0.57,+4(129),,+2(60),,,+1(268),,,,,,,-6
166,Bronze,浙江科技学院,和山车神,3,548,0.7,+6(213),,+2(45),,,+2(150),,,,,,,
167,Bronze,中国计量大学现代科技学院,现科一队,3,553,0.62,+5(256),,+2(53),,,+1(144),,,,,,,-4
168,Bronze,北京理工大学,雨女无瓜,3,563,0.7,+7(133),,+1(30),,,+2(260),,,,,,,-6
169,Bronze,闽南师范大学,天佐,3,571,0.66,+7(225),,+1(24),,,+1(202),,,,,,,-5
170,Bronze,天津大学,月下带花树,3,573,0.57,+2(174),,+3(94),,,+2(225),,,,,,,-3
170,,南京邮电大学,莫比乌斯演我,3,573,0.5,+1(248),,+2(58),,,+3(207),,,,,,,-2
172,,西南民族大学,SMU_起点,3,580,0.62,+2(134),,+1(77),,,+5(269),,,,,,,
173,,中北大学,最菜�,3,581,0.5,+2(240),,+1(19),,,+3(262),,,,,,,
174,,湖南工业大学,拖延症,3,584,0.72,+3(172),,+5(50),,,+3(202),,,,,,,-3
175,,南昌大学,supernova,3,594,0.66,+6(233),,+1(31),,,+2(210),,,,,,,-4
176,,中国矿业大学徐海学院,禁止吸烟,3,598,0.7,+3(232),,+3(32),,,+4(194),,,,,,,-2
177,,中南林业科技大学,正方形,3,604,0.57,+2(264),,+3(55),,,+2(205),,,,,,,
178,,南京航空航天大学,咕^6,3,605,0.7,+2(171),,+3(62),,,+5(232),,,,-2,,,
179,,长春理工大学,我的队友也很暴躁,3,611,0.72,+6(239),,+3(43),,,+2(169),,,,-2,,,
180,,南开大学,想起高兴的事情,3,620,0.7,+4(204),,+2(31),,,+4(245),,,,,,,
181,,中国矿业大学（北京）,鑫鑫向荣,3,621,0.76,+3(80),,+6(83),,,+4(258),,,,,,,-2
