Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
270,北京师范大学珠海分校,请开始你们的表演/29/F12,3,214,+2(25),-,-,-,-,-,-,-,-,-9,+1(111),-,+2(38)
271,东华大学,学姐你好厉害/68/A101,3,215,+1(59),-4,-,-,-,-,-,-,-,-3,+1(120),-,+1(36)
272,上海大学,狂交原谅色/201/E23,3,223,+1(87),-4,-,-,-,-,-,-,-,-1,+1(111),-,+1(25)
273,山东农业大学,SDAU&SH/199/E13,3,230,+1(70),-,-,-,-,-,-,-,-,-,+1(126),-3,+1(34)
274,桂林电子科技大学,尧山妖风/89/C64,3,238,+2(134),-,-1,-6,-,-,-,-,-,-,+1(57),-,+1(27)
275,福建农林大学,HIFIRE/74/B61,3,244,+4(39),-,-,-,-,-,-,-,-,-2,+1(77),-4,+2(48)
276,上海大学,燃烧生命吧@_@!/203/F84,3,247,+3(80),-9,-,-,-,-,-,-,-,-3,+1(106),-,+1(21)
277,中国石油大学（华东）,数位旅程/314/C94,3,250,+3(35),-,-,-,-,-,-,-,-,-4,+2(108),-12,+1(47)
278,河南农业大学,代码请提交到这儿/118/D15,3,262,+3(56),-,-,-,-,-,-,-,-,-,+1(102),-6,+2(44)
279,宁波大学,给块铜牌过年/181/D75,3,264,+2(40),-,-2,-,-,-,-,-,-,-,+2(125),-,+1(59)
280,河海大学,加拉隆/109/B105,3,265,+3(74),-2,-8,-,-,-,-,-,-,-2,+1(99),-,+2(32)
281,苏州大学,卧槽是比尔海林顿/219/C72,3,276,+4(81),-1,-,-,-,-,-,-,-,-6,+1(106),-1,+1(29)
282,北京林业大学,隆中对/26/C16,3,291,+1(100),-,-2,-,-,-,-,-,-,-5,+1(142),-2,+2(29)
283,常州大学,我的期末考试怎么办/34/F101,3,296,-4,-,-,-,-,-,-,-,-,-1,+1(177),+1(96),+1(23)
284,山东科技大学,威严号/194/D62,3,302,+2(118),-,-2,-,-,-,-,-,-,-6,+2(111),-,+1(33)
285,湖北工业大学,缺俩carry/120/A14,3,312,+2(146),-,-,-,-,-,-,-,-,-7,+1(97),-,+1(49)
286,河南大学,菜鸡三人行/113/A53,3,333,+2(35),-,-,-,-,-,-,-,-,-1,+2(204),-,+1(54)
287,厦门理工学院,北冥有虎其名为胖/254/F36,3,346,+2(78),-8,-,-,-,-,-,-,-,-2,+4(142),-2,+1(46)
288,山东科技大学,半人马号/192/E71,3,385,-,-,+1(259),-,-,-,-,-,-,-3,+1(95),-,+1(31)
289,西南民族大学,三狼点齐(女队)/250/C33,3,396,+2(52),-,-,-,-,-,-,-,-,-,+3(204),-5,+1(80)
289,济南大学,膜蛤师/147/A61,3,396,+1(53),-,-,-,-,-,-,-,-,-,+1(233),-2,+1(110)
291,郑州大学,随便啦/290/C31,3,404,+4(117),-,-,-,-,-,-,-,-,-9,+2(177),-3,+1(30)
292,浙江中医药大学,行走在茫茫月色下的黄浦江边/289/F42,3,405,+4(138),-,-,-,-,-,-,-,-,-6,+2(132),-4,+1(55)
293,东华大学,微笑着战斗/66/A23,3,428,+7(50),-,-,-,-,-1,-,-,-,-3,+3(156),-2,+2(42)
294,上海理工大学,咸鱼/212/F94,3,442,-3,+2(278),-,-,-,-,-,-,-,-2,+1(119),-1,+1(25)
295,中国地质大学（武汉）,冯•诺依曼/296/A25,3,446,+6(145),-11,-,-,-,-,-,-,-,-3,+3(138),-1,+1(23)
296,山东科技大学,雷神之子号/193/C101,3,455,-2,-,+1(246),-,-,-,-,-,-,-,+2(138),-2,+1(51)
297,同济大学,牢记使命/225/D93,3,463,-,-,-,-,-,-,-,-,-,+3(277),+1(118),-1,+1(28)
298,东华大学,圣光背叛了我/65/D53,3,471,+2(145),-2,-,-,-,-5,-,-,-,-3,+2(244),-,+1(42)
299,华中科技大学,我爱吃火锅(女队)/138/B102,3,480,+2(205),-7,-,-,-,-,-,-,-,-,+2(193),-,+2(22)
300,南京航空航天大学,起名困难症/160/E34,3,491,+3(117),-,-,-,-,-,-,-,-,-4,+6(195),-,+2(19)
301,中南民族大学,打出GG/318/B93,3,498,+2(107),-,-1,-,-,-,-,-,-,-,+6(206),-,+2(45)
302,东北大学秦皇岛分校,膜都旅行团/328/D34,3,696,+14(288),-,-,-,-,-,-,-,-,-,+1(124),-,+1(24)
303,东北师范大学,你能你上(女队)/61/F44,2,147,-,-,-,-,-,-,-,-,-,-,+1(121),-1,+1(26)
304,重庆邮电大学,璀璨/48/A84,2,204,-2,-,-,-,-,-,-,-,-,-,+1(147),-2,+2(37)
305,西北工业大学,旅游队/244/E82,2,208,+3(97),-,-,-1,-,-,-,-,-,-,-5,-,+2(51)
306,香港大学,龜速跑者/257/B11,2,239,-1,-,-,-,-,-,-,-,-,-,+1(199),-,+1(40)
307,北京林业大学,1900/25/C104,2,243,-6,-,-,-,-,-,-,-,-,-5,+4(112),-1,+2(51)
308,南阳师范学院,让我们红橙作伴活得潇潇洒洒/180/B91,2,253,+4(93),-,-,-,-,-,-,-,-,-12,-,-,+1(100)
309,浙江万里学院,超超新星爆发/288/D92,2,300,-1,-,-,-,-,-,-,-,-,-,+1(197),-,+2(83)
310,中国计量学院,待定/297/B44,2,301,-5,-,-,-,-,-,-,-,-,-4,+3(231),-,+1(30)
311,蚌埠学院,打铁和起队名哪个更easy？/2/F93,2,356,-,-,-,-,-,-,-,-,-,-,+3(194),-,+5(42)
312,南京理工大学,喵呜喵呜嘤嘤嘤/168/F103,2,368,-3,-,-,-,-,-,-,-,-,-,+4(268),-2,+1(40)
313,南京邮电大学通达学院,喵喵喵/175/F85,2,414,-11,-,-,-,-,-,-,-,-,-,+7(260),-,+1(34)
314,上海第二工业大学,端点攻势/207/F105,2,452,-5,-,-,-,-,-,-,-,-,-,+7(283),-18,+1(49)
315,陆军工程大学,AEU_红色基因/153/B85,1,26,-7,-,-,-,-,-,-,-,-,-,-,-,+1(26)
316,河海大学常州校区,全村人的希望/112/D31,1,114,-9,-,-,-,-,-,-,-,-,-,-5,-,+4(54)
317,南京晓庄学院,别走，还能救/170/A91,1,122,-1,-,-,-,-,-,-,-,-,-1,-,-,+3(82)
318,上海第二工业大学,端点行动/208/A33,1,130,-4,-,-,-,-,-,-,-,-,-,-9,-,+3(90)
