Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
129,东北林业大学,别看了我最酷了/59/B43,5,438,+2(31),-9,+1(170),-,-,-,-,-,-,+2(102),+1(66),-4,+1(29)
130,西南科技大学,利剑在手/247/B16,5,452,+1(9),+3(196),-,-,-,-,-,-,-,+2(102),+1(57),-,+1(28)
130,南京航空航天大学,偷煤雨夜肥猫泣/163/D104,5,452,+1(19),+1(97),+1(206),-,-,-,-,-6,-,-12,+2(71),-,+1(39)
130,华南理工大学,我的表弟不会快速傅里叶变换/133/D33,5,452,+2(24),+1(133),+2(136),-,-,-,-,-6,-,-4,+2(69),-6,+1(30)
133,浙江大学,广东老乡/266/C12,5,473,+2(11),+4(223),-4,-,-,-,-,-,-,+1(94),+1(43),-4,+1(22)
134,华中科技大学,华科附属幼儿园/137/E31,5,475,+1(16),+1(176),+4(145),-,-,-,-,-2,-,-4,+1(50),-2,+1(28)
135,国防科技大学,ALPC_Denominator/90/F43,5,476,+2(51),-2,+1(150),-,-,-,-,-,-,+1(104),+1(119),-1,+1(32)
136,厦门大学,厉害啊/253/F56,5,490,+1(13),+1(192),-,-,-,-,-,+2(120),-,-,+2(100),-8,+1(25)
137,东北大学,测试账号/54/B62,5,498,+1(27),+1(161),+2(198),-,-,-3,-,-,-,-7,+1(71),-1,+1(21)
138,北京航空航天大学,CE使我快乐/9/F22,5,499,+1(11),+1(208),-,+3(167),-,-,-,-,-,-2,+1(57),-1,+1(16)
139,浙江工业大学,ZJUT1/274/E36,5,517,+1(28),-4,+2(221),-,-,-,-,-,-,+1(119),+2(73),-3,+1(36)
140,浙江财经大学,新月光/262/C14,5,529,+1(14),-8,+1(231),-,-,-,-,-,-,-,+1(64),+1(198),+1(22)
141,北京化工大学,小红帽烤冷面/15/F62,5,535,+1(19),+1(122),+1(276),-,-,-,-,-,-,-1,+2(51),-,+2(27)
142,湖南大学,长脖子大恐龙队(女队)/121/F71,5,545,+1(20),-3,+1(199),-,-,-,-,-,-,+3(134),+1(118),-1,+1(34)
143,北京邮电大学,贪心的hmz/33/D13,5,550,+1(22),-3,+2(236),+1(170),-,-,-,-,-,-1,+1(70),-4,+1(32)
144,东北大学,手持两把锟斤拷，烫烫烫烫烫/57/A44,5,555,+1(26),-5,+4(222),-,-,-,-,-2,-,+1(120),+2(67),-,+2(20)
145,天津大学,TJU_Team09/222/E52,5,557,+1(23),+1(224),+1(200),-,-,-,-,-,-,-2,+2(70),-,+1(20)
146,西安电子科技大学,红衣/235/C62,5,568,+2(24),+1(187),-,-,-,-,-,-1,-,-2,+1(83),+2(196),+1(38)
147,南京邮电大学,阿比斯/171/B22,5,579,+1(22),-1,+2(262),-,-,-,-,-,-,+2(125),+1(75),-,+2(35)
148,华东师范大学,503粉丝队/125/E15,5,587,+1(12),+3(298),-,-,-,-,-,-,-,-2,+1(55),+3(119),+1(23)
149,东南大学,恩赐解脱/70/D54,5,603,+1(12),-5,+1(203),-,-,-,-,-,-,+5(230),+1(56),-8,+1(22)
150,长安大学,拿个牌回家过年/36/A103,5,605,+1(37),+3(268),+1(155),-,-,-,-,-,-,-3,+2(62),-4,+1(23)
151,山东理工大学,无尽的永恒/197/D94,5,622,+1(71),-11,+1(280),-,-,-,-,-,-,+1(151),+1(101),-2,+1(19)
152,大连理工大学软件学院,航天飞行器/49/F21,5,623,+1(21),-8,+1(243),-,-2,-,-,-,-1,-1,+1(58),+2(254),+1(27)
153,南京理工大学,椎名真白/167/D105,5,626,+1(19),+1(214),-5,-,-,-,-,-,-,+1(157),+5(105),-1,+2(31)
154,南京邮电大学,从零开始/173/A36,5,636,+1(40),-18,+2(104),-,-,-,-,-,-,+5(237),+2(99),-1,+1(36)
155,中国传媒大学,吃饭吧/291/E84,5,641,+1(15),-9,+1(277),-,-,-,-,-,-,-,+1(66),+3(221),+1(22)
156,北京理工大学,正在登录/24/C83,5,644,+1(11),+2(261),+3(231),-,-,-,-,-,-,-4,+1(57),-1,+1(24)
157,中国人民解放军战略支援部队信息工程大学,银翼杀手/312/F63,5,646,+2(40),-5,+1(246),-,-,-,-,-11,-,+3(176),+1(95),-1,+1(29)
158,南方科技大学,鹏程之南/155/A74,5,653,+1(20),+1(208),-,-,-,-6,-,-,-,-2,+1(67),+2(288),+2(30)
159,西安邮电大学,破晓/241/C45,5,655,+1(22),+1(284),-,-,-,-,-,-,-,-2,+1(81),+2(189),+2(39)
160,中国人民大学,南天王/310/A34,5,667,+2(58),+2(179),+2(269),-,-,-,-,-,-,-4,+1(90),-,+1(11)
161,青岛大学,吃我咸鱼突刺/184/D84,5,673,+2(30),-5,+2(240),-,-,-,-,-,-,+3(214),+2(69),-,+1(20)
162,西安交通大学,起队名的时候不打一架是不存在的/238/C54,5,677,+1(36),+1(233),+3(240),-,-,-,-,-1,-,-,+1(110),-,+1(18)
163,北京理工大学,学艺不精就是我/23/B12,5,681,+6(19),-7,+2(265),-,-,-,-,-1,-,+3(151),+1(54),-6,+1(32)
164,中国石油大学（华东）,子非鱼/316/D32,5,687,+1(20),+4(270),+1(244),-,-,-7,-,-,-,-1,+1(60),-4,+1(33)
165,山东理工大学,空之轨迹/196/C32,5,691,+4(58),-11,+2(204),-,-,-,-,-,-,+1(149),+3(111),-,+1(49)
166,东南大学,邻家女孩/71/C44,5,698,+2(50),+1(172),+1(297),-,-,-,-,-,-,-6,+1(82),-,+3(37)
167,浙江农林大学,布丁牛奶/281/E22,5,705,+3(34),-,+1(207),-,-,-,-,-,-,-2,+1(98),+2(257),+1(49)
168,四川大学,P5天下第一/216/E43,5,706,+1(21),+3(207),-,-,-,-,-,-,-,+5(249),+1(60),-,+2(29)
169,河南理工大学,星农/117/E55,5,714,+2(37),-,+1(162),-,-,-,-,-,-,-3,+2(103),+4(286),+1(26)
170,江南大学,代码强迫症/148/E76,5,731,+1(28),+1(238),-,-,-,-,-,-3,-,+3(274),+3(88),-,+1(23)
171,浙江大学城市学院,Paprika/269/C55,5,756,+2(22),-,+1(253),-,-,-,-,-,-,-4,+2(87),+6(233),+1(21)
171,西南科技大学,破釜沉舟/248/E35,5,756,+1(25),-,+1(242),-,-,-,-,-,-,-6,+1(96),+5(278),+1(35)
173,香港科技大学,萌萌哒鹿鹿/259/A83,5,765,+1(9),+1(260),-,-,-,+8(188),-,-,-,-2,+3(113),-3,+1(15)
174,西南石油大学,银翼/252/B83,5,771,+2(54),-1,+2(273),-,-,-,-,-,-,-3,+1(77),+4(245),+1(22)
175,南京理工大学,Free Loop/165/D43,5,780,+2(80),+2(196),+2(278),-,-,-3,-,-,-,-3,+2(125),-1,+1(21)
176,青岛大学,不要慌，问题不大/183/F15,5,804,+1(28),-,+4(268),-,-,-,-,-,-,+3(218),+2(120),-,+1(50)
177,长沙理工大学,小鱼水中游/41/B13,5,817,+3(48),-,+3(257),-,-,-,-,-,-,+1(248),+1(115),-10,+1(69)
178,浙江农林大学,翎羽世界第一软萌/283/F104,5,832,+2(62),-,+4(249),-,-,-,-,-,-,+3(217),+2(122),-7,+1(42)
179,南京林业大学,雷吉德夫/169/A73,5,903,+2(45),-4,+1(253),-,-,-,-,-,-,+7(290),+2(113),-7,+1(42)
180,陕西师范大学,广告位招租/200/C105,5,935,+1(43),-1,+2(251),-,-,-,-,-,-,+9(286),+2(65),-,+3(50)
181,浙江科技学院,这这这/277/E33,5,956,+1(114),-,+1(262),-,-,-,-,-,-,+4(242),+2(186),-2,+2(52)
182,福州大学,大吉大利/77/C21,4,262,+1(18),-6,-,-,-,-,-,-5,-,+4(120),+1(47),-,+1(17)
183,山东大学,我最喜欢妖刀姬啦/190/D76,4,263,+1(12),+1(140),-,-,-,-,-,-1,-,-6,+1(94),-4,+1(17)
184,中国矿业大学,新鲜毒奶/305/E94,4,279,+1(12),-,+1(189),-,-,-,-,-,-,-,+1(58),-7,+1(20)
185,华中师范大学,先有玮哥后有天/142/E45,4,281,+1(26),-,+1(102),-,-,-,-,-,-,-8,+1(68),-4,+3(45)
186,北京邮电大学,格雷科技/31/B25,4,296,+1(8),+1(196),-2,-,-,-,-,-,-,-4,+1(74),-,+1(18)
187,杭州师范大学,白/107/A105,4,304,+3(34),-3,+1(173),-,-,-,-,-,-,-2,+1(49),-,+1(8)
188,东北师范大学,绯色月下/62/A11,4,306,+1(14),-12,+1(209),-,-,-,-,-,-,-2,+1(62),-,+1(21)
189,浙江工业大学之江学院,无可奉告/276/C25,4,307,+2(24),-,-,-2,-,-,-,-1,-,+2(128),+1(96),-2,+1(19)
189,福建工程学院,迷路的指针/73/B23,4,307,+1(20),-,+2(177),-,-,-,-,-,-,-4,+1(59),-,+1(31)
191,常州大学,盐鱼/35/A32,4,313,+2(35),-1,+2(133),-,-,-2,-,-,-,-,+1(55),-6,+2(30)
192,同济大学,不忘初心/224/E81,4,324,+2(41),-,+1(120),-,-,-,-,-,-,-4,+1(76),-,+2(47)
193,浙江理工大学,牛吃草/280/A93,4,333,+1(22),+1(161),-,-,-,-,-,-,-,-,+2(97),-15,+1(33)
194,北京交通大学,火箭鸡/17/D63,4,343,+1(43),-6,-,-,-,-,-,-,-,+2(177),+1(82),-,+1(21)
195,河海大学,在这炸丸子正宗/111/C24,4,345,+1(21),-3,+1(235),-,-,-,-,-,-,-,+1(73),-8,+1(16)
196,吉林大学,哦哈喵/145/F45,4,347,+1(17),+1(244),-1,-,-,-,-,-,-,-,+1(58),-2,+1(28)
197,苏州大学,神奇海螺/218/D36,4,355,+1(12),+1(247),-,-,-,-,-,-,-,-3,+1(66),-6,+1(30)
198,哈尔滨理工大学,哈理工18队/99/B34,4,358,+1(42),+1(219),-,-,-,-,-,-,-,-2,+1(75),-,+1(22)
199,武汉科技大学,黑化肥挥发会发灰/232/A62,4,373,+1(10),-1,+3(242),-,-,-,-,-,-,-11,+1(65),-7,+1(16)
200,深圳大学,灰烬使者/214/B53,4,377,+1(33),-,+1(237),-,-,-,-,-,-,-10,+1(69),-,+1(38)
200,中国矿业大学,熊本熊X起司猫/306/B56,4,377,+2(25),-1,+2(223),-,-,-,-,-,-,-9,+1(58),-3,+1(31)
202,华东理工大学,去月球/124/A41,4,380,+1(35),-,-,-,-,-,-,-8,-,+2(226),+1(88),-1,+1(11)
203,广东工业大学,容我三思/86/B15,4,384,+1(20),-,+1(239),-,-,-,-,-,-,-8,+1(83),-,+1(42)
204,长沙理工大学,乌鸦坐飞机/40/D24,4,388,+1(13),+3(200),-3,-,-,-,-,-,-,-5,+2(87),-7,+1(28)
205,山东理工大学,So hard so brilliant/195/D52,4,391,+1(24),+1(251),-,-,-,-,-,-,-,-7,+1(86),-,+1(30)
205,合肥工业大学宣城校区,以下队伍均未获奖/108/C11,4,391,+1(20),-,-,-,-,-,-,-1,-,+5(149),+3(75),-10,+1(27)
207,山东理工大学,鶸鰔/198/B41,4,402,+2(41),-3,+1(248),-,-,-,-,-,-,-1,+1(69),-,+1(24)
207,西安电子科技大学,可读可写不可执行/236/E14,4,402,+2(16),-3,-,-,-,-,-,-2,-,+2(236),+1(83),-,+1(27)
