Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,清华大学,一路向北,10,1242,+1(33),+3(191),+1(85),+1(15),-6,+3(168),+3(87),+1(33),-,+1(128),+1(85),-,+4(237),47%,Gold,周航锐,唐绍轩,许庭强,N,N
2,2,北京大学,摆烂人,10,1277,+1(135),-,+2(128),+1(5),-,+1(69),+2(33),+1(12),-3,+2(108),+1(114),+2(266),+3(287),37%,Gold,冯施源,彭博,钱易,N,N
3,,清华大学,world.search(you);,9,1425,+1(190),-2,+1(172),+1(8),-,+1(217),+7(144),+1(44),-,+4(164),+1(28),-,+1(278),50%,Gold,万成章,刘一平,张景行,N,N
4,,北京大学,思路打开,9,1592,+1(144),-,+1(64),+1(3),-,+17(296),+2(87),+6(52),-,+1(121),+1(106),-,+2(259),71%,Gold,张致,朱剑枫,管晏如,N,N
5,3,北京理工大学,ddl战神,7,1017,+1(102),-2,+4(232),+1(11),-,-,+1(115),+1(33),-,+1(204),+1(260),-,-,30%,Gold,朱子林,林恺,邹知秋,N,N
6,4,湖南大学,金色传说,7,1146,+1(273),-,+3(211),+2(11),-,-,+1(89),+1(27),-,+1(169),+3(266),-,-,41%,Gold,廖曙康,朱名扬,苏杰,N,N
7,5,北京交通大学,羊羊羊,7,1190,-1,-,+1(139),+1(14),-,+2(259),+3(106),+3(26),-,+5(194),+1(272),-,-2,56%,Gold,夏鹤鸣,斯修远,郭昱哲,N,N
8,6,华中科技大学,小鲤鱼历险记,6,703,+1(79),-1,+1(100),+1(12),-1,-1,+1(164),+1(35),-1,+3(273),-1,-1,-2,25%,Gold,俞仲遥,喻珈,李根,N,N
9,7,南京邮电大学,Cirtrus,6,742,-2,-,+1(165),+1(34),-,-,+3(227),+1(50),-,+2(82),+1(124),-,-,33%,Gold,何乐晗,赵一舟,陈以信,N,N
10,8,中山大学,中山大学_破晓之旅,6,755,+1(228),-,+1(129),+1(7),-,-,+2(124),+1(22),-,+2(205),-,-3,-,25%,Gold,刘志源,古鸣浩,赵肖睿,N,N
11,9,电子科技大学,UESTC_Host_WiFi,6,793,-,-,-6,+1(8),-,+2(262),+6(165),+1(27),-,+1(135),+1(76),-,-,50%,Gold,喻鹏云,朱铖昊,汪澄,N,N
12,10,武汉理工大学,机械降神,6,896,-3,-,+1(168),+1(8),-,-,+1(158),+4(50),-,+5(241),+1(131),-,-,53%,Gold,侯哲昊,朱振傲,闫卢昊,N,N
13,11,西安电子科技大学,喵喵喵,6,904,-2,-,+1(159),+1(5),-,-,+2(187),+1(18),-,+5(284),+2(131),-,-,50%,Silver,刘朝旭,张亲翰,罗杰,N,N
14,12,南京大学,After Image,6,1063,-,-,+3(225),+2(9),-,-,+2(253),+3(33),-,+3(216),+1(167),-,-,57%,Silver,丁天行,欧丰宁,陈昊洋,N,N
14,12,南开大学,强基计划我爱你,6,1063,-,-,+2(211),+1(15),-,+1(198),+2(273),+1(36),-,+3(250),-,-,-,40%,Silver,赵思远,车昱辉,郭军凯,N,N
16,14,浙江大学,Plenty of Penalty,6,1210,-,-,+2(111),+2(9),-,+3(266),+4(253),+1(23),-,+9(248),-1,-,-,71%,Silver,万弘,吴与伦,徐锐扬,N,N
17,15,杭州电子科技大学,Slayers Come,5,438,-,-,+1(158),+1(7),-,-,+2(119),+1(24),-,+3(70),-,-,-,37%,Silver,尹吴潇,戴志炜,赵政和,N,N
18,,清华大学,嗷呜呜,5,520,-,-,+2(155),+1(10),-,-,+1(96),+1(27),-,+2(192),-,-,-,28%,Silver,文语乐,秦非冉,蔡欣然,N,N
19,16,上海交通大学,柳,5,586,-,-,+2(104),+1(6),-,-,+2(145),+1(23),-,+3(228),-,-,-,44%,Silver,叶瑶琦,姜天乐,王照梓,N,N
20,,华中科技大学,双爸扶,5,603,-,-,+3(150),+1(8),-,-,+1(88),+2(55),-,+2(222),-,-,-,44%,Silver,杨治,汪文卓,金城根,N,N
21,17,中国科学院大学,果壳挂科王,5,617,+1(148),-1,+1(204),+1(6),-,-,+3(185),+1(34),-,-5,-,-1,-,28%,Silver,徐步骥,徐致远,蓝天朗,N,N
22,18,复旦大学,有密码,5,625,-1,-,+3(226),+1(10),-,-,+1(165),+2(51),-,+2(93),-1,-,-,44%,Silver,刘皓蓝,陈可汗,马成,N,N
23,19,吉林大学,Nan 上加 Nan,5,667,-,-,+2(177),+1(9),-,-,+2(122),+1(23),-,+4(236),-,-,-,50%,Silver,周宇恒,方涵斌,李祯浩,N,N
24,20,同济大学,本来挺喜欢ACM的,5,670,-,-,+6(221),+1(7),-,-,+4(102),+1(40),-,+2(120),-,-,-,64%,Silver,刘依扬,孙治弘,尤鹤臻,N,N
25,21,南京航空航天大学,错误,5,678,-,-,+1(161),+2(9),-,-,+1(72),+3(34),-,+9(182),-,-1,-,68%,Silver,吕俊琪,胡昊天,赵乐坤,N,N
26,22,国防科技大学,自然选择号,5,687,-,-,+1(107),+2(30),-,-,+1(114),+2(66),-,+4(270),-1,-,-,50%,Silver,亢世嘉,吴佳英,王子恒,N,N
27,,杭州电子科技大学,对称起源,5,714,-,-,+3(247),+1(3),-,+2(90),-6,+2(54),-,+3(200),-,-,-,54%,Silver,何卓锟,马文浩,黄光升,N,N
28,,上海交通大学,银色子弹,5,717,-,+1(243),+4(157),+1(9),-,-,-1,+2(31),-,-6,+1(197),-,-,44%,Silver,戚洋,江若泓,陈则佳,N,N
29,23,浙江工业大学,ZJUT1,5,745,+1(275),-,+1(192),+1(8),-,-,-1,+2(32),-,+5(138),-,-,-,50%,Silver,李汶芝,陆徐豪,陈泓睿,N,N
30,24,广东工业大学,绿豆沙,5,764,-,-,+1(265),+1(10),-,-,+4(242),+1(20),-,+2(147),-,-,-,44%,Silver,杨子弘,林俊耿,肖能翔,N,N
30,24,东北大学秦皇岛分校,小饼卷大葱,5,764,-8,-,+1(182),+1(9),-,-,+3(194),+1(30),-,+2(289),-1,-,-,37%,Silver,司伟业,李不凡,董淑睿,N,N
32,26,北京师范大学,苹果狗,5,820,-,-,+1(162),+1(9),-,-,+3(204),+2(38),-,+4(287),-,-,-,54%,Silver,徐若翔,王儒斌,陈志锐,N,N
33,27,苏州大学,Ariadne,5,821,-,-,+1(189),+1(9),-,-,+3(180),+1(28),-,+5(295),-,-,-,54%,Silver,周骁逸,王宇轩,韩则进,N,N
34,28,东北大学,东北大学_天狐座,5,835,-,-,+2(163),+1(7),-,-,-6,+2(22),-,+5(234),+2(269),-,-,58%,Silver,徐越昊,苏焜,陈少皇,N,N
35,29,南方科技大学,我都写程序了你就让让我吧,5,842,-,-,+2(119),+2(13),-,-,+2(164),+1(123),-,+5(283),-,-,-,58%,Silver,李连馨,王紫漩,钟雨薇,N,N
36,30,四川大学,难题肉搏小队,5,848,-,-,+3(271),+1(10),-,-,+5(257),+1(19),-,+3(131),-,-,-,61%,Silver,李名骕,杨轶涵,苏臻,N,N
37,31,西南交通大学,公主殿下护卫队,5,866,-,-,+4(297),+2(20),-,-,+1(147),+1(44),-,+2(258),-,-,-,50%,Bronze,毛锦阳,郭欣森,陈凯南,N,N
38,32,厦门大学,点分治分点,5,889,-,-,+1(200),+1(3),-,-,+8(273),+3(58),-,+2(155),-,-,-,66%,Bronze,周正,徐铭逸,邹品聪,N,N
