Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,重生之我是菜狗,10,1005,+1(78),-8,+1(17),+1(95),+2(242),+1(87),+1(26),-,+1(20),-,+2(172),+2(106),+2(82),28%,Gold,王展鹏,蒋凌宇,罗煜翔,N,N
2,2,清华大学,有手有脚,10,1080,+1(81),-1,+3(46),+1(131),+2(249),+3(66),+1(29),-,+1(9),-,+2(160),+2(47),+1(122),41%,Gold,罗恺,陈于思,杨珖,N,N
3,3,浙江大学,十发罚时,9,1067,+1(56),-,+2(34),+1(224),-,+1(40),+3(72),-,+1(10),-,+4(270),+1(89),+2(132),43%,Gold,吴与伦,徐锐扬,万弘,N,N
4,4,南京邮电大学,Cirtrus,9,1102,+1(42),-,+1(61),+2(109),+1(284),+2(139),+1(12),-,+1(23),-,-,+1(173),+1(219),18%,Gold,何乐晗,陈以信,赵一舟,N,N
5,,清华大学,顶针的约克5,9,1268,+1(144),-2,+2(96),+1(74),+1(256),+2(115),+2(69),-,+2(11),-,-4,+4(163),+2(180),47%,Gold,顾万钧,肖云帆,荆国浩,N,N
6,,清华大学,JSOI 摸鱼队,8,836,+1(69),-27,+1(15),-,-,+3(76),+1(29),-,+1(8),-,+3(275),+2(127),+2(117),42%,Gold,张庭瑞,孙若凡,袁浩天,N,N
7,5,北京航空航天大学,不可计算,8,885,+1(46),-,+1(52),-1,-,+1(68),+1(19),-,+1(11),-,+3(245),+2(206),+2(158),33%,Gold,吴湛宇,权尚浩然,王宇龙,N,N
8,6,东北大学,东北大学_天狐座,8,908,+1(111),-,+1(38),+1(235),-,+2(69),+1(30),-,+1(13),-,-2,+1(168),+3(184),27%,Gold,陈少皇,徐越昊,苏焜,N,N
9,,浙江大学,星尘幻想,8,939,+1(138),-4,+3(86),-1,-,+2(99),+2(34),-,+1(12),-,+3(268),+1(121),+1(61),42%,Gold,林滨,李克成,谭思成,N,N
10,7,西北工业大学,偏爱,8,959,+3(125),-,+1(21),+1(263),-,+2(119),+2(22),-,+1(17),-,-,+3(82),+2(170),46%,Gold,李天舒,徐浩洋,池久涛,N,N
