Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,赤橙黄绿蓝紫,11,1221,+1(160),+1(75),-,+1(39),+1(23),+1(239),+3(82),+1(54),+1(102),+1(6),-12,+7(191),+1(90),42%,Gold,蒋凌宇,钱易,徐安矣,N,N
2,,北京大学,呆呆鸟,11,1599,+1(180),+1(100),+5(272),+1(97),+1(60),+2(196),+5(187),+2(129),+2(56),+1(5),-,-13,+2(77),52%,Gold,王蔚澄,王相文,李羿辰,N,N
3,,北京大学,雪月花,8,962,-1,+2(61),-,+1(59),+3(28),-,+3(159),+1(180),+2(213),+1(8),-,-,+4(74),52%,Gold,施开成,李嘉佑,孙睿泽,N,N
4,,北京大学,DINNER123,8,1047,-,+3(100),-,+1(54),+1(47),-,+2(164),+1(197),+1(221),+1(7),-,-3,+2(177),33%,Gold,李可,陈佳梁,王浩清,N,N
5,2,中山大学,中山大学_破晓之旅,8,1076,-1,+1(129),-,+1(91),+1(48),-,+3(149),+1(250),+1(282),+1(6),-1,-1,+2(61),27%,Gold,赵肖睿,刘志源,古鸣浩,N,N
6,3,中南大学,电子界探寻者,8,1130,-,+1(177),-,+1(65),+1(43),-,+1(106),+1(246),+2(293),+1(8),-,-,+2(152),20%,Gold,江天运,易光廷,周湘予,N,N
7,4,中国科学技术大学,前社长想公费旅游于是被两位巨佬带飞,8,1203,-,+2(90),-,+1(48),+1(39),-,+4(166),+3(208),+4(266),+1(7),-,-,+3(159),57%,Gold,孙志浩,阎昶澍,梁嘉文,N,N
8,5,北京交通大学,羊羊羊,8,1207,-,+1(180),-,+1(85),+1(74),-,+2(106),+3(296),+2(221),+1(5),-,-,+2(140),38%,Gold,郭昱哲,夏鹤鸣,斯修远,N,N
9,6,上海交通大学,夏日影,8,1321,-,+3(115),-,+1(69),+1(52),-,+9(293),+3(160),+1(257),+1(6),-,-,+3(89),63%,Gold,冯启豫,刘家宁,朱泽木,N,N
10,7,北京航空航天大学,紫罗兰,8,1564,-,+2(138),-,+1(241),+1(30),-,+6(265),+4(204),+2(259),+1(8),-,-,+1(219),55%,Gold,王大禹,董和军,蒋槟阳,N,N
11,8,浙江大学,来生,7,566,-,+2(86),-5,+1(62),+1(64),-,+2(43),-8,+1(153),+1(6),-,-,+2(92),30%,Gold,彭博,严子轩,张湫阳,N,N
12,9,北京理工大学,越野,7,1039,-,-6,-,+1(70),+2(109),-,+5(212),+1(276),+1(193),+1(10),-,-,+2(49),46%,Gold,邹知秋,于瀚文,廖嘉琦,N,N
13,10,南京大学,手气王定的,7,1044,-,+3(115),-,+1(79),+1(72),-,+2(249),-1,+2(154),+1(4),-,-,+4(231),50%,Gold,张瑞珉,周宇曦,朱羽宽,N,N
14,,浙江大学,普罗旺斯,7,1112,-,+7(243),-,+1(82),+1(43),-,+3(221),-,+1(198),+1(9),-,-,+2(136),56%,Gold,潘伦可,黄钰,邹宇涵,N,N
15,11,厦门大学,闪光春日影,7,1369,-,+5(295),-,+2(96),+2(69),-,+8(297),-,+1(81),+2(20),-,-,+4(171),70%,Gold,邹品聪,栾英石,陈朱迪,N,N
16,12,四川大学,难题逆转小队,6,663,-,+2(135),-,+1(83),+1(43),-,+3(141),-,-,+1(6),-,-,+2(175),40%,Gold,李名骕,杨轶涵,黄云垄,N,N
17,13,华东师范大学,Spa1+6dow Bl4ckfan-club,6,670,-,+2(133),-,+2(91),+1(60),-,+1(177),-1,-1,+2(9),-,-,+1(140),33%,Gold,谢书骁,程籽实,汪鼎尊,N,N
18,14,中国人民大学,森林冰火人,6,737,-1,+1(126),-1,+1(108),+1(81),-1,+1(213),-1,-,+1(6),-,-,+3(163),25%,Gold,任秦江,林志诚,林梓楠,N,N
19,15,复旦大学,密码八个八,6,786,-,+4(122),-,+1(78),+1(68),-,-5,-4,+3(262),+1(10),-,-,+1(146),45%,Gold,陈禹卓,杜泊谷,曾添琪,N,N
20,16,电子科技大学,UESTC_在理工学校想邂逅文学学姐搞错了什么,6,789,-1,+1(47),-1,+1(151),+1(106),-,+4(266),-,-,+1(7),-,-,+2(132),40%,Gold,梁育诚,冉泽宇,陈治臻,N,N
21,17,南开大学,强基计划我爱你,6,815,-,+2(90),-,+1(64),+1(47),-,+4(224),-2,-,+3(66),-,-,+2(184),53%,Gold,郭军凯,赵思远,车昱辉,N,N
22,,复旦大学,怎么表达都可以,6,836,-,+2(121),-,+1(68),+1(31),-,+4(271),-,-,+1(6),-,-,+2(239),45%,Gold,曲泽阳,房天乐,谢志得,N,N
23,,南京大学,智慧之树,6,864,-,+2(125),-,+1(47),+2(131),-,+4(231),-5,-,+1(5),-,-,+2(205),50%,Gold,金昕炜,陈新,李睿星,N,N
24,,浙江大学,雪花倾诉之时,6,878,-,+3(63),-,+1(52),+1(82),-,+6(205),-6,-,+1(9),-,-,+4(267),62%,Gold,徐敏睿,靳鹏举,朱天煜,N,N
25,18,西安交通大学,正在评测中,6,880,-,+1(156),-1,+1(108),+1(75),-,+3(238),-,-,+1(13),-1,-,+3(210),40%,Gold,吴夏天,王博想,邱宇成,N,N
26,,复旦大学,关注 Hydro 谢谢喵,6,885,-,+1(154),-,+2(74),+1(114),-,+3(205),-1,-,+1(5),-,-,+2(253),40%,Gold,陈佳鹏,徐子恩,于文阔,N,N
27,19,哈尔滨工业大学,w4p3r Black-fan Club,6,896,-,+3(153),-,+1(82),+1(115),-,-8,+3(272),-,+2(4),-,-,+1(170),45%,Gold,杜沛键,谢书泱,邱思宇,N,N
28,20,华中科技大学,武汉希区柯克亲手操办邹知秋退役仪式,6,907,-,+4(181),-,+1(82),+2(66),-,-3,+5(284),-,+1(9),-,-,+2(105),60%,Gold,刘兆硕,麦骏,俞仲遥,N,N
29,21,杭州电子科技大学,杭电3队,6,925,-,+2(111),-,+1(104),+1(66),-,+6(291),-,-,+1(7),-,-,+4(166),60%,Gold,闻人雨泽,周靖凯,傅景康,N,N
30,,电子科技大学,UESTC_篝月明火,6,928,-,+2(59),-,+1(96),+1(61),-,-5,+1(162),-,+1(11),-,-,+12(299),66%,Gold,陈奕可,汪澄,彭帅康,N,N
31,22,上海大学,献给XCPC的一年之诗,6,954,-,+1(155),-,+1(110),+1(141),-,+2(103),-,-,+1(8),-10,-,+8(277),57%,Silver,房辰燏,潘铧超,周子竣,N,N
32,,中山大学,中山大学_开拓之尾,6,957,-,+3(195),-,+1(107),+1(59),-,+2(281),-,-,+1(8),-,-,+4(187),50%,Silver,黄秋铭,韩冠东,陈峻宇,N,N
33,23,北京师范大学,苹果狗,6,1034,-,+1(99),-,+1(73),+2(97),-,+8(297),-,-1,+1(7),-,-,+6(201),68%,Silver,陈志锐,徐若翔,王儒斌,N,N
34,,中国科学技术大学,摸鱼之魂终将归来,6,1075,-,+2(173),-,+1(123),+2(73),-,-4,+6(277),-,+1(9),-,-,+4(220),62%,Silver,温家睿,林度,陈凌峰,N,N
35,,中国科学技术大学,Ben 神，启动,6,1090,-,+1(227),-,+1(94),+2(73),-,+8(279),-,-8,+1(10),-,-,+3(207),62%,Silver,陈聆祎,陈骆鑫,樊澄宇,N,N
36,24,湘潭大学,海之霸,6,1149,-,+2(275),-,+1(79),+1(66),-,+6(258),-,-,+1(9),-,-,+6(242),64%,Silver,魏志高,程书涵,李子熙,N,N
37,25,中国科学院大学,Chirp-Z变换,6,1179,-,+3(228),-,+1(172),+1(192),-,+2(248),-,-,+1(6),-,-,+1(273),33%,Silver,林海昊,朱奕杰,聂泽锴,N,N
38,,北京航空航天大学,会挽雕弓如满月,6,1186,-,+3(104),-,+1(170),+4(143),-,+4(250),-,-,+2(11),-,-,+3(288),64%,Silver,傅可树,马一,梁钧著,N,N
