Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J
1,清华大学,Champion dls did not run,10,1779,+1(10),+3(80),+1(175),+2(67),+5(183),+3(292),+1(277),+1(205),+1(49),+2(241)
2,金策工业综合大学,KUT_Team,9,1756,+1(12),+7(108),+1(192),+2(66),-2,+8(262),+1(128),+1(158),+4(284),+3(166)
3,浙江大学,Reconquista,8,1105,+1(13),+2(60),-,+2(93),-,+1(143),+3(291),+1(127),+1(75),+1(223)
4,上海交通大学,Manual/Intelligence,7,629,+1(11),+3(39),+2(189),+1(38),-,-,-4,+1(86),+1(64),+1(142)
5,华南理工大学,I have a classmate named Lanling,5,428,+1(21),+1(63),-,+1(47),-,-,-,+1(150),+3(107),-
6,浙江大学,Helianthus,5,522,+2(18),+2(54),-,+5(104),-,-,-,+1(128),+1(98),-4
7,西安交通大学,csfnb,5,565,+1(31),+1(63),-,+1(80),-,-,-,+1(136),+3(215),-
8,同济大学,Konjac of Tongji,5,570,+1(24),+4(93),-,+2(32),-,-,-1,+1(267),+1(74),-
9,清华大学,Star Burst Stream,5,579,+1(16),+5(129),-,+2(65),-,-,-3,+1(206),+2(43),-2
10,电子科技大学,UESTC_SET,5,598,+1(25),+3(119),-,+1(172),-,-,-,+2(150),+2(52),-5
11,中国科学院大学,behavior simulation,5,665,+1(14),+2(199),-,+2(111),-,-,-,+1(251),+1(50),-1
12,大连理工大学,Thesedays,5,754,+1(20),+3(171),-,+4(112),-,-,-,+1(222),+1(129),-
13,复旦大学,Lancelot,5,774,+1(13),+6(88),-,+1(147),-,-,-6,+2(70),+6(236),-4
14,清华大学,AC offline RE online,5,786,+2(25),-13,-,+4(155),-,-,-,+1(140),+1(113),+3(233)
15,南京大学,I love zsc forever,5,812,+5(18),+2(94),-,+1(107),-,-,-,+6(264),+1(129),-
16,北京航空航天大学,ForTheDream,5,831,+1(41),+1(133),-,+4(147),-,-,-,+1(190),+2(240),-2
17,哈尔滨工业大学（威海）,The Firmament,5,836,+1(10),+2(61),-,+1(222),-,-,-,+2(288),+3(175),-
18,中山大学,SYSU_navigator,5,861,+1(34),+7(166),-,+3(125),-,-,-,+1(257),+1(119),-7
19,中山大学,SYSU_AsWeCan,5,890,+1(12),+6(254),-,+1(87),-,-,-,+1(214),+4(163),-
20,哈尔滨工程大学,Light_Kiss,5,898,+2(52),+4(284),-,+2(124),-,-,-,+1(218),+1(120),-8
21,上海交通大学,Platelet,5,911,+2(10),+7(120),-,+3(114),-,-,-,+1(286),+3(161),-4
22,东南大学,clw,5,929,+1(61),+6(282),-,+1(86),-,-,-,+1(252),+1(148),-
23,哈尔滨工业大学,Sunset Glow,5,934,+1(25),+10(204),-,+1(92),-,-,-,+3(236),+2(137),-
24,华东师范大学,One Two Three AK,5,1039,+3(56),+2(205),-11,+2(116),-,-,-,+1(288),+4(234),-
25,复旦大学,moralless men,5,1064,+2(14),+8(250),-,+1(95),-,-2,-,+1(243),+5(222),-
26,中国科学院大学,yyy,5,1195,+1(35),+5(233),-,+5(129),-,-,-,+1(296),+6(242),-
27,西安交通大学,Chaos,4,498,+3(32),+5(156),-,+2(96),-,-,-,-,+1(74),-
28,华东理工大学,blackwater team,4,529,+1(49),+3(52),-,+4(233),-,-,-,-,+1(95),-
29,广东工业大学,AOBO,4,569,+1(25),+2(171),-,+1(76),-,-,-,-,+2(257),-
30,中国科学技术大学,USTC_8,4,592,+1(23),+4(238),-,+1(79),-,-,-,-2,+1(192),-
31,武汉大学,memory leak,4,614,+1(37),+2(111),-,+2(160),-,-,-,-,+3(226),-
32,浙江大学宁波理工学院,aveFunny,4,617,+1(13),+2(112),-,+1(165),-,-,-,+2(287),-9,-
33,中国人民大学,NO B-Trees in our Hearts,4,624,+1(37),+3(160),-,+4(208),-,-,-,-,+3(79),-
34,中山大学,SYSU_BeatLandLord,4,637,+3(27),+6(207),-,+1(36),-,-,-,-,+5(147),-
35,哈尔滨工业大学,AcceptedByFate,4,642,+1(41),+5(165),-,+2(130),-,-,-,-,+1(206),-
36,上海大学,Dream Team,4,669,+1(38),+3(142),-2,+3(92),-,-,-,-,+3(277),-
37,河海大学,zzzwzzz,4,695,+1(16),+2(75),-,+2(283),-,-,-,-,+3(241),-
38,浙江大学,Sample_Text,4,701,+3(25),+6(162),-,+2(103),-,-,-,-,+1(251),-
38,南京工业大学,Biznaguita,4,701,+2(74),+3(269),-,+1(117),-,-,-,-,+2(161),-
40,东南大学,rocket girls 707's wrong answer machine,4,704,+1(32),+2(110),-,+1(231),-,-,-,-10,+2(291),-
41,南京邮电大学,NJUPT_EatWhater,4,707,+2(35),+2(280),-,+1(180),-,-,-,-,+3(132),-
42,东华大学,0x3f3f3f3f,4,709,+2(24),+1(165),-,+2(190),-,-,-,-,+2(270),-
43,北京邮电大学,0xCCCCCCCC,4,714,+1(21),+6(192),-,+1(235),-,-,-,-,+3(126),-
44,中南大学,what will we eat after going to beijing?,4,742,+2(17),+4(194),-,+3(99),-,-,-,-,+3(272),-
45,湖南中医药大学,HNUCM-Girls,4,746,+1(27),+1(167),-,+2(263),-,-,-,-,+2(249),-
46,浙江工业大学,WelcometoZJKT,4,750,+1(19),+3(129),-,-3,-,-,-,+1(169),+6(293),-
47,杭州电子科技大学,HDU-Team8,4,784,+1(30),+7(209),-,+5(144),-,-,-,-,+1(201),-
48,福州大学,Makise Kurisu,4,803,+1(22),+3(216),-,+5(298),-,-,-,-1,+2(127),-
49,浙江大学城市学院,FineFineFine,4,826,+4(46),+3(236),-,+3(123),-,-,-,-,+1(281),-
50,浙江工业大学,ZJUT9,4,837,+2(32),+6(162),-,+1(224),-,-,-,-,+2(279),-
51,中国地质大学（武汉）,Zero-knowledge Proof,4,844,+2(57),+3(276),-,+2(218),-,-,-,-,+2(193),-
52,华东师范大学,green vegetables,4,869,+2(36),+6(297),-,+2(177),-,-,-,-7,+1(219),-
53,福州大学,RedSorghum,4,874,+1(24),+4(130),-,+4(290),-,-,-,-5,+4(250),-
54,山东理工大学,AC bigbang,4,900,+1(20),+9(294),-,+1(203),-,-,-,-,+3(183),-
55,西安电子科技大学,sublimation,4,1103,+2(35),+14(269),-9,+3(211),-,-,-,-,+2(248),-
56,杭州电子科技大学,HDU-Orange,4,1113,+5(32),+2(177),-1,+1(185),-,-,-,-,+17(299),-
57,四川大学,Naive,3,257,+2(26),+2(123),-,-2,-,-,-,-,+1(68),-
58,北京理工大学,social peppa,3,287,+1(42),-10,-,+3(172),-,-,-,-,+1(33),-
59,太原理工大学,HairLoveMe,3,292,+1(23),-10,-,+1(95),-,-,-,-,+1(174),-
60,香港科技大学,Beat Yiquan,3,306,+1(11),+2(80),-,+3(155),-,-,-,-,-4,-
61,北京航空航天大学,No CE in vegetable,3,325,+3(23),-11,-,+1(151),-,-1,-,-,+1(111),-
62,北京交通大学,Wrong Answer,3,328,+1(26),+3(189),-,+1(73),-,-,-,-,-4,-
63,南京航空航天大学,I will practise ACM tomorrow,3,342,+1(36),-10,-,+3(128),-,-,-,-,+1(138),-
64,电子科技大学,UESTC_Mole,3,359,+2(26),-1,-,+1(83),-,-,-,-,+3(190),-
65,浙江中医药大学,ZCMU-PK1,3,371,+1(30),+2(115),-,-6,-,-,-,-,+3(166),-
66,北京师范大学,vegetable zmr,3,381,+1(28),-6,-1,+4(165),-,-,-6,-,+1(128),-
