Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
168,贵州大学,我永远喜欢珂朵莉 (I_Always_Love_Chtholly.jpg ),4,343,+1(4),,,,,+1(26),,,-1,+1(177),,+1(136),
169,香港城市大学,Omoshiroi (Omoshiroi ),4,347,+1(12),,,-1,,+3(79),,,+1(83),+1(133),,-3,-1
170,南阳理工学院,想队名需要灵感 (The original inspiration ),4,359,+1(7),,,,,+1(26),,,-1,+3(159),,+1(127),
171,华中农业大学,幸运星 (LuckyStars ),4,360,+1(1),,,,-1,+1(19),,,-1,+1(77),,+4(203),-1
172,中国科学技术大学,萌萌哒鹿鹿 (Lovely Luna_ ),4,362,+1(9),,,,,+1(21),,-3,+2(189),+2(103),,,
173,暨南大学,断主还是断副 (CaiCai ),4,374,+1(5),,,,,+1(72),,,,+1(99),,+1(198),
174,华南理工大学,两位大佬多带带小弟我 (two bigold carry small brother ),4,388,+1(0),,,,,+1(19),,,,+2(155),,+1(194),
175,河南大学,届不到的AC (An AC that cannot reach ),4,389,+1(2),,,,,+1(21),,-1,+1(229),+2(117),,-1,-3
176,郑州大学,QQ小冰 (QQsmall_ice_ate_chicken ),4,406,+1(7),,,,,+1(26),,,-4,+3(111),,+1(222),
177,广东财经大学,GDUFE_瓜皮瓜皮瓜 (GDUFE_Melon_Skin ),4,413,+1(9),,,,,+2(20),,,,+2(100),,+3(204),
178,南京航空航天大学,争取废鱼变咸鱼 (raw fish -> salted fish ),4,416,+1(3),,,,,+2(21),,-2,,+1(154),,+1(218),-1
179,西南民族大学,一切都是瞬息 (ALL_is_fleeting ),4,430,+1(7),,,,,+1(51),,,-1,+1(179),,+2(173),
180,北京师范大学珠海分校,I AM FINE (I AM FINE ),4,438,+1(1),,,,,+1(25),,,-2,+2(106),,+1(286),
181,上海大学,问潘大佬 (Ask dannieying ),4,455,+1(0),,,,,+1(33),,,-2,+4(154),,+6(108),-2
182,东北大学,三只更咸的咸鱼 (Three saltier fish ),4,456,+1(1),,,,,+1(30),,,+1(283),+1(142),,,-1
183,西安交通大学,核动力滚筒AC机 (Nuclear Platen AC Automaton ),4,473,+1(19),,,,,+2(27),,+2(292),,+2(75),,-1,-1
184,东北大学,蜗牛 (Turbo ),4,475,+1(1),,,,-2,+1(27),,-4,,+6(179),,+1(168),-1
185,天津工业大学,看不懂不可做下一题 (we can\'t AC ),4,477,+1(7),,,,,+1(26),,,-2,+3(150),,+1(254),
186,杭州电子科技大学,HDU-SisterCon (HDU-SisterCon ),4,479,+1(1),,,,,+2(24),,,,+5(146),,+1(208),-2
186,陕西师范大学,预留座位 (Newbie ),4,479,+1(3),,,,-4,+1(27),,,-2,+6(254),,+1(95),
188,广西民族大学,民大一队 (GXUN_1_team ),4,501,+1(25),,,,,+3(135),,,+1(181),+1(120),,-5,
189,西南民族大学,莫名我就喜欢你 (Luckily ),4,504,+1(9),,,,,+1(99),,,+1(262),+3(94),,-2,
189,广东东软学院,拿铁膜法师 (Master Of Latte ),4,504,+1(7),,,,,+1(27),,,,+3(272),,+2(138),
191,合肥工业大学宣城校区,膜多了一个 (emmmmmmm ),4,589,+2(11),,,,,+2(101),,-2,,+3(164),,+1(233),
192,华南师范大学,最后一次调试 (The Last Debug ),4,623,+1(9),,,,,+6(145),,,,+5(71),,+2(198),-6
193,山东师范大学,结束亦是开始 (SDNU_End and Begin ),3,83,+1(4),,,,,+1(20),,,,+1(59),,,
