Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
80,西安交通大学,说学逗唱 (SpeakStudyStaySing ),6,674,+1(6),,,,-7,+2(22),,+2(191),+5(248),+2(50),,+1(17),-2
81,东南大学,蒟蒻 (Amorphophallus konjac ),6,680,+1(0),,,,+1(205),+1(34),,+1(145),+1(207),+1(89),,,
82,江南大学,代码强迫症 (codeforces ),6,689,+1(1),,,,,+2(34),,+3(231),+1(83),+1(72),,+2(188),-4
83,桂林电子科技大学,尧山妖风 (Crazy_wind ),6,690,+1(0),,,,,+1(40),,+1(215),+2(235),+2(99),,+1(61),-1
84,广州大学,原初之火 (Aestus Estus ),6,691,+1(4),,,,,+1(19),,+4(245),+1(143),+3(57),,+1(123),-4
85,山东大学,托马斯之歌 (Thomas ),6,693,+1(5),,,,-4,+2(30),,,+1(160),+3(86),,+1(191),+1(161)
85,南京理工大学,Free Loop (Free Loop ),6,693,+1(2),,,,+1(296),+1(13),,-2,+1(191),+2(66),,+1(105),-5
87,北京交通大学,幻夜 (return 233; ),6,702,+1(3),,,,,+1(22),,+2(232),+2(168),+2(80),,+2(117),-4
88,西安交通大学,面真烫烫烫烫烫 (int mian ),6,708,+1(0),,,,,+2(25),,+2(255),+1(141),+1(89),,+1(158),
89,中国科学院大学,美好的每一天 (Metaphor ),6,723,+1(2),,,,+3(295),+1(45),,,+3(126),+1(65),,+1(110),-2
90,哈尔滨工程大学,我是为了你的熊 (for your bear ),6,730,+1(2),,,,,+2(18),,+8(275),+1(146),+1(39),,+1(90),-1
91,中国地质大学（北京）,556 (DFS-556 ),6,741,+1(0),,-1,,,+3(37),,+1(218),+1(183),+2(159),,+1(84),-4
92,南开大学,鹏 (Don\'t worry ),6,744,+1(1),,,,+3(268),+1(16),,-3,+1(143),+2(112),,+2(124),
93,南京理工大学,氢能源皮划艇 (Canoeing ),6,746,+1(0),,,,-1,+2(20),,+1(283),+1(174),+4(144),,+1(45),-2
94,武汉科技大学,黑化肥挥发会发灰 (ObjectNotFound ),6,748,+1(2),,,,-3,+1(15),,+1(236),+1(130),+3(69),,+3(216),-7
95,大连海事大学,好难呐 (NAN ),6,753,+1(11),,,,,+2(41),,-2,+1(289),+1(79),,+1(104),+1(209)
96,上海大学,狂交原谅色 (forgive her ),6,768,+1(7),,,,,+1(55),,+1(274),+2(189),+3(98),,-2,+1(85)
97,武汉大学,丝滑拿铁 (Smooth Latte ),6,769,+1(3),,,,,+1(37),,+1(245),+3(183),+4(90),-1,+1(111),-3
98,南京大学,听说名字长长的软壳才能涨的筛凝艾慕 (ShiningMM ),6,772,+1(3),,,,,+4(26),,+1(272),+1(168),+3(78),,+2(105),
99,东南大学,东南枝 (Southeast Blossom ),6,806,+1(3),,,,-2,+1(31),,+2(94),+4(197),+2(106),,+1(275),
100,南阳理工学院,决战 (Final Battle ),6,827,+2(4),,,,,+1(31),,,+1(233),+1(107),,+1(269),+1(163)
100,苏州大学,神奇海螺 (Magic Conch ),6,827,+1(1),,,,,+1(28),,+2(275),+1(202),+3(80),,+1(181),-2
102,浙江理工大学,牛吃草 (Cattle grazing ),6,829,+1(4),,,,,+1(9),,-30,+1(163),+1(45),,+1(89),+13(279)
102,青岛大学,主旋律 (tango ),6,829,+1(3),,,,,+1(5),,+6(288),+1(178),+3(66),,+2(129),-3
104,浙江工业大学之江学院,不看晕针 (NULL ),6,921,+1(0),,,,,+2(41),,+7(233),+1(249),+4(130),,+1(68),-8
105,苏州大学,卧槽是比尔海灵顿 (Billy Jean ),6,941,+1(3),,,,-2,+1(15),,+1(247),+1(192),+4(273),,+1(151),
106,湘潭大学,2到正无穷 (2 to infinite ),6,944,+1(1),,,,-7,+2(13),,+5(287),+2(298),+2(81),,+2(104),-1
107,广州大学,叫我过儿！ (Please accept me! ),6,962,+1(8),,,,,+1(48),,+3(298),+1(238),+2(82),,+3(188),
108,西南科技大学,大吉大利今晚吃鸡 (winner winner chicking diner ),6,1001,+1(3),,,,,+4(54),,+7(289),+1(210),+3(135),,+1(90),
109,浙江师范大学,随机 (Random ),5,234,+1(1),,,,,+1(9),,-1,+1(127),+1(29),,+1(68),-8
110,华东理工大学,星际玩家 (the blind ),5,278,+1(0),,,,-9,+1(18),,-1,-4,+1(61),,+2(89),+2(70)
111,吉林大学,天降正啊! (Justice rains from above ),5,326,+1(1),,,,,+2(30),,-9,+1(112),+1(85),,+1(78),-3
112,同济大学,怎么读都读不队 (Translation Service Error ),5,338,+1(3),,,,,+1(16),,-2,+1(147),+2(55),,+1(97),
113,南京邮电大学,哎呀我的锅 (NJUPT_Gugugu ),5,377,+1(0),,,,,+1(21),,-4,+2(146),+2(73),,+1(97),-1
114,重庆大学,好好训练别水群 (practice without bb ),5,380,+1(0),,,,-3,+1(22),,-17,+1(143),+2(74),,+1(121),
115,南京邮电大学,第一名到底有多强 (NJUPT_Goforfree ),5,381,+1(6),,,,,+1(18),,-4,+1(173),+2(51),,+1(113),-1
116,浙江大学,SomeTeamsNaive (SomeTeamsNaive ),5,402,+1(0),,,,,+1(9),,+2(180),-3,+2(119),,+1(54),-3
117,北京理工大学,北湖咸鱼 (salty fish in the north lake ),5,449,+1(8),,,,,+1(4),,-6,+1(159),+3(147),,+1(91),-4
118,南京工业大学,仙人掌 (Cactus ),5,475,+1(1),,,,-1,+2(50),,-2,+1(227),+1(77),,+1(100),
119,华南农业大学,从不 (SCAU_Never_AC ),5,476,+1(18),,,,,+1(13),,-9,+2(251),+2(64),,+1(90),-3
