Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
108,Huazhong University of Science & Technology,我想吃羊肉泡馍biangbiang面肉夹馍凉皮臊子面胡辣汤粉蒸肉饸饹面 (Eating Keyboard),4,484,-,-,-,+1(7),-,+3(87),-,-,+3(224),-,-,+3(46)
109,Fuzhou University,我希望这是一个幸运数字 (Team0338),4,486,-,-,-,+1(17),-,+1(118),-1,-,+1(188),-,-,+4(103)
110,South China University of Technology,不也挺好的吗 (Team382),4,489,-,-,-,+1(11),-,+5(189),-,-,+1(175),-1,-,+1(34)
111,Fujian University of Technology,"小弟弟,你怎么回事 (what's wrong with you,little brother)",4,497,-,-,-7,+1(13),-,+4(147),-,-,+1(185),-,-,+3(52)
111,Nanjing University,llIlIIlIll (llIlIIlIll),4,497,-,-,-,+1(12),-,+3(135),-,-,+2(233),-,-,+2(37)
113,South China Agricultural University,没人想队名 (SCAU_noname),4,498,-,-,-8,+2(10),-,+4(129),-,-,+1(166),-,-,+3(73)
114,Hong Kong University of Science and Technology,Rescue the Mushroom! (Rescue the Mushroom!),4,505,-1,-,-3,+1(9),-,+5(195),-,-,+2(125),-,-,+1(76)
115,University of Electronic Science and Technology of China,UESTC_SET (UESTC_SET),4,515,-,-,-18,+1(9),-,+5(155),-,-,+1(180),-,-,+4(31)
116,"Southeast University, China",三只老狗 (clw),4,519,-,-,-,+1(20),-,+6(123),-3,-,+3(159),-,-,+2(57)
117,Chongqing University of Posts and Telecommunications,记忆被篡改了 (Memories Off),4,524,-,-,-,+1(14),-,+1(137),-,-,+3(277),-,-,+1(56)
118,Beijing Jiaotong University,六百六十六 (six six six),4,529,-,-,-16,+1(14),-,+1(127),-,-,+6(254),-,-,+1(34)
119,Yantai University,2zZ乙 (a lot of snakes),4,535,-,-,-,+1(13),-,+4(165),-,-,+2(205),-,-,+2(52)
120,Central South University,繁樱之冬 (The winter of sakura),4,542,-,-,-,+1(36),-,+1(136),-,-,+2(267),-,-,+1(83)
121,Harbin Institute of Technology at Weihai,苍穹 (The Firmament),4,544,-,-,-,+1(12),-,+3(111),-,-,+3(253),-,-,+2(68)
122,Northwestern Polytechnical University,若风一指 (NPU_Lion's_F_of_RuoFeng),4,550,-,-,-6,+1(10),-,+2(83),-,-,+4(243),-1,-,+3(94)
123,Xiangtan University,完美谢幕 (XTU_ Perfect Ending),4,557,-,-,-,+1(15),-,+2(206),-,-,+1(182),-,-,+3(94)
123,National University of Defense Technology,ALPC_For_People (ALPC_For_People),4,557,-,-,-5,+1(10),-,+4(117),-,-,+2(232),-,-,+2(98)
125,Northwest University,带带鸡尾酒 (carry cocktail),4,561,-,-,-,+1(13),-,+3(184),-,-,+3(193),-,-,+3(51)
126,Xidian University,生鱼忧患死鱼安乐 (sudo rm -rf /),4,568,-,-,-13,+2(13),-,+1(202),-,-,+1(168),-,-,+5(85)
127,Nanjing University of Aeronautics and Astronautics,QAQ (QAQ),4,573,-,-,-,+1(17),-,+3(158),-,-,+3(247),-,-,+2(51)
128,Wenzhou University,阿尔法队 (WZU Alpha),4,575,-,-,-1,+1(11),-,+2(220),-,-,+5(93),-,-,+6(51)
129,Shandong University,送风口严禁遮挡 (shenmedongxi),4,591,-2,-,-2,+1(10),-,+4(166),-,-,+3(238),-,-,+2(57)
130,LanZhou University,咕咕咕 (GuGuGu),4,593,-,-,-41,+1(7),-,+5(224),-,-,+2(137),-,-,+3(85)
131,South China University of Technology,这是我们第四次来西安了 (I have a classmate named Lanling),4,602,-,-,-13,+1(11),-,+3(180),-,-,+3(263),-,-,+2(48)
132,Fuzhou University,复读机 (Replay),4,620,-,-,-,+1(14),-,+5(296),-,-,+1(172),-,-,+1(58)
