Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
249,University of Chinese Academy of Sciences,行为仿真 (behavior simulation),3,562,-,-,-,+1(7),-,+12(281),-1,-,-6,-,-,+2(34)
250,Huazhong Agricultural University,The 120th Anniversary Celebrates (The 120th Anniversary Celebrates),3,580,-,-,-,+1(19),-,+8(261),-,-,-1,-,-,+2(140)
251,Taizhou University,最大牛 (maximum cow),3,586,-2,-,-,+1(15),-,+5(282),-,-,-4,-,-,+6(109)
252,Xiamen University,三位一体 (Trinity),3,590,-,-,-11,+1(14),-,+5(291),-,-,-,-,-,+3(165)
253,Shandong University of Science and Technology,胜利号 (SKD9754 Victory),3,610,-,-,-,+1(17),-,+5(289),-,-,-,-,-,+5(144)
254,Hubei University of Technology,复仇者 (Revengers),3,621,-,-,-,+1(14),-,+3(173),-,-,-,-,-,+10(214)
255,Northeast Normal University,新三线程 (new Tri-Thread),3,628,-,-,-,+2(14),-,-7,-,-,+5(262),-,-,+6(152)
256,Wuhan University of Technology,北风 (Norw),3,630,-,-,-,+1(11),-,+4(240),-,-,-,-,-,+3(279)
257,Xi'an University of Posts and Telecommunications,糖糖真好吃 (I love Candy),3,634,-,-,-,+1(15),-,+14(289),-,-,-,-,-,+2(50)
258,North University of China,铁牌的诱惑 (Iron temptation),3,662,-,-,-,+1(10),-,+11(293),-,-,-1,-,-,+4(99)
259,Sichuan University,病名为菜 (Mr. Weaky),3,678,-,-,-,+1(12),-,+7(297),-,-,-9,-,-,+6(149)
260,Nanjing Tech University,白鸟 (Biznaguita),3,696,-,-,-,+2(14),-,-,-,-,+1(195),-,-,+11(267)
261,Guizhou University,华哥哥带我们飞 (hggdwmf),3,748,-,-,-4,+1(22),-,+2(291),-,-,-,-,-,+9(255)
262,Chang'an University,笑脸人 (East palace),3,758,-,-,-,+1(24),-,+3(287),-,-,-1,-,-,+8(267)
263,South China University of Technology,我在极光单词已经背了98天了 (Winter is Coming),2,63,-,-,-,+1(7),-,-,-,-,-1,-,-,+2(36)
264,Northeast Normal University,绯色月下 (Lunatic Moonlight),2,66,-,-,-,+1(13),-,-11,-,-,-1,-,-,+1(53)
265,Northeast Forestry University,有备而来 (youbeierlai),2,67,-,-,-,+1(6),-,-15,-,-,-10,-,-,+2(41)
266,Shandong University of Technology,我卢某人真的没有开挂 (Trails in the sky),2,73,-,-,-,+1(10),-,-11,-,-,-,-,-,+2(43)
266,Sichuan Normal University,四川师范大学一队 (sicnu_team1),2,73,-,-,-,+1(9),-,-13,-,-,-3,-,-,+2(44)
268,"China University of Geosciences, Beijing",本地记者 (Local Journalists),2,78,-,-,-,+1(9),-,-21,-,-,-1,-,-,+1(69)
269,Xidian University,代哥赋予我力量 (Big brother carry us),2,84,-,-,-1,+1(13),-,-2,-,-,-1,-,-,+2(51)
270,Central China Normal University,肥仔欢乐队 (Happy Feizai),2,85,-,-,-,+1(11),-,-6,-,-,-,-,-,+2(54)
270,China University of Petroleum,终极之战 (The ultimate battle),2,85,-,-,-3,+1(8),-,+1(77),-,-,-,-,-,-9
272,Southern University of Science and Technology,南方科技大学_加法 (SUSTech_Addition),2,88,-,-,-,+1(10),-,-3,-,-,-4,-,-,+2(58)
272,SouthWest Minzu University,三只小猪哼哼哈嘿 (floccinaucinihilipilification),2,88,-,-,-,+1(14),-,-,-,-,-,-,-,+2(54)
274,Harbin University of Science and Technology,憧憬无限 (Take Me To Infinity),2,98,-,-,-,+1(21),-,-12,-,-,-8,-,-,+1(77)
274,Fuzhou University,复评机 (Rejudge),2,98,-,-,-,+1(15),-,-3,-,-,-,-,-,+1(83)
276,Chengdu Neusoft University,"试一试，AC is ok (try a try , ac is ok)",2,101,-,-,-,+1(16),-,-2,-,-,-,-,-,+2(65)
277,Changchun University of Technology,小pig佩奇 (It will be Spring),2,102,-,-,-,+1(14),-,-,-,-,-,-,-,+1(88)
278,Shanghai University,心动网络-潜心队 (X.D.Network-Concentration),2,107,-,-,-,+1(8),-,-1,-,-,-,-,-,+2(79)
279,National University of Defense Technology,ALPC_For_Love (ALPC_For_Love),2,119,-,-,-,+1(10),-,-6,-,-,-,-,-,+3(69)
279,Ningbo University,他们来了 (They are),2,119,-,-,-,+1(21),-,-5,-,-,-3,-,-,+1(98)
281,Zhejiang University City College,金色威兹班 (Whizbang the Wonderful),2,126,-,-,-,+1(13),-,-2,-,-,-3,-,-,+3(73)
282,Zhejiang Gongshang University,浙江工商大学TJP学院 (koi TJP),2,127,-,-,-,+1(7),-,-5,-1,-,-,-,-,+2(100)
283,Chengdu Neusoft University,喷火龙小队 (ASAP),2,129,-,-,-,+1(22),-,-,-,-,-,-,-,+1(107)
284,Zhejiang Gongshang University,TJP工商大学 (TJPGSU),2,132,-,-,-,+1(13),-,-2,-,-,-5,-,-,+3(79)
285,Shandong University of Technology,南风未起，念牌成疾 (EL PSY CONGROO),2,137,-,-,-,+1(26),-,-1,-,-,-,-,-,+2(91)
286,Shaanxi University of Science and Technology,至诚至博 (SUST_1),2,143,-,-,-,+1(9),-,-11,-,-,-2,-,-,+3(94)
287,Northeastern University (China),谜 (NEU_Enigma),2,147,-,-,-,+1(12),-,-7,-,-,-,-,-,+4(75)
287,Southwest Petroleum University,"性感程序员，在线过题 (Sexy coder,online ac)",2,147,-,-,-,+1(16),-,-13,-,-1,-3,-,-,+3(91)
287,Hunan University of Chinese Medicine,HNUCM-Girls (HNUCM-Girls),2,147,-,-,-,+1(13),-,-,-,-,-,-,-,+3(94)
290,Beijing University of Chemical Technology,The meat without bun is more delicious (The meat without bun is more delicious),2,148,-,-,-,+1(11),-,-,-,-,-5,-,-,+4(77)
290,Shandong University of Finance and Economics,猎户座 (Orion),2,148,-1,-1,-,+1(13),-,-15,-,-,-8,-,-,+4(75)
292,Guangdong University of Technology,茶大师 (Team Aster),2,149,-,-,-,+1(9),-,-1,-,-,-1,-,-,+2(120)
293,Nanjing University of Posts and Telecommunications,沉迷打铁不能自拔 (NJUPT_PlayForFe),2,150,-,-,-,+2(32),-,-3,-,-,-,-,-,+1(98)
294,SouthWest Minzu University,"一个中心，两个基本点 (One center,Two basic points)",2,153,-,-,-,+1(13),-,-3,-,-,-,-,-,+4(80)
295,SouthWest Minzu University,线段树上线段果，线段树下你和我 (what is my name?),2,156,-,-,-,+1(16),-,-6,-,-,-,-,-,+3(100)
296,Chengdu Technological University,仰望星空 (keep your eyes on the stars),2,157,-,-,-,+1(19),-,-,-,-,-1,-,-,+3(98)
296,Changsha University of Science and Technology,不作死就不会死 (no submit no wrong),2,157,-,-,-,+1(17),-,-1,-,-,-1,-,-,+3(100)
298,Shandong University of Technology,心如花木向阳而生 (Face to the sun),2,163,-,-,-,+1(19),-,-7,-,-,-,-,-,+3(104)
299,Guangdong University of Technology,二律背反 (Steins_Gate),2,166,-,-,-,+1(31),-,-12,-,-,-,-,-,+2(115)
300,Chengdu University of Technology,数独 (+-*/%^),2,168,-,-,-,+1(20),-,-7,-,-,-2,-,-,+3(108)
301,Henan Polytechnic University,"Try a Try,AC is OK (Try a Try,AC is OK)",2,173,-,-,-,+1(16),-,-7,-,-,-,-,-,+3(117)
302,China University of Geosciences (Wuhan),地大武汉ACM-No.3 (CUG-2018Final03),2,175,-,-,-,+1(18),-,-12,-,-,-6,-,-,+2(137)
303,Jinan University,红豆泥 (is that true),2,176,-,-,-,+1(14),-,-6,-,-,-1,-,-,+3(122)
304,Lanzhou Jiaotong University,大漠苍狼1号战队 (GrayWolf01),2,177,-,-,-,+1(22),-,-,-,-,-3,-,-,+3(115)
305,Shanghai University,无人艇 (Unmanned ship),2,183,-,-,-,+1(14),-,-6,-,-,-,-,-,+4(109)
306,Ningbo University,我们来了 (We are),2,192,-,-,-,+1(9),-,-2,-,-,-,-,-,+4(123)
307,Nanyang Institute of Technology,八月 (August),2,202,-,-,-,+1(18),-,-,-,-,-,-,-,+3(144)
307,Shandong University of Science and Technology,夏延号 (SKD70611 Cheyenne),2,202,-,-,-,+1(15),-,-,-,-,-1,-,-,+2(167)
309,Renai College of Tianjin University,小奶狗 (puppy),2,209,-,-,-,+1(26),-,-,-,-,-,-,-,+1(183)
310,Xinjiang University,去ECFinal？ (ECFinal let's go ?),2,213,-,-,-,+2(36),-,-,-,-,-1,-,-,+3(117)
311,Sichuan University,自闭小分队 (Mr. Selfclose),2,240,-,-,-5,+1(15),-,-,-,-,-9,-,-,+7(105)
312,Henan Polytechnic University,The Avengers (The Avengers),2,242,-,-,-,+1(15),-,-1,-,-,-,-,-,+3(187)
313,Dalian University of Technology,One Minute Lost (One Minute Lost),2,243,-,-,-,+1(15),-,-4,-,-,-8,-,-,+4(168)
314,Nanyang Institute of Technology,Tigger and Piggy (Tigger and Piggy),2,247,-,-,-,+1(15),-,-,-,-,-,-,-,+5(152)
315,Hunan Normal University,打CF不如打CF (CF is better than CF),2,286,-,-,-,+2(16),-,-6,-,-,-,-,-,+4(190)
316,China University of Geosciences (Wuhan),地大武汉ACM-No.2 (CUG-2018Final02),2,287,-,-,-,+1(44),-,-8,-,-,-,-,-,+5(163)
317,China University of Mining and Technology,嘤捶死停 (interesting),2,296,-,-,-,+1(19),-,-7,-,-,-,-,-,+6(177)
317,Nanyang Normal University,稻花香里说丰年 (Hear the sound of wa),2,296,-1,-,-,+1(18),-,-1,-,-,-1,-,-,+4(218)
319,Qingdao University,本地对就对 (Local OK is OK),2,297,-,-,-,+1(17),-,-3,-,-,-,-,-,+4(220)
320,Chang'an University,嘤嘤嘤 (ying ying ying),2,299,-,-,-,+1(9),-,-4,-,-,-,-,-,+9(130)
321,Xi'an University of Posts and Telecommunications,脱非入欧 (try a try),2,300,-,-,-,+2(21),-,-3,-,-,-,-,-,+5(179)
322,Shandong University of Finance and Economics,6.62607004×10^(-34)㎡kg/s (The new definition of kilogram is base on Planck constant),2,304,-,-,-,+1(22),-,-3,-,-,-,-,-,+7(162)
323,Leshan Normal University,I/O复读机 (LSNU_I/O Repeater),2,313,-,-,-,+1(29),-,-2,-,-,-1,-,-,+6(184)
324,Nanchang Hangkong University,NCHUSoftware_Dream (NCHUSoftware_Dream),2,337,-2,-,-,+1(126),-,-,-,-,-2,-,-,+4(151)
325,Shaanxi Normal University,我们想做队 (emmmmmmmm),2,349,-,-,-,+1(21),-,-,-,-,-1,-,-,+5(248)
326,Xi'an University of Posts and Telecommunications,水煮鸽子 (Boiled pigeons),2,350,-,-,-,+1(10),-,-1,-,-,-,-,-,+6(240)
327,Wuhan University of Science and Technology,233_Errors (233_Errors),2,357,-,-,-,+1(16),-,-,-,-,-1,-,-,+8(201)
328,Southwest University of Science and Technology,四五十天 (SCPC02),2,367,-,-,-,+1(33),-,-4,-,-,-,-,-,+7(214)
329,Shaanxi Normal University,我想AC队 (I just want AC),2,368,-,-,-,+1(25),-,-,-,-,-1,-,-,+6(243)
330,Shanghai University,我们想的都对 (There's no wrong team),2,380,-,-,-,+1(11),-,-6,-,-,-2,-,-,+5(289)
331,North China University of Technology,中文名请看英文名 (please look at Chinese name),2,384,-,-,-,+1(25),-,-6,-,-,-1,-,-,+8(219)
332,Shengli College China University of Petroleum,拿衣服走人 (Take the clothes go home),2,389,-,-,-,+1(27),-,-8,-,-,-,-,-,+5(282)
333,Zhejiang Chinese Medical University,伟神别黑我衣服 (ZCMU-EC2),2,392,-,-,-,+1(14),-,+8(238),-,-,-,-,-,-8
334,University of Electronic Science and Technology of China Zhongshan Institute,时间限制加一秒 (CDZSC_add oil),2,410,-,-,-,+1(8),-,-1,-,-,-,-,-,+7(282)
335,Xi'an University of Technology,红橙相伴 (red orange company),2,445,-,-,-,+2(18),-,-,-,-,-3,-,-,+10(227)
336,Xiangtan University,自由之翼 (XTU_Wings of Liberty),1,12,-,-,-,+1(12),-,-,-,-,-,-,-,-5
337,Minnan Normal University,捏你小肥脸 (MNNU_ACM),1,13,-,-,-,+1(13),-,-5,-,-,-,-,-,-7
338,Shaanxi University of Science and Technology,三创两迁 (SUST_2),1,14,-,-,-,+1(14),-,-1,-,-,-,-,-,-1
338,Chongqing University of Posts and Telecommunications,快乐莽夫 (happy mang),1,14,-,-,-,+1(14),-,-4,-,-,-,-,-,-3
340,Shanghai Polytechnic University,穿越长城，走向世界 (Crater Lake),1,15,-,-,-,+1(15),-,-,-,-,-,-,-,-5
340,NingXia University,梦想之源 (D&S),1,15,-,-,-,+1(15),-,-,-,-,-6,-,-,-11
340,Xi'an University of Technology,只有一个单身狗 (only one single dog),1,15,-,-,-,+1(15),-,-,-,-,-,-,-,-4
343,NingXia University,宁夏大学ACM队 (Skyspark),1,18,-,-,-,+1(18),-,-,-,-,-,-,-,-4
344,Zhongyuan University of Technology,The First Team of ZUT (The First Team of ZUT),1,19,-,-,-,+1(19),-,-6,-,-,-,-,-,-5
345,Information Engineering University of the People's Liberation Army,锟斤拷烫烫烫 (Three stinkers),1,21,-,-,-,+1(21),-,-,-,-,-,-,-,-22
345,East China University of Technology,东华之光 (The light of Donghua),1,21,-,-,-,+1(21),-,-4,-,-,-,-,-,-7
347,Fujian Normal University,小小 (xiao xiao),1,22,-,-,-,+1(22),-,-,-,-,-,-,-,-8
348,Aba Teachers College,每天起床第一句先给自己打个气 (ABTU),1,23,-,-,-,+1(23),-,-,-,-,-,-,-,-22
349,Beijing Information Science and Technology University,凉皮泡馍biangbiang面 (Famous food of XiAn),1,24,-,-,-,+1(24),-,-,-,-,-,-,-,-10
349,Tong Hua Normal University,thnu (thnu restart),1,24,-,-,-,+1(24),-,-,-,-,-1,-,-,-9
351,China West Normal University,收割机 (reaper),1,25,-,-,-,+1(25),-,-2,-,-,-,-,-,-
352,Harbin University,Za De Dou Team (Za De Dou Team),1,26,-,-,-,+1(26),-,-,-,-,-,-,-,-5
353,Lanzhou Jiaotong University,大漠苍狼2号战队 (GrayWolf02),1,27,-,-,-,+1(27),-,-,-,-,-,-,-,-6
353,Xi'an University of Science and Technology,滑稽 (freshmanPro),1,27,-,-,-,+1(27),-,-5,-,-,-,-,-,-4
355,Aba Teachers College,题被做 就会WA (Hidden Star),1,29,-,-,-,+1(29),-,-,-,-,-,-,-,-6
356,Qinghai University,WA我不相信 (Qhu3Guns),1,30,-,-,-,+1(30),-,-1,-,-,-,-,-,-7
356,Wuhan Business University,我想静静 (skrskrskr),1,30,-,-,-,+1(30),-,-,-,-,-2,-,-,-10
358,Southwest University of Science and Technology,这道是签到题 (no regret voyage),1,36,-,-,-,+2(16),-,-9,-,-,-,-,-,-7
359,Xi'an Eurasia University,show me your WECHAT girl (reboot),1,41,-,-,-,+1(41),-,-,-,-,-,-,-,-
360,Guizhou University of Engineering Science,树上的鸟儿成三 (There are three birds in the tree),1,45,-1,-,-,+1(45),-,-,-,-,-,-,-,-2
360,Guizhou University of Engineering Science,梦想探险家 (Dream Explorers),1,45,-,-,-,+2(25),-,-,-,-,-,-,-,-7
362,Guizhou University,这是一个不会起名字的水队 (A Water H2O),1,73,-,-,-,+2(53),-,-,-,-,-,-,-,-
363,Qiannan Normal University for Nationalities,加油2019 (qiannan),1,74,-,-,-,+1(74),-,-,-,-,-2,-,-,-1
364,LanZhou University,放弃四六级来打铁 (Caratheodory),1,84,-,-,-,+3(44),-,-1,-,-,-1,-,-,-4
365,Guizhou Education University,FTW (For the win),1,88,-,-,-1,+2(68),-,-,-,-,-,-,-,-6
365,Hunan University,对对对 (deideidei),1,88,-,-,-,+2(68),-,-,-,-,-,-,-,-5
367,Guizhou Education University,灬言梦小队灬 (MTsakuraTM),1,101,-,-,-,+2(81),-,-2,-,-,-,-,-,-
368,Xi'an University of Science and Technology,阿姆斯特朗·奥斯托洛夫斯基 (Armstrong Ostrovsky),1,105,-,-,-,+2(85),-,-,-,-,-,-,-,-3
369,Guizhou Normal University,Gznu1 (Gznu1),1,146,-,-,-,+5(66),-,-,-,-,-,-,-,-
370,Xi'an Eurasia University,梅尼耶 (Good difficult),1,148,-,-,-,+4(88),-,-,-,-,-,-,-,-
371,Guizhou Education University,HSW (HSW),1,166,-,-,-,+2(146),-,-,-,-,-,-,-,-
372,Xi'an University of Architecture and Technology,N3RDS (N3RDS),1,214,-,-,-,+1(214),-,-,-,-,-3,-,-,-1
373,Chung Hua University,ABC_dog_bit_pig (ABC_dog_bit_pig),1,231,-,-,-,+6(131),-,-,-,-,-2,-,-,-9
374,Guizhou Normal University,Gznu2 (Gznu2),1,310,-,-,-1,+11(110),-,-,-,-,-,-,-,-
