Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
32,26,杭州电子科技大学信息工程学院,清蒸狮子头,5,590,-8,-,+1(127),-,+1(11),+1(48),-,-,-,+2(31),-,+5(273),-,50%,Silver,尹凯乐,杨鑫,柳徐吉,N,N
33,,复旦大学,Elegia fan and her friends,5,605,-,-,+1(127),-,+1(13),+1(52),-,-,-,+2(81),-,+4(252),-,44%,Silver,宋悦荣,张宇琪,陆佳艺,N,Y
34,27,北京交通大学,羊羊羊,5,614,+2(118),-,-12,-,+1(9),+2(58),-,-,-,+3(49),-,+3(260),-,54%,Silver,夏鹤鸣,杨佳昊,郭昱哲,N,N
35,28,香港中文大学（深圳）,香港中文大学（深圳）1队,5,645,-8,-,+4(128),-,+1(8),+3(88),-,-,-,+3(40),-,+3(201),-,64%,Silver,徐源,忙秋阳,郭青硕,N,N
36,29,同济大学,达拉崩吧班德贝迪卜多比鲁翁,5,657,-,-,+1(168),-,+2(10),+1(52),-,-,-,+1(99),-,+3(268),-,37%,Silver,刘依扬,孙治弘,张乐天,N,N
37,30,北京航空航天大学,AG.子渊,5,676,+3(273),-,+1(118),-,+1(5),+1(50),-,-,-,+3(150),-,-22,-,44%,Silver,崔绍锞,张羿凡,闵家旭,N,N
38,31,西安电子科技大学,喵喵喵,5,678,-1,-,+2(170),-,+1(13),+1(67),-,-,-,+1(96),-,+3(272),-,37%,Bronze,刘朝旭,张亲翰,罗杰,N,N
39,32,哈尔滨工业大学,蛤工业10队,5,684,-8,-,+3(128),-,+1(10),+4(66),-,-,-,+3(106),-,+3(194),-,64%,Bronze,杜沛键,王续烨,金义扬,N,N
40,33,武汉大学,删点引猹,5,734,-,-,+2(195),-,+1(16),+2(107),-,-,-,+3(167),-,+2(149),-1,50%,Bronze,侯哲,冯烨聪,蔡玉聪,N,N
41,34,济南大学,樱之重生,5,737,-,-,+1(144),-,+1(14),+1(49),-,-,-,+2(94),-,+7(296),-,58%,Bronze,刘延松,张益铭,龚奕天,N,N
42,,杭州电子科技大学,杭电6队,5,754,+2(183),-,+2(210),-,+1(14),+4(126),-,-,-,+2(101),-,-9,-,54%,Bronze,姜正,潘思成,陈载元,N,N
43,35,暨南大学,秋叶下落的速度是每秒五厘米,5,764,-,-,+1(161),-,+1(10),+5(95),-,-,-,+3(62),-,+3(276),-,61%,Bronze,余欣妍,贾子涵,麦骏,N,N
44,36,浙江师范大学,猫猫把妖怪抓走了,5,827,-7,-,+3(203),-,+1(11),+2(53),-,-,-,+3(161),-,+2(279),-,54%,Bronze,厉文浩,温启涛,蒋润浩,N,N
45,37,郑州大学,我从未离去,5,834,-8,-,+1(218),-,+1(12),+1(47),-,-,-,+2(157),-,+6(280),-,54%,Bronze,古晨峰,赵圣元,邱宇,N,N
46,,清华大学,嗷呜呜,5,900,-,-,+1(103),-,+2(14),+1(39),-,-,-,+4(113),-,+14(291),-,77%,Bronze,文语乐,蔡欣然,韩豫葳,N,Y
47,38,北京邮电大学,三只蒟蒻,5,943,-2,-,+7(141),-,+1(7),+1(26),-,-,-,+3(71),-,+13(298),-,80%,Bronze,区庆亮,张天泽,王佳禾,N,N
48,39,长春理工大学,求其金者得其银两长未4弟已6读题重任君莫负,5,976,-1,-,+7(242),-,+1(16),+2(60),-,-,-,+4(163),-,+2(275),-,68%,Bronze,任鑫,周泊宇,郝良友,N,N
49,40,浙江工业大学,爱喝牛奶的猫猫酱,5,1036,-1,-,+1(184),-,+1(8),+1(50),-,-,-,+9(218),-,+7(296),-,73%,Bronze,李汶芝,狄鑫慧,王瑞,N,N
50,41,兰州大学,我们几乎又要拿到金牌了不是吗,5,1135,+6(172),-,+9(291),-,+1(18),+4(124),-,-,-,+1(210),-,-12,-,76%,Bronze,孟戴浓达,狄农雨,王徐笙,N,N
51,42,山东大学,小白兔海盐,4,310,-7,-,+1(35),-,+1(19),+1(84),-,-,-,+3(132),-,-,-,33%,Bronze,许蕴朴,陈子载,韩雨辰,N,N
52,43,重庆邮电大学,前面的题目以后再来探索吧？,4,320,-4,-,+1(118),-,+1(12),+1(29),-,-,-,+2(141),-,-2,-,20%,Bronze,江骏扬,罗昊,辜飞云,N,N
53,44,南方科技大学,南方科技大学-维希,4,322,-2,-,+1(98),-,+1(7),+2(78),-,-,-,+1(119),-,-3,-,20%,Bronze,李浩宇,洪朝阳,陈璐瑶,N,N
54,45,华中师范大学,烧冻鸡翅,4,323,-1,-,+2(129),-,+1(11),+1(45),-,-,-,+2(98),-,-5,-,33%,Bronze,熊吉祥,郭子寒,钟鸣,N,N
