Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
103,Bronze,南京邮电大学,以上队伍成绩无效,4,420,+1(10),,,,,,+1(84),,+6(166),+1(60),-2,,
104,Bronze,四川大学,Clannad,4,425,+2(14),,,-12,,,+2(151),,+1(178),+1(42),,,
105,Bronze,杭州电子科技大学,HDU-Flowers,4,439,+1(9),,,-10,,,+1(165),,+2(107),+2(118),,,
106,Bronze,山东大学,燃烧我的隔热服,4,440,+1(7),,,+2(130),-1,,-4,,+3(191),+1(52),,,-2
107,Bronze,杭州师范大学,歼-20,4,444,+2(31),,,-5,,,+1(175),,+1(124),+2(74),,,
108,Bronze,河海大学,猪肘子我正在煮,4,454,+3(32),,,+1(110),,,-6,,+1(176),+1(96),,,
109,Bronze,东南大学,天王星,4,455,+3(25),,,,,,+1(109),,+2(114),+4(87),,,
110,Bronze,上海大学,暑期队,4,458,+2(27),,,+1(177),,,-1,,+2(120),+2(94),,,
111,Bronze,南京大学,三个小学生,4,460,+3(30),,,-5,,,+3(190),,+1(93),+1(67),,,
112,Bronze,武汉科技大学,.CALLC.,4,463,+2(17),,,,,,+1(234),,+3(108),+1(44),,,
113,Bronze,南京理工大学,维他柠檬茶,4,465,+1(24),,,+3(197),,,-11,,+1(109),+1(95),,,
114,Bronze,中国石油大学（北京）,我为祖国献石油,4,470,+1(39),,,+1(189),,,-8,,+1(126),+2(96),,,
115,Bronze,武汉科技大学,幻影,4,506,+4(55),,,-3,,,+1(210),,+2(105),+1(76),,,
116,Bronze,山东理工大学,进击的小怪兽,4,508,+1(10),,,+1(259),,,-3,,+3(121),+3(58),,,
117,Bronze,南京理工大学,跃迁引擎,4,509,+2(29),,,-7,,,+3(224),,+2(90),+1(86),,,
118,Bronze,华东理工大学,黑水舰队,4,510,+2(58),,,-9,,,+1(153),,+1(122),+4(97),,,
119,Bronze,东南大学,学长说名字短没牌面,4,526,+2(47),,,,,,+2(215),,+1(101),+1(123),,,
120,Bronze,四川大学,拿衣服,4,536,+2(12),,,+5(211),-59,,-1,,+1(133),+2(60),,,
121,Bronze,长沙理工大学,不作死就不会死,4,544,+1(13),,,+3(211),,,-1,,+2(178),+2(62),,,
122,Bronze,天津大学,TJU_白银矿工,4,560,+5(64),,,,,,+3(220),,+1(47),+1(109),,,
123,Bronze,浙江师范大学,南京北京，拿两个金，斯戈斯戈,4,564,+2(12),,,,,,+3(232),,+3(152),+1(68),-2,,
124,Bronze,杭州电子科技大学,HDU-YangChaoYue,4,566,+2(21),,,+3(293),,,-8,,+3(109),+1(63),,,
125,Bronze,湘潭大学,鹤鸣于九皋，声闻于野,4,567,+2(16),,,-1,,,+1(127),,+5(188),+2(136),-2,,
126,Bronze,天津工业大学,出来看神仙,4,576,+3(35),,,-6,,,+2(229),,+2(146),+1(86),,,
127,Bronze,东北大学秦皇岛分校,我RE，我快乐,4,577,+5(24),,,,,,+3(219),,+2(146),+1(68),,,
128,Bronze,台州学院,脑子是个好东西,4,606,+2(63),,,,,,+1(98),,+1(139),+2(266),-1,,
129,Bronze,中国人民大学,只有聪明的人能看见我们的队名,4,608,+1(49),,,,,,+4(202),,+1(243),+1(54),,,
130,Bronze,大连海事大学,都说了不爆零,4,630,+4(54),,,,,,+1(262),,+1(150),+1(104),,,
130,Bronze,浙江师范大学,奶茶还是大杯好喝,4,630,+1(20),,,+4(166),,,-9,,+4(295),+1(29),,,
132,Bronze,北京化工大学,北极星没有眨眼睛,4,637,+4(61),,,,,,+4(292),,+1(114),+1(50),,,
133,Bronze,安徽大学,跟我走吧，我们去打ACM,4,641,+2(60),,,,,,+1(216),,+2(176),+1(149),,,
133,Bronze,哈尔滨理工大学,哈理工5队,4,641,+4(33),,,+1(261),-2,,-1,,+1(95),+2(172),,,
135,Bronze,长春理工大学,幻想乡乐园,4,654,+1(17),,,-5,,,+3(263),,+2(161),+5(73),,,
136,Bronze,华中师范大学,杰尼龟,4,664,+2(35),,,,,,+5(305),,+2(143),+1(61),,,
137,Bronze,北京科技大学,思无邪,4,674,+1(11),,,,,,+1(262),,+4(193),+3(128),,,
138,Bronze,厦门大学,南京南京,4,677,+5(25),,,,-4,,+1(130),,+1(176),+6(166),,,
139,Bronze,华东师范大学,摸鱼队友，在线挂机,4,681,+3(60),,,-8,,,+4(296),,+1(67),+1(158),,,
140,Bronze,西北工业大学,为忙碌而忙碌,4,684,+1(19),,,-1,,,+1(192),,+1(60),+7(293),,,-1
141,Bronze,北京工业大学,嘤嘤嘤嘤嘤嘤嘤嘤嘤,4,698,+4(36),,,,,,+2(277),,+2(94),+5(111),-2,,
142,Bronze,绍兴文理学院元培学院,哈士奇与扫雷王者,4,719,+2(20),,,-10,,,+3(259),,+1(101),+8(139),,,
143,Bronze,四川大学,六楼太高了救命,4,726,+2(49),,,,,,+2(243),,+1(208),+3(146),,,
143,Bronze,北华大学,我思故我在,4,726,+3(21),,,+2(212),,,+3(293),,+1(100),-1,,,
145,Bronze,四川师范大学,钢铁是怎样炼成的,4,761,+3(23),,,,,,+1(142),,+8(299),+2(97),,,
146,Bronze,华中科技大学,要我一直笑吗,4,805,+3(15),,,+4(183),,,-8,,+7(292),+2(95),,,
147,Bronze,东北大学秦皇岛分校,2000发WA,4,807,+3(32),,,+6(295),,,,,+3(219),+1(181),,,
148,Bronze,哈尔滨工业大学（深圳）,南国小鸡,4,815,+2(49),,,,,,+1(261),,+2(219),+5(166),,,-2
149,Bronze,南京大学,听说名字长长的软壳才能涨的筛凝艾慕,4,858,+3(19),,-1,,,,+2(293),,+1(202),+4(224),,,
150,Bronze,东南大学,杨超越带你飞,4,876,+2(18),,,,,,+1(116),,+3(196),+10(306),,,
151,Bronze,东北大学,你觉得何如,4,898,+2(41),,,+14(302),,,-5,,+3(108),+2(207),,,
152,Bronze,重庆大学,大佬的奖牌不要扔，隔壁弱队都馋哭了,4,902,+3(217),,,,-4,,+3(305),,+1(125),+1(195),,,
153,Bronze,浙江理工大学,普通的队,3,172,+4(15),,,,,,-5,,+1(60),+1(37),,,
154,Bronze,西北工业大学,风儿甚是喧嚣,3,188,+1(17),,,,,,-6,,+2(99),+1(52),,,
155,Bronze,北京邮电大学,未知数,3,201,+3(27),,,,,,-11,,+1(81),+1(53),,,
156,Bronze,江苏科技大学,SOS,3,237,+2(36),,,,,,-2,,+1(105),+1(76),,,
157,Bronze,福州大学,尤里卡,3,246,+1(9),,,-2,,,-4,,+2(141),+1(76),,,
158,Bronze,浙江师范大学,女孩子何苦为难女孩子,3,272,+1(23),,,,,,-3,,+2(145),+1(84),,,
159,Bronze,吉首大学,华春满枝,3,275,+1(20),,,,,,-2,,+3(168),+1(47),,,
160,Bronze,暨南大学,卡路里之战,3,283,+1(6),,,,,,-2,,+1(103),+3(134),,,-6
161,Bronze,河南大学,来自风平浪静的明天,3,288,+2(48),,,,,,-1,,+1(126),+1(94),-2,,
162,Bronze,湖南工业大学,队友说这题能A,3,300,+4(29),,,,,,-11,,+2(116),+1(75),,,
163,Bronze,南阳理工学院,跳跳虎的朋友,3,314,+1(18),,,,,,,,+1(107),+2(169),,,
164,Bronze,中国石油大学（华东）,第一战,3,318,+3(47),,,,,,-1,,+1(93),+1(138),,,
165,Bronze,中国地质大学（北京）,反秀联萌,3,322,+1(14),,,,,,-4,,+2(221),+1(67),,,
166,Bronze,华南农业大学,Dark黑马,3,326,+2(69),,,,,,-5,,+1(125),+2(92),,,
167,Bronze,华南师范大学,尾号玩家,3,334,+6(50),,,,,,-4,,+1(91),+1(113),,,
168,Bronze,中国矿业大学（北京）,流星一条,3,344,+1(12),,,,,,-2,,+2(120),+6(92),,,
169,Bronze,南开大学,我想要一份色图,3,348,+3(20),,,-2,,,-2,,+2(158),+1(110),,,
169,Bronze,山东农业大学,SDAU_NJ,3,348,+2(36),,,,,,-5,,+1(202),+1(90),,,
171,Bronze,华南农业大学,斟茶俾大佬,3,349,+3(60),,,,,,,,+1(108),+1(141),,,
172,Bronze,北京邮电大学,阿訇念经，嘤嘤嘤嘤,3,352,+2(134),,-1,,,,-5,,+1(126),+1(72),,,-1
172,Bronze,解放军信息工程大学,不忘初心,3,352,+2(31),,,,,,+1(173),,-8,+1(128),,,
174,Bronze,三峡大学,三大二队,3,366,+5(49),,,,,,-2,,+1(113),+3(84),,,
175,Bronze,衡阳师范学院,注意观察四周,3,380,+5(31),,,,,,,,+3(139),+1(90),,,
176,Bronze,郑州大学,"""香香的口味",3,382,+2(25),,,,,,-3,,+2(187),+2(110),,,
177,Bronze,哈尔滨理工大学,哈理工6队,3,398,+3(68),,,,,,-5,,+1(131),+1(159),,,
177,Bronze,烟台大学,杨超越,3,398,+2(33),,,,,,,,+3(211),+1(94),,,
179,Bronze,江西理工大学南昌校区,面积退役老学长,3,399,+1(18),,,,,,+1(156),,-9,+5(145),,,
