Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,逆十字,11,1616,+1(4),+3(150),+2(40),+2(282),+4(32),-2,+5(141),+4(252),-,+1(120),+2(107),+2(103),+2(45),60%,Gold,周雨扬,孔朝哲,潘骏跃,N,N
2,2,浙江大学,nameless story,10,1501,+1(2),+3(267),+1(73),+1(294),+1(12),-1,+3(131),-2,-1,+7(77),+2(150),+2(195),+2(40),56%,Gold,凌子恒,林响烨,胡家齐,N,N
3,3,北京理工大学,ddl战神,9,1024,+1(11),-,+1(57),+1(275),+2(43),-,+1(130),-,-,+1(76),+1(264),+1(96),+2(32),18%,Gold,朱子林,林恺,邹知秋,N,N
4,,浙江大学,Phantom Threshold,9,1125,+1(3),+1(239),+2(29),+1(186),+2(50),-,+3(98),-,-,+2(129),-,+2(225),+2(26),43%,Gold,唐嘉辰,李昌栋,黎伟诺,N,N
5,4,南京邮电大学,究竟怎么会是呢？,9,1172,+1(3),+2(239),+1(51),-,+2(37),-,+4(130),-,-,+2(125),+3(202),+2(178),+1(27),50%,Gold,何乐晗,赵一舟,陈以信,N,N
6,5,哈尔滨工程大学,下北泽沼气动力学园学园偶像同好会兼恋恋的信仰者教团改二,9,1230,+1(7),+3(289),+1(66),-1,+1(32),-,+3(136),-,-,+2(143),+1(236),+1(177),+1(44),35%,Gold,彭金浩,徐子涵,王昊宇,N,N
7,,浙江大学,Untitled1,9,1308,+1(5),+1(295),+2(63),+2(275),+1(26),-,+2(104),-,-,+2(171),-4,+4(192),+1(37),43%,Gold,严子轩,周轩熠,樊睿,N,N
8,,北京大学,无名氏,9,1384,+1(5),+2(253),+1(54),-,+1(69),-,+3(189),-,-,+2(115),+6(292),+1(154),+3(33),55%,Gold,任柯瑾,林帮才,肖千与,N,N
9,6,清华大学,行胜于言,9,1644,+1(8),+2(171),+2(84),-,+1(40),-,+5(220),-,-,+9(275),+1(261),+3(235),+1(30),64%,Gold,史钰申,张尊喆,邓奕鹏,N,N
10,,清华大学,写得不好，草草睡辽,8,853,+1(8),-,+1(74),+1(295),+1(11),-,+1(54),-,-,+1(98),-6,+1(276),+1(37),0%,Gold,丁其安,孙从博,顾奕成,N,N
11,7,杭州电子科技大学,杭电1队,8,943,+1(6),+1(248),+1(69),-,+1(33),-,+1(99),-,-,+3(197),+2(193),-3,+2(18),33%,Gold,尹吴潇,戴志炜,赵政和,N,N
12,8,国防科技大学,自然选择号,8,1112,+1(4),-,+1(79),-,+2(29),-,+1(208),-,-,+6(238),+1(228),+1(146),+1(60),42%,Gold,亢世嘉,吴佳英,左传奇,N,N
13,9,南方科技大学,南方科技大学-维希,8,1181,+1(4),+2(285),+3(112),+1(229),+1(43),-,+5(137),-,-,-2,-,+2(171),+2(20),52%,Gold,李浩宇,洪朝阳,陈璐瑶,N,N
14,10,哈尔滨工业大学,蛤工业10队,8,1217,+1(2),-1,+2(85),-1,+2(32),-2,+4(177),-1,-1,+3(104),+9(281),+1(192),+1(44),65%,Gold,杜沛键,王续烨,金义扬,N,N
15,11,华东师范大学,SEI1,8,1307,+1(5),-,+1(104),+1(148),+3(51),-,+6(290),-,-,+2(277),-,+2(223),+1(29),52%,Gold,余东桦,漆宇祥,范晨阳,N,N
16,12,天津大学,文化先和初中生同步,8,1333,+2(7),-,+2(109),-,+2(39),-,+5(130),-,-,+2(265),+6(279),+2(163),+2(41),65%,Gold,张博凯,杜鼎勋,谢天驰,N,N
17,13,华中科技大学,加权没了还想打ACM？,7,631,+1(6),-,+1(67),-,+1(25),-,+1(122),-,-,+1(254),-6,+1(113),+1(44),0%,Gold,卞曜洋,罗劲豪,陈开宇,N,N
18,,北京理工大学,内核恐慌,7,809,+1(9),-,+1(77),-,+1(31),-,+2(122),-,-,+5(264),-2,+1(163),+1(43),41%,Gold,张书豪,秦一飞,陈驭祺,N,N
19,14,北京建筑大学,快保底了能出金吗,7,818,+1(5),-,+2(90),-,+1(33),-,+2(210),-,-,+1(131),-,+1(255),+1(54),22%,Gold,王家晟,韩牧云,齐思恺,N,N
20,15,华侨大学,红日初升,7,822,+1(6),-,+2(84),-,+1(24),-,+1(133),-,-,+2(214),-,+1(253),+2(48),30%,Gold,徐聪,赵雨扬,郑量,N,N
21,,南方科技大学,南方科技大学-巴黎,7,823,+1(9),+1(276),+1(78),-,+1(52),-,+3(123),-,-,-5,-8,+1(217),+1(28),22%,Gold,冯照航,曹哲振,田若载,N,N
22,16,武汉理工大学,树上猫猫虫,7,829,+1(5),-1,+1(94),-1,+4(58),-1,+2(147),-1,-1,+1(181),-1,+1(250),+1(14),36%,Gold,易琢然,赵家荣,闫卢昊,N,N
23,17,中山大学,中山大学_破晓,7,847,+1(7),-,+1(80),-,+1(24),-,+2(152),-,-,+2(172),-,+3(297),+1(35),36%,Gold,古鸣浩,吴景图,欧梓洋,N,N
24,18,浙江工业大学,地球猫猫,7,886,+1(8),-,+1(53),-,+3(78),-,+1(137),-,-,+4(283),-,+1(160),+2(47),46%,Gold,张宇翔,李亚伦,陈洁怡,N,N
25,19,华南理工大学,胖头鱼头胖,7,888,+1(5),-,+2(93),-,+2(84),-,+2(154),-,-,+3(272),-4,+1(161),+1(19),41%,Silver,冼昊明,李珲,钱晨炼,N,N
26,,北京大学,cxk,7,897,+1(6),-,+1(114),-,+1(68),-,+3(210),-,-,+1(180),-8,+1(149),+3(90),36%,Silver,张开泰,袁晓坤,陈伯轩,N,N
27,20,吉林大学,柴郡猫猫QuQ,7,921,+1(5),-,+2(99),-,+2(68),-,+3(163),-,-,+2(203),-3,+1(223),+1(60),41%,Silver,李光赫,陈铭豪,黄昌盛,N,N
28,21,北京邮电大学,三只蒟蒻,7,1012,+1(2),-,+2(64),-,+1(37),-,+3(164),-,-,+3(265),-12,+7(204),+1(56),61%,Silver,区庆亮,张天泽,王佳禾,N,N
29,22,湖南大学,金色传说,7,1029,+2(8),-,+3(131),-,+1(67),-,+3(163),-,-,+1(180),-5,+4(272),+1(48),53%,Silver,廖曙康,苏杰,范则鸣,N,N
30,23,电子科技大学,UESTC_HappyCodingLife,7,1036,+1(3),-,+2(46),-,+2(74),-,+4(254),-,-,+3(227),-3,+2(195),+2(57),56%,Silver,吴立俊,山佩永,朱子涵,N,N
31,,电子科技大学,UESTC_地平线,7,1039,+1(4),+1(263),+4(170),-,+1(94),-,+1(201),-,-,+2(190),-,-,+1(37),36%,Silver,吴晓玉,贺皓哲,黄博奕,N,N
32,24,北京交通大学,真有那么难吗？！,7,1112,+2(8),-,+1(197),-,+1(82),-,+4(163),-,-,+5(216),-,+1(251),+1(35),53%,Silver,夏鹤鸣,彭柯岚,郭昱哲,N,N
33,,华中科技大学,鸭鸭鱼鱼虫虫,7,1121,+1(3),-,+3(58),-,+1(83),-,+1(130),-,-,+5(272),-7,+3(143),+4(212),61%,Silver,俞仲遥,郑欣,龚宸,N,N
34,,哈尔滨工程大学,WA自动机Fail树上建可持久化RE树,7,1170,+1(6),-,+2(148),-,+3(91),-,+2(197),-,-,-4,+2(245),+5(259),+2(24),58%,Silver,吴兆昕,杨春昊,黄凯鹏,N,N
35,,华南理工大学,智能码工,7,1209,+1(8),-,+3(180),-,+2(42),-,+4(240),-,-,+3(291),+3(173),-3,+2(55),61%,Silver,严浩文,李亨,谢丰泽,N,N
36,25,哈尔滨工业大学（深圳）,冰糖屋,6,381,+1(2),-,+1(34),-,+1(38),-,+2(121),-,-,-4,-3,+2(100),+1(46),25%,Silver,吴泽楷,唐楷杰,李彬昌,N,N
37,26,北京航空航天大学,欺负人没有数理基础？,6,468,+1(3),-,+1(57),-,+1(38),-,+3(103),-,-,-,+2(186),-,+1(21),33%,Silver,唐怡浜,杨振炜,金炼凯,N,N
38,,北京航空航天大学,XCPC的奇妙冒险,6,747,+1(4),-,+3(117),-,+1(76),-,-3,-,-,+2(257),-2,+1(181),+2(32),40%,Silver,吕诚鑫,韦若皓,韩一,N,N
39,27,中国科学院大学,果壳家的龙ACMer,6,764,+1(4),+1(150),+1(44),-,+5(163),-,+2(289),-,-,-,-6,-,+1(14),45%,Silver,徐步骥,李衍君,楼持恒,N,N
40,28,西安交通大学,渡渡鸟幼儿园,6,768,+1(4),-,+1(69),-,+1(50),-,+5(214),-,-,+3(273),-,-,+1(38),50%,Silver,杨栋,王之坤,陈业元,N,N
41,,中山大学,中山大学-版本之子,6,781,+2(12),-,+1(92),-,+1(64),-,+6(285),-,-,-2,-1,+1(171),+1(37),50%,Silver,梁梓豪,罗以彬,陈银超,N,N
42,29,深圳大学,SZU-Will_Qin,6,800,+1(14),-,+4(117),-,+1(95),-,+2(267),-,-,-,-,+1(183),+1(44),40%,Silver,苏梓瀚,郭泽森,陈俊明,N,N
43,30,东南大学,咕噜咕噜,6,819,+1(6),-,+1(105),-,+1(20),-,+5(276),-,-,-1,-,+2(253),+2(39),50%,Silver,张皓,田昊冬,黄天宇,N,N
44,31,太原理工大学,桂林山水铁天下,6,825,+1(8),-,+1(129),-,+2(118),-,+3(176),-,-,-4,-,+1(216),+3(78),45%,Silver,何奇璋,何玉斌,李沛霖,N,N
45,,北京交通大学,相遇天使,6,848,+1(2),-,+1(76),-,+5(168),-,+2(246),-,-,-2,-,+2(211),+1(25),50%,Silver,杨佳昊,邓人嘉,金恒柘,N,N
