Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Unofficial,Girl,Member1,Member2,Member3
217,,浙江理工大学,马拉车算法算车拉马,2,94,+1(60),-,-,-,-10,-3,-,-,+1(34),-,-,-,0%,Honorable,N,N,姚仁杰,汤丰玮,卢一鸣
218,104,江苏大学,扫一遍就过了,2,95,+1(62),-,-,-,-7,-1,-2,-,+1(33),-,-,-,0%,Honorable,N,N,赵安杰,庞政,张道正
219,,西安交通大学,天狼星的心脏,2,96,+2(55),-,-,-,-9,-,-8,-,+1(21),-,-,-,33%,Honorable,N,N,刘一可,洪家庆,许孜诚
220,105,浙大宁波理工学院,青梅绿茶,2,101,+1(73),-,-,-,-4,-,-5,-,+1(28),-,-,-,0%,Honorable,N,N,吴东,吴泽坤,涂荣基
221,,西安交通大学,唐人,2,105,+2(52),-,-,-,-,-3,-11,-2,+1(33),-,-,-,33%,Honorable,N,N,杨润轩,李纳川,刘欣楠
222,,南开大学,粥畜已除一害,2,106,+1(75),-,-,-,-10,-,-5,-,+1(31),-,-,-,0%,Honorable,N,N,杨澍,李佳璞,章壹程
223,,西安交通大学,正在评测中,2,109,+1(71),-,-,-,-7,-,-4,-,+1(38),-,-,-,0%,Honorable,N,N,吴夏天,王博想,邱宇成
224,106,成都信息工程大学,帝企鹅,2,111,+1(64),-,-,-,-8,-,-13,-,+2(27),-,-,-,33%,Honorable,N,N,林莫豪,李奕乐,刘雨葳
224,,北京交通大学,白夜追风,2,111,+1(77),-,-,-,-14,-,-4,-,+1(34),-,-,-,0%,Honorable,N,N,陈可致,殷澄宇,杨展宇
226,107,绍兴文理学院元培学院,场场打铜的杂鱼大哥哥,2,117,+2(63),-,-,-,-,-,-17,-,+1(34),-,-,-,33%,Honorable,N,N,陈佳俊,谢琳涵,江亚君
227,,长沙理工大学,Sakura,2,118,+1(89),-,-,-,-6,-,-29,-,+1(29),-,-,-,0%,Honorable,N,N,唐彪,马艺,谭焱文
228,,武汉大学,日之道途,2,119,+3(57),-,-,-,-,-7,-11,-,+1(22),-,-,-,50%,Honorable,N,N,徐嘉浩,张涵,李澍
229,108,浙江机电职业技术大学,兔八鸽,2,120,+2(69),-,-,-,-9,-,-11,-,+1(31),-,-,-,33%,Honorable,N,N,林宇曈,洪志伦,应程杰
230,,香港中文大學,香港电视台,2,125,+2(71),-,-,-,-3,-,-10,-1,+1(34),-,-,-,33%,Honorable,N,N,杨砚泽,张译丰,阮立成
231,109,中国矿业大学（北京）,守村人,2,132,+1(102),-,-,-,-3,-,-8,-,+1(30),-,-,-,0%,Honorable,N,N,郭天茁,史坪巧,罗心伟
232,,西南交通大学,一次买够？？！,2,136,+1(82),-,-,-,-,-,-7,-1,+1(54),-,-,-,0%,Honorable,N,N,郑欢庆,徐明山,丁昱
233,,北京理工大学,香蕉的感觉不奇妙,2,137,+3(67),-,-,-,-12,-,-4,-,+1(30),-,-,-,50%,Honorable,N,N,梁思源,王翔宇,叶子宁
233,,华中师范大学,退役玩家旅游团,2,137,+1(80),-,-,-,-8,-4,-,-,+1(57),-,-,-,0%,Honorable,N,N,张凯文,杨波,汪祺祺
235,,国防科技大学,茉香茉语茉清梦,2,138,+3(52),-,-,-,-2,-,-6,-,+1(46),-,-,-,50%,Honorable,N,N,杨淇斌,尤炜豪,王俊博
236,110,中国地质大学（武汉）,不可思议之国的爱丽丝正在梦游仙境,2,139,+2(85),-,-,-,-7,-,-,-,+1(34),-,-,-,33%,Honorable,N,N,李诏天,陈学海,何坤良
237,,西安电子科技大学,喵亦或鱼,2,141,+1(20),-,-,-,-1,-,-2,-,+2(101),-,-,-,33%,Honorable,N,N,冯子诚,文童宇,谢睿杰
238,111,西南科技 大学,此生仅有的机会,2,147,+1(79),-,-,-,-3,-,-2,-,+2(48),-,-,-,33%,Honorable,N,N,游克峰,刘雨凡,朱杰
239,112,中国石油大学（华东）,中石大2005,2,148,+2(80),-,-,-,-4,-,-4,-,+1(48),-,-,-,33%,Honorable,N,N,刘亚宁,杨立鑫,韩绍泽
239,,国防科技大学,青铜时代号,2,148,+2(103),-,-,-,-,-,-7,-,+1(25),-,-,-,33%,Honorable,N,N,李泽锴,王荣航,蒋卓彧
241,113,福建理工大学,猿农舟,2,153,+2(65),-,-,-,-10,-,-6,-,+2(48),-,-,-,50%,Honorable,N,N,陈鹏,郑晟睿,林舜华
242,,北京航空航天大学,会挽雕弓如满月,2,155,+2(55),-,-,-,-14,-,-,-,+2(60),-,-,-,50%,Honorable,N,N,梁钧著,傅可树,马一
243,,香港大学,今天必须取个队名,2,156,+2(47),-,-,-,-9,-,-,-,+1(89),-,-,-,33%,Honorable,N,N,夏铭飞,杨明天,吴浩元
244,,香港理工大学,香港难民,2,160,+2(103),-,-,-,-,-,-3,-,+1(37),-,-,-,33%,Honorable,N,N,付冠赫,张昊霖,陈俊儒
245,114,深圳大学,你头怎么尖尖的,2,172,+1(33),-,-,-,-5,-,-1,-,+1(139),-,-,-,0%,Honorable,N,N,何元捷,邱晓睿,佘洽聪
246,,浙江万里学院,棱镜,2,173,+3(90),-,-,-,-7,-,-4,-,+1(43),-,-,-,50%,Honorable,N,N,王力澜,袁礼赞,钱沁浩
247,,杭州电子科技大学,杭电0队,2,188,+3(72),-,-,-,-5,-2,-2,-,+1(76),-,-,-,50%,Honorable,N,N,林炜钦,梅瑞贤,万扬
248,,浙江师范大学,分秒易逝，V我5时,2,191,+4(84),-,-,-,-1,-,-10,-,+2(27),-,-,-,66%,Honorable,N,N,兰博望,刘思源,许凯胤
249,115,香港浸会大学,霸道隊友：上一世成爲黑紅的我重回ICPC西安，這一次我全都要。,2,192,+3(72),-,-,-,-18,-,-6,-,+3(40),-,-,-,66%,Honorable,N,N,蒋润浩,吴铮,贾子涵
249,115,暨南大学,怎么你俩都不在机房,2,192,+1(15),-,-,-,-,-1,-4,-,+5(97),-,-,-,66%,Honorable,N,N,刘昌源,黄一帆,郭彦培
251,,东北大学,东北大学_秦都半唐,2,196,+1(80),-,-,-,-5,-,-,-,+2(96),-,-,-,33%,Honorable,N,N,谢天石,张佳栋,黄宇帆
252,,东北大学,东北大学_面向样例程序设计,2,218,+3(116),-,-,-,-6,-,-8,-,+1(62),-,-,-,50%,Honorable,N,N,王百汇,施博文,董新畅
253,117,阿坝师范学院,火攻,2,229,+2(124),-,-,-,-2,-,-,-,+2(65),-,-,-,50%,Honorable,N,N,陈李鑫,李先笙,胡航
254,118,南昌大学,雪月花,2,238,+3(109),-,-,-,-9,-,-2,-,+2(69),-,-,-,60%,Honorable,N,N,胡书惠,何超,满曜嘉
255,119,广州大学,i * i = -1,2,239,+3(111),-,-,-,-2,-,-,-,+1(88),-,-,-,50%,Honorable,N,N,黎俊豪,谢艺瀚,吴梓涵
256,120,云南大学,华丽收场,2,251,+4(146),-,-,-,-1,-,-10,-,+1(45),-,-,-,60%,Honorable,N,N,周志昊,高凌豪,崔耀
257,,南京航空航天大学,找对象,2,255,+5(130),-,-,-,-1,-,-11,-,+1(45),-,-,-,66%,Honorable,N,N,陈梓鹏,李章锐,吕海亮
258,121,上海师范大学,你带着二次元头像说我是二次元？,2,256,+4(136),-,-,-,-7,-,-,-,+1(60),-,-,-,60%,Honorable,N,N,李至峰,林彬,王刚
259,,湖南大学,凌空摘星,2,262,+2(152),-,-,-,-2,-,-,-,+2(70),-,-,-,50%,Honorable,N,N,陈罡,朱潇庸,刘博文
260,122,集美大学,因为暮色将终,2,278,+2(182),-,-,-,-16,-,-4,-,+2(56),-,-,-,50%,Honorable,N,N,姚远,周鑫,颜秉轩
261,,南京理工大学,无知猫猫头,2,280,+4(175),-,-,-,-4,-,-,-,+1(45),-,-,-,60%,Honorable,N,Y,查怡安,徐菲阳,刘一欢
262,123,南阳理工学院,一哥一演一挂机,2,286,+4(190),-,-,-,-6,-,-,-,+1(36),-,-,-,60%,Honorable,N,N,毋华萍,周一涛,王士尧
263,,南京大学,智慧之树,2,292,+4(191),-,-4,-,-1,-,-3,-,+1(41),-,-,-,60%,Honorable,N,N,金昕炜,李睿星,陈新
264,,广东工业大学,qwq,2,300,+1(168),-,-,-,-3,-,-1,-,+1(132),-,-,-,0%,Honorable,N,N,冯天翔,廖家健,欧俊希
265,,广东工业大学,jump！！！！,2,308,+3(135),-,-,-,-5,-,-6,-,+3(93),-,-,-,66%,Honorable,N,N,杨子弘,林俊耿,肖能翔
266,,香港城市大学,此处应有一个队名,2,317,+3(190),-,-,-,-2,-,-2,-,+2(67),-,-,-,60%,Honorable,N,N,高立由,洪琛皓,王梵
267,124,东北师范大学,运行错误,2,376,+6(242),-,-,-,-,-,-17,-,+1(34),-,-,-,71%,Honorable,N,N,曹勇麟,齐昊坤,黎江楠
268,125,浙江工商大学,空花阳焰,2,387,-5,-,-,-,+6(263),-,-,-,+1(24),-,-,-,71%,Honorable,N,N,薛强,王哲,徐贤涛
269,,南方科技大学,南方科技大学-皮尔森,2,389,+7(196),-,-,-,-4,-2,-6,-,+1(73),-,-,-,75%,Honorable,N,Y,钟雨薇,项楚涵,王紫漩
270,126,西安欧亚学院,略去过程QED,2,395,+3(236),-,-,-,-1,-,-,-,+3(79),-,-,-,66%,Honorable,N,N,林川翔,刘家瑞,吴天乐
271,127,中国矿业大学,MineGPT5.0,2,396,+7(209),-,-,-,-,-,-3,-,+2(47),-,-,-,77%,Honorable,N,N,龚子贤,李岘,高宏智
272,,中国科学技术大学,摸鱼之魂终将归来,2,431,+4(137),-,-,-,-,-,-2,-,+5(154),-,-,-,77%,Honorable,N,N,林度,温家睿,陈凌峰
273,,南方科技大学,来都来了再让我打一次acm吧,2,459,+2(70),-,-,-,+6(269),-7,-,-,-,-,-,-,75%,Honorable,N,N,陈璐瑶,张嘉妤,李浩宇
274,,华南理工大学,神秘的蛙,2,515,+3(158),-,-,-,-,-,-,-,+6(217),-,-,-,77%,Honorable,N,N,吴友郅,黄子豪,涂序有
275,128,河南理工大学,橙子往昔,2,663,+6(202),-,-,-,-2,-,-1,-,+7(241),-,-,-,84%,Honorable,N,N,王郅明,罗峻函,高嘉琦
276,,同济大学,涅槃重生,1,37,-13,-,-,-,-,-,-14,-,+1(37),-,-3,-,0%,Honorable,N,N,白愈己,尚莉强,姜乃珲
277,129,沈阳理工大学,不祈者,1,57,-5,-,-,-,-,-,-1,-,+2(37),-,-,-,50%,Honorable,N,N,闻家尉,李龙飞,朱闿宸
278,,吉林大学,東雲端,1,305,-8,-,-,-,+2(285),-,-,-,-4,-,-,-,50%,Honorable,N,N,席乐媛,孔泉智,徐梓博
279,,香港理工大学,四川烟草,1,338,+7(218),-,-,-,-3,-,-,-,-2,-,-,-,85%,Honorable,N,N,孟祥宇,张畅羽,严章洋
280,,武汉理工大学,怎么队名都没想好就要打ecf了,0,0,-3,-,-,-,-,-,-,-4,-3,-,-,-,0%,Honorable,N,N,唐一弘,刘向奥,王起东
