Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
188,徐州工程学院,浮士德 (Faust),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,香港城市大学,CityU CS 1 (CityU CS 1),0,0,-,-,-,-,-,-,-1,-,-,-,-,-,-
188,宁波大学,蛤蝼世界 (Hallo world),0,0,-3,-,-1,-,-,-,-,-,-,-,-,-,-
188,南京信息工程大学,我不反队 (I agree),0,0,-,-,-,-,-2,-,-,-,-,-,-,-,-
188,西安邮电大学,达拉崩吧 (Variant),0,0,-3,-,-,-,-,-,-,-,-,-,-,-,-
188,郑州大学,对对队 (yea and right),0,0,-3,-,-,-,-,-,-,-,-,-,-,-,-
188,北京师范大学,巧乐兹 (Chocolates),0,0,-13,-,-,-,-,-,-3,-,-,-,-,-,-
188,浙江大学城市学院,不看晕针 (FineFineFine),0,0,-5,-,-,-,-,-,-,-,-,-,-,-,-
188,合肥工业大学宣城校区,午时已到 (); DROP TABLE teams;--),0,0,-7,-,-,-,-,-,-,-,-,-,-,-,-
188,华中科技大学,全都是错误 (All is bug),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-5
188,安徽大学,"跟我走吧，我们去打ACM！ (amd,yes!)",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,中南林业科技大学,中南林科大1队@xz (CSUFT-1@xz),0,0,-4,-,-,-,-,-,-,-,-,-,-,-,-
188,哈尔滨工程大学,喵喵喵 (meow meow meow),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,南京林业大学,新人 (New Fresh),0,0,-,-,-,-,-,-,-3,-,-,-,-,-,-
188,同济大学,圆环之理 (Loop Again),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,南开大学,我们没有中暑 (We are not delicious),0,0,-7,-,-,-,-,-,-,-1,-,-,-,-,-
188,山东大学（威海）,菊次郎的夏天 (summer),0,0,-,-,-,-,-,-,-6,-,-,-,-,-,-
188,济南大学,寒武纪 (Cambrian),0,0,-8,-,-,-,-,-,-,-,-,-,-,-,-
188,北京交通大学,鱼雷节拍 (Torpedo Beats),0,0,-9,-,-,-,-,-,-,-,-,-,-,-,-
188,武汉工程大学,咖喱棒 (Excalibur),0,0,-,-,-2,-,-,-,-,-,-,-,-,-,-
188,东北大学,边界 (NEU_Bound),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,湖南中医药大学,HNUCM-Coder (HNUCM-Coder),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,西北农林科技大学,伊特瑞特 (Iterator),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,中国海洋大学,启明星 (All stars),0,0,-1,-,-,-,-,-,-,-8,-,-,-,-,-
188,大连理工大学软件学院,顶呱呱 (Dingguagua),0,0,-4,-,-,-,-,-,-,-,-,-,-,-,-
188,福建师范大学,这只竹鼠好像中暑了，不如我们… (Roast bamboo rat ),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,西南石油大学,二轮草 (Anemone flaccida),0,0,-10,-,-,-,-,-,-,-,-,-,-,-,-
188,南开大学,我要一份色图 (Give me a pixiv id),0,0,-,-,-,-,-,-,-,-,-,-,-3,-,-6
188,东华大学,伟大航线 (Great Line),0,0,-4,-,-,-,-1,-,-,-,-,-,-,-,-
188,浙江大学城市学院,十八禁 (Happy_Sugar_Life),0,0,-9,-,-,-,-,-,-,-,-,-,-,-,-
188,安徽大学,灵魂暴力 (soul?codenutter),0,0,-4,-,-,-,-,-,-,-,-,-,-,-,-
188,湖南科技大学,超越星辰 (Galaxy),0,0,-12,-,-,-,-,-,-,-,-,-,-,-,-
188,浙江万里学院,超新星燃烧 (Supernova Combustion),0,0,-3,-,-,-,-,-,-,-,-,-,-,-,-
188,南京邮电大学通达学院,抱紧学弟大腿 (TD_XueDiSix),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,中国石油大学（华东）,燃烧我的卡路里 (Burn my calories),0,0,-4,-,-,-,-,-,-1,-,-,-,-,-,-
188,常州大学,矩阵的铁 (Rank of Matrix),0,0,-2,-,-,-,-,-,-,-,-,-,-,-,-
188,上海大学,未命名 (Unnamed),0,0,-5,-,-,-,-,-,-,-,-,-,-,-,-
188,浙江理工大学,我们都一样 (All men are created equal),0,0,-5,-,-,-,-,-,-,-,-,-,-,-,-
188,华东交通大学,露崎真昼想演闹钟 (Katou megumi daisukida),0,0,-1,-,-,-,-2,-,-5,-,-,-,-,-,-
188,南京晓庄学院,nxacm007 (nxacm007),0,0,-,-,-,-,-,-1,-,-,-,-,-,-,-
188,郑州轻工业学院,试着A一发 (zzuli_xz_TryIt),0,0,-2,-,-,-,-,-,-,-,-,-,-,-,-
188,长春工业大学,去xz打wwh (wwh will be hit in xz),0,0,-2,-,-,-,-,-,-,-,-,-,-,-,-
188,苏州大学,小乔，要努力变强 (Joe strive to become stronger),0,0,-9,-,-,-,-,-,-,-,-,-,-,-,-
188,杭州电子科技大学,杭电四队 (HDU-Flowers),0,0,-11,-,-,-,-,-,-7,-,-,-,-,-,-
188,南京晓庄学院,从您开始 (You Start),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,西安理工大学,爱雷姆真是太好了 (Rem is good),0,0,-,-,-,-,-,-,-,-,-,-,-,-1,-1
188,南阳理工学院,1226564 (birthday),0,0,-4,-,-,-,-,-,-,-,-,-,-,-,-
188,南京理工大学,什么都 (vegetable?chicken),0,0,-7,-,-,-,-,-,-,-,-,-,-,-,-
188,黑龙江大学,第六驱逐舰 (together-forever),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,中国传媒大学,模板搬运工 (Template Porters),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-3
188,常州大学,明天会更好 (To Be Better),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,上海科技大学,两只鸽子 (Two_Pigeon),0,0,-,-,-,-,-,-,-,-5,-,-,-,-,-
188,南昌航空大学,昌航软件梦想者 (NCHUSoftDreamer),0,0,-3,-,-,-,-,-,-,-,-,-,-,-,-
