Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,赤橙黄绿蓝紫,12,1059,+2(32),+1(53),+1(238),+1(89),+1(75),+2(163),+3(25),+1(203),+1(18),+1(35),+1(45),+1(3),-5,25%,Gold,蒋凌宇,钱易,,N,N
2,2,清华大学,Escape,11,1184,+1(27),+1(69),+4(233),+1(141),+3(120),+1(272),+1(20),-3,+1(51),+1(18),+2(109),+1(4),-,35%,Gold,任舍予,郭雨豪,郑玄晔,N,N
3,,清华大学,报名晚了,11,1543,+3(56),+1(69),+3(293),+1(137),+7(166),+5(234),+1(8),-1,+1(37),+2(84),+3(116),+1(3),-,60%,Gold,董亦骐,钟自厚,崔隽章,N,N
4,,北京大学,小杨树,10,1294,+3(61),+1(91),-,+2(216),+3(221),+2(275),+1(28),-,+2(41),+1(68),+1(144),+1(9),-,41%,Gold,杨欣烨,疏彦凯,肖千与,N,N
5,,清华大学,Make 519 great again,10,1315,+4(31),+1(118),-3,+2(131),+5(146),+2(256),+2(18),-,+2(43),+2(58),+2(217),+2(17),-,58%,Gold,冯政玮,肖子尧,吴畅,N,N
6,3,浙江大学,WF 在逃三人团,10,1344,+1(40),+2(66),-,+2(264),+4(109),+1(289),+1(34),-,+2(90),+1(74),+1(248),+1(10),-,37%,Gold,李克成,周转,朱睿哲,N,N
7,4,中山大学,中山大学_没有想法,9,747,+1(23),+1(98),-1,+1(151),+1(82),-,+2(15),-,+1(36),+1(49),+4(207),+1(6),-,30%,Gold,陈景泰,吴永聪,薛炜鹏,N,N
8,5,南方科技大学,南风点点,9,926,+2(35),+1(85),-,+1(234),+1(138),-,+1(15),-,+2(57),+1(53),+3(218),+1(11),-,30%,Gold,林政宇,薛哲,曾子华,N,N
9,6,复旦大学,密码八个八,9,961,+1(24),+1(89),-,+3(285),+2(149),-2,+1(47),-,+1(35),+1(55),+1(202),+1(15),-,25%,Gold,陈禹卓,杜泊谷,曾添琪,N,N
10,7,东北大学,东北大学_出毛！,9,970,+2(53),+1(80),-,+2(241),+1(104),-5,+3(40),-,+1(68),+3(32),+4(156),+1(16),-,50%,Gold,苏焜,仝家驹,周尧,N,N
11,8,南京大学,优质解答：我不知道,9,972,+1(29),+1(95),-,+2(282),+2(143),-,+1(13),-,+2(71),+2(58),+1(171),+2(10),-,35%,Gold,陈弘毅,林荣恩,郑欣,N,N
12,9,中国科学技术大学,Ben神，启动,9,1017,+1(57),+1(103),-,+2(285),+1(187),-8,+1(61),-,+2(87),+2(27),+1(144),+1(6),-,25%,Gold,陈聆祎,陈骆鑫,樊澄宇,N,N
13,10,南京航空航天大学,错误,9,1020,+1(46),+1(145),-,+4(258),+1(214),-1,+2(36),-,+1(67),+1(55),+1(114),+1(5),-,30%,Gold,吕俊琪,赵乐坤,胡昊天,N,N
14,,北京大学,饿鳄鱼,9,1078,+4(47),+1(95),-,+3(231),+1(210),-1,+1(59),-,+1(70),+1(104),+1(155),+1(7),-,35%,Gold,陈易涵,张乐天,程伟伦,N,N
15,,南京大学,食堂难民走线和园卖花,9,1161,+1(22),+1(160),-,+2(264),+4(190),-,+1(63),-,+1(46),+2(76),+1(205),+2(15),-,40%,Gold,杨宇轩,陈思睿,冯烨聪,N,N
16,11,香港中文大学（深圳）,通顶雪道,9,1202,+2(38),+1(94),-,-5,+5(147),+9(267),+2(56),-,+1(49),+1(67),+2(179),+1(5),-,62%,Gold,忙秋阳,郭青硕,孙悠然,N,N
17,12,杭州电子科技大学,杭电3队,9,1216,+1(28),+1(102),-,+2(299),+3(231),-,+1(32),-,+1(49),+2(68),+3(280),+1(7),-,40%,Gold,闻人雨泽,周靖凯,傅景康,N,N
18,,北京大学,去年看错题了。,9,1281,+4(50),+1(141),-,+4(249),+3(157),-,+1(17),-,+3(41),+1(58),+3(276),+3(12),-,60%,Gold,郑皓元,闫昕,汪之茗,N,N
19,,南京大学,智慧之树,9,1305,+2(30),+1(105),-,+5(243),+8(280),-,+1(25),-,+3(95),+3(58),+2(122),+1(7),-,65%,Gold,金昕炜,陈新,李睿星,N,N
20,,复旦大学,学海无涯，回头是岸,9,1311,+2(66),+1(146),-,+4(136),+1(212),-,+1(39),-,+3(198),+4(110),+2(196),+1(8),-,52%,Gold,崔博钧,阚子淳,莫骐彰,N,N
21,,浙江大学,托腮,9,1312,+1(37),+5(231),-,+2(288),+1(240),-,+1(50),-,+2(85),+1(97),+1(145),+1(19),-,40%,Gold,陈君林,王子尧,黄旭彬,N,N
22,13,浙江工业大学,月球猫猫,8,720,+1(26),+2(97),-,-2,+4(169),-,+3(30),-,+1(45),+2(59),+1(142),+1(12),-,46%,Gold,陈泓睿,陆徐豪,李汶芝,N,N
23,14,哈尔滨工业大学,W4p3r Fan Club,8,811,+1(21),+1(116),-,-2,+1(146),-,+1(36),-,+4(84),+2(69),+1(252),+1(7),-,33%,Gold,方智鉴,范嘉涵,孔敬德,N,N
24,,中山大学,中山大学_古希腊掌管罚时的神,8,835,+2(28),+1(130),-3,-3,+2(72),-,+3(60),-,+3(95),+1(100),+1(198),+2(12),-,46%,Gold,雷灏,覃锐麟,刘开予,N,N
25,,南方科技大学,南方科技大学-皮尔森,8,1012,+2(79),+1(100),-,+7(245),-8,-,+1(19),-,+3(129),+1(57),+1(194),+1(9),-,52%,Gold,王紫漩,钟雨薇,项楚涵,N,N
26,,中国科学技术大学,摸鱼之魂终将归来,8,1041,+2(66),+1(130),-,+2(264),+3(225),-,+1(28),-,+1(141),+1(79),-7,+2(8),-,38%,Gold,温家睿,林度,陈凌峰,N,N
27,15,西安交通大学,宇宙将为你闪烁,8,1047,+1(17),+3(128),-,-3,+3(272),-,+2(38),-,+2(158),+3(75),+2(172),+1(7),-,52%,Gold,王禹皓,石皓文,邓熙健,N,N
28,16,武汉科技大学,RELX悦刻幻影PRO,8,1099,+2(60),+1(159),-,-,+3(273),-,+1(26),-,+1(121),+5(88),+1(217),+1(15),-,46%,Gold,孙煜恒,朱俊杰,万家梁,N,N
29,17,北京邮电大学,好好想想,8,1332,+1(41),+1(154),-,-,+3(229),-,+2(62),-,+5(222),+4(120),+3(257),+1(7),-,60%,Gold,司睿洋,尹昱钦,张泽文,N,N
30,,南京大学,南小鸟,8,1508,+2(81),+3(250),-,+7(296),+3(204),-,+1(112),-,+4(136),+1(139),-,+1(10),-,63%,Gold,周相羽,贺卓宇,朱家辰,N,N
31,,香港中文大学（深圳）,新建文件夹,7,600,+1(28),+1(139),-,-1,+1(199),-,+1(53),-,+2(90),+1(66),-,+1(5),-,12%,Gold,莫骄阳,周信言,邓有权,N,N
32,18,上海交通大学,电光火石的前奏,7,674,+2(37),+1(131),-,-,-4,-,+1(28),-,+2(102),+1(73),+1(258),+1(5),-,22%,Silver,黄佳瑞,钱智煊,车昕宇,N,N
33,,上海交通大学,复活者联盟,7,692,+2(93),+1(122),-,-,-4,-,+1(56),-,+2(85),+2(32),+1(238),+1(6),-,30%,Silver,赵有榛,黄烨威,张博钜,N,N
34,19,四川大学,难题逆转小队,7,693,+2(11),+1(103),-,-,-8,-,+3(27),-,+3(63),+2(68),+1(284),+1(17),-,46%,Silver,李名骕,杨轶涵,黄云垄,N,N
35,20,哈尔滨工程大学,我推的七海爆吃0721次罚时因为在原神启动,7,701,+2(32),+2(155),-,-2,-,-,+1(41),-,+1(129),+1(63),+1(233),+1(8),-,22%,Silver,宿斯玮,黄凯鹏,吴兆昕,N,N
36,21,华南理工大学,神秘的蛙,7,703,+2(45),+1(120),-,-1,+2(284),-,+1(44),-,+1(70),+1(85),-1,+1(15),-,22%,Silver,涂序有,黄子豪,吴友郅,N,N
37,,上海交通大学,凌晨烈日晖光,7,708,+4(74),+1(156),-,-,-8,-,+1(28),-,+2(58),+1(92),+1(216),+1(4),-,36%,Silver,柳烨,秦一苇,郝尚诚,N,N
38,22,华中科技大学,零,7,747,+2(80),+1(119),-,-,-10,-,+1(45),-,+2(105),+1(70),+3(216),+2(12),-,41%,Silver,刘星佳,黄暄骜,刘铖,N,N
39,,杭州电子科技大学,杭电8队,7,795,+1(38),+1(165),-,-,+4(290),-,+1(34),-,+2(86),+1(94),-2,+1(8),-,36%,Silver,金佳栋,许钟乐,余邦轩,N,N
40,,浙江大学,乌拉呀哈 呀哈乌拉,7,801,+2(27),+1(155),-,+2(278),-5,-,+2(55),-,+1(95),+2(78),-,+2(13),-,41%,Silver,丁思韬,金政羽,余承恩,N,N
41,23,浙江师范大学,该戒网瘾了,7,814,+2(55),+1(166),-,-,+3(269),-,+1(37),-,+1(86),+2(108),-1,+1(13),-,36%,Silver,嵇纹垲,陈炯荣,张煜,N,N
42,24,福州大学,最佳小丑,7,830,+1(50),+1(171),-,-3,+2(240),-,+4(122),-,+2(95),+1(45),-,+1(7),-,41%,Silver,林东颖,傅安,江滢怡,N,N
42,24,中国人民大学,嘉然今天创什么,7,830,+1(20),+2(195),-,-3,+4(285),-,+1(26),-,+4(91),+1(44),-,+2(9),-,53%,Silver,李林豇,汪元森,任秦江,N,N
44,,华南理工大学,Fast Fast TLE,7,835,+1(61),+1(175),-,-,-1,-,+2(46),-,+2(101),+2(125),+1(254),+1(13),-,30%,Silver,吴挺宇,吴尚鸿,甘景贤,N,N
45,,杭州电子科技大学,杭电6队,7,925,+3(60),+1(138),-,-,-3,-,+2(73),-,+4(201),+2(77),+2(176),+1(40),-,53%,Silver,张劭晗,陈煜,阮虹涛,N,N
46,26,哈尔滨工业大学（深圳）,潜水小怪,7,931,+2(48),+2(210),-,+2(163),-7,-,+1(14),-,+5(158),+4(132),-,+1(6),-,58%,Silver,孙宇开,羊柯伍,梁彬,N,N
47,,杭州电子科技大学,杭电9队,7,944,+1(31),+1(168),-,-,+4(294),-,+3(98),-,+2(98),+1(123),-1,+1(12),-,46%,Silver,冯松权,沈泽楷,沈栩冉,N,N
48,,北京邮电大学,网瘾犯了求求你把牌子给我,7,946,+1(45),+1(168),-,-1,-3,-,+3(70),-,+1(189),+3(92),+2(256),+2(6),-,46%,Silver,刘益铭,陈杰祥,谢志宏,N,N
49,27,山东理工大学,清纯白毛小萝莉,7,980,+1(78),+1(191),-,-,-1,-,+1(48),-,+3(142),+2(107),+4(279),+1(15),-,46%,Silver,王鹤翱,从文杰,孙童乐,N,N
49,27,华南农业大学,公司写题跟nm偷情一样,7,980,+2(54),+2(225),-,-,-1,-,+1(27),-,+4(190),+1(95),+1(280),+1(9),-,41%,Silver,梁嘉俊,陈国豪,何勤政,N,N
