Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,A,B,C,D,E,F,G,H,I,J,K,L,M
293,西安邮电大学,达拉崩吧,2,432,Honorable,牛淑敏,唐阳,薛雨晴,,,,,+3(107),,,,,,,+6(185),
294,湖南中医药大学,湖中大南昌一队,2,434,Honorable,胡雅晖,杨冯天赐,邹伟红,,,+3(183),,-9,,,,,,,+6(111),
295,潍坊学院,明天双十一,2,449,Honorable,陈允倩,宋晨龙,张启瑞,,,,,+4(245),,,,,,,+3(104),
296,东北师范大学,桃饱网会员,2,450,Honorable,陈胤儒,段木多,高赫然,,,+6(160),,,,,,-2,,,+6(90),
297,山东理工大学,仙女队,2,453,Honorable,解晓雨,腾龙,王诗音,,,+2(130),,-6,,-2,,,,,+8(163),
298,南阳理工学院,队名很重要吗？,2,455,Honorable,李诗琪,鲁怡捷,赵冬杰,,,-1,,+3(275),,,,,,,+3(100),
299,江西理工大学南昌校区,到此一游,2,461,Honorable,陈雪琴,王年平,徐洋,,,+1(298),,,,,,,,,+5(83),
300,北京化工大学,队友不能鸽,2,541,Honorable,姜哲玺,刘源源,章文,,,,,+1(111),,-1,,,,,+8(290),
301,陕西科技大学,至诚至博,2,543,Honorable,黄珂韵,李智春,杨洋,,,+3(123),,-2,,-2,,,,,+8(240),
302,华南师范大学,DeDeRong_SCNU_CS,2,544,Honorable,曾德明,陈徳捷,李嘉荣,,,+2(230),,,,,,,,,+8(154),
303,合肥学院,炼铁憨憨,2,623,Honorable,方瑞,胡辰阳,张凌浩,,,+3(265),,,,,,,,,+8(178),
304,西南民族大学,SMU_蜀客,2,697,Honorable,何佳文,龙沛,尚正宇,,,,,+4(296),,,,,,,+4(281),
305,上海第二工业大学,谁特么买小米儿队,1,38,Honorable,程新状,崔婉冰,李琛超,,,,,,,,,,,,+1(38),
306,上海第二工业大学,菠菜贱卖队,1,66,Honorable,何俞瑾,吴仁亮,张鑫来,,,-9,,,,,,,,,+2(46),
307,中南民族大学,看队友敲代码,1,76,Honorable,石雷鸣,万祚全,余关林,,,-2,,-8,,,,,,,+2(56),
308,南华大学,塔子哥来了嗷,1,152,Honorable,许昕,杨仕昌,袁豪,,,-1,,,,,,,,,+4(92),
309,安徽工业大学,世界颠倒,1,193,Honorable,郝宇欣,琚泽浩,朱广恩,,,-1,,-4,,-2,,,,,+6(93),
310,华东交通大学,按F进入坦克,1,206,Honorable,蔡佳明,蔡泽辉,曾君平,,,,,+2(186),,,,,,,-8,
311,兰州理工大学,有一说一,1,213,Honorable,苟慜,李毅,严宏钦,,,-3,,,,,,,,,+4(153),
312,南昌理工学院,白给,1,225,Honorable,李加煌,刘军,杨意飞,,,,,-2,,,,,,,+5(145),
313,湖北民族大学,HBMZU,1,239,Honorable,李刚,王琦,徐承睿,,,,,,,,,,,,+4(179),
314,鲁东大学,星星之火,1,273,Honorable,何海钊,姜浩男,李运来,,,-1,,,,,,,,,+5(193),
315,闽江学院,打完这场就退休,1,310,Honorable,陈洲,林国荣,林智铸,,,,,-5,,,,,,,+7(190),
316,三峡大学,求求你给我两个牌牌吧,1,388,Honorable,蔡婷艳,李蕊芬,肖焰,,,-4,,-1,,,,,,,+9(228),
317,黑龙江大学,随便、都行、都可以,1,394,Honorable,陆鹏艺,盛诗曼,张楚晗,,,-6,,,,,,,,,+8(254),
318,武昌首义学院,我将绝杀,1,457,Honorable,黄澳,蒋佳洲,吴思达,,,-4,,-1,-1,,-1,,,,+9(297),
319,南京邮电大学通达学院,从打铁开始,1,480,Honorable,邓捷,缪逸峰,孙宇飞,,,,,,,,,,,,+12(260),
320,泉州师范学院,在鹿上了,1,549,Honorable,郭娜婷,林志鹏,王艺,,,-14,,,,,,,,,+15(269),
321,中国矿业大学,abc你没事了,0,0,Honorable,李佳琛,邱雪琳,姚欣宇,,,,,-3,,,,,,,-12,
322,广西师范大学,QBLxiu,0,0,Honorable,何世焕,李正杨,石梁涛,,,,,,,,,,,,-20,
323,华东交通大学理工学院,WA自动机,0,0,Honorable,王天福,温鑫,张攀,,,-6,,,,,,,,,-6,
324,西安航空学院,参赛人数请见本队排名,0,0,Honorable,卢柄宇,韩丽萍,孙科强,,-3,-17,,,,,,,,,-1,
325,河南大学,小叮当了个白肚兜,0,0,Honorable,刘盖,唐源民,郑超凡,-1,,-2,,-1,,,,,,,-14,
326,天津大学仁爱学院,小班班啊！！！,0,0,Honorable,班晓蒙,李帅,王志涛,,,,,,,,,,,,-15,
327,南昌理工学院,狂热金属,0,0,Honorable,曾若天,李能高,郑家明,,,,,,,,,,,,-6,
328,山东农业大学,练习敲代码时长一年半的练习生,0,0,Honorable,李金鸿,邵光亮,于宗祺,,,-1,,,,,,,,,-5,
329,江西科技学院,让我康康签到题在哪,0,0,Honorable,李祖武,刘小勇,王佩文,,,-5,,,,,,,,,-7,-1
330,河北师范大学,逆转命运,0,0,Honorable,安康,古锦涛,孟祥新,,,-3,,,,,,,,,,
331,南昌工程学院,铁人打铁,0,0,Honorable,李凯,钱昆,邱刘君,,,,,,,,,,,,-8,
