Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Unofficial,Girl
167,88,哈尔滨理工大学,哈理工6队,3,691,-,+3(286),-,-,-,+1(26),-,-,-,-,-,+8(199),-,75%,N,N
168,,哈尔滨工业大学（深圳）,骗分大队,3,700,-,-,-,-,-,+1(18),-,-,-,-,+1(157),+13(285),-,80%,N,N
169,89,浙江财经大学,渣男天团,3,814,-,-,-,+19(266),-,+1(20),-,-,-,-,-,+2(148),-,86%,N,N
170,,西南科技大学,发落皈依，卿容犹记,3,817,-,+11(269),-,-,-,+1(35),-,-,-,-,-6,+3(273),-,80%,N,N
171,,中国人民大学,口古合鸟,3,838,-4,-,-,-,-,+2(22),-,-,-,-,+9(234),+10(222),-,85%,N,N
172,90,浙江农林大学,学习使我快乐,3,915,+1(270),-,-,-,-,+4(95),-,-,-,-,-,+11(290),-,81%,N,N
173,91,武汉科技大学,就这么喜欢写代码咩？你这个小秃头,2,62,-10,-3,-,-,-,+1(22),-,-,-,-,-4,+1(40),-,0%,N,N
174,92,中北大学,最菜的小白菜,2,64,-4,-2,-,-,-,+1(21),-,-,-,-,-,+1(43),-,0%,N,N
175,,西北工业大学,教练，我们学校有牌啦,2,83,-4,-,-,-,-,+1(20),-,-,-,-,-,+1(63),-,0%,N,N
176,,浙江农林大学,AC不如跳舞,2,92,-,-,-,-,-,+1(25),-,-,-,-,-4,+1(67),-,0%,N,N
177,,天津大学,三个两百多斤的嘤国大理石,2,99,-4,-,-,-,-,+1(58),-,-,-,-,-1,+1(41),-,0%,N,N
178,,哈尔滨工程大学,撒网摸鱼,2,101,-18,-,-,-,-,+3(25),-,-,-,-,-1,+1(36),-,50%,N,N
178,,中国科学技术大学,0x03A2C940,2,101,-,-,-,-2,-,+1(35),-,-,-,-,-2,+1(66),-,0%,N,N
180,,西安交通大学,对对队,2,110,-6,-3,-,-,-,+1(25),-,-,-,-,-,+2(65),-,33%,N,N
181,,西安电子科技大学,灵稽一动,2,114,-,-,-,-,-,+1(17),-,-,-,-,-5,+1(97),-,0%,N,N
182,,武汉科技大学,呐，你也想要KiraKira吗？,2,116,-,-5,-,-,-,+1(21),-,-,-,-1,-,+2(75),-,33%,N,N
183,93,河北工业大学,铁牌镀铜,2,125,-,-,-,-9,-,+1(33),-,-,-,-,-,+1(92),-,0%,N,N
184,,西安电子科技大学,转眼间又在下雨,2,132,-,-,-,-,-,+1(40),-,-,-,-8,-,+1(92),-,0%,N,N
185,,哈尔滨工程大学,噔噔咚,2,133,-3,-,-,-,-,+1(23),-,-,-,-,-,+2(90),-,33%,N,N
186,94,中国传媒大学,赛前必吃烧鸭饭,2,138,-,-,-,-,-,+2(33),-,-,-,-,-8,+2(65),-,50%,N,N
