Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,清华大学,一更人,8,1030,+1(250),-,+3(42),+1(13),+2(47),-,-1,-,-,+4(77),+1(51),+1(192),+2(218),46%,Gold,叶卓睿,周欣,虞皓翔,N,N
2,2,浙江大学,虚空之梦,8,1190,-7,-,+1(143),+2(104),+3(68),-,+2(222),+1(272),-,+1(66),+2(48),+1(167),-,38%,Gold,彭博,褚写庭,陈逸,N,N
3,,清华大学,盖世汤圆,7,834,+1(229),-,+1(68),+2(29),+1(177),-,-,-,-,+4(74),+1(13),+1(164),-2,36%,Gold,张哲宇,方汤骐,毛嘉怡,N,N
4,,清华大学,退役菜鸡纯送,7,1267,-,-,+1(140),+4(125),+3(171),-,-,-,-,+3(54),+1(52),+1(274),+2(291),53%,Gold,叶昊星,徐嘉浩,王文铎,N,N
5,3,杭州电子科技大学,杭电2021-2队,6,780,-,-,+2(40),+6(199),+1(117),-,-,-,-,+1(96),+2(19),+1(169),-,53%,Gold,尹吴潇,戴志炜,赵政和,N,N
6,4,电子科技大学,UESTC_对不起,6,904,+1(172),-,+1(72),+2(278),+2(246),-,-,-,-,+1(27),+2(49),-,-,33%,Gold,凤奕鸣,陈俊杰,陈则行,N,N
7,5,天津大学,树状数组维护01背包,6,930,-,-,+1(91),+2(188),+1(289),-,-,-,-,+4(81),+1(30),+1(171),-,40%,Gold,何志凌,杜鼎勋,王文斌,N,N
8,6,中国科学技术大学,cabbage,6,1023,-,-,+3(145),+5(195),+1(242),-,-,-,-,+2(172),+1(36),+1(93),-,53%,Gold,朱晨曦,殷跃然,王涵斌,N,N
9,,浙江大学,老师饿饿让让芙兰,6,1035,-,-,+1(126),+5(161),+1(237),-,-1,-,-,+2(94),+1(43),+1(274),-,45%,Gold,叶佳昂,林响烨,王海纳,N,N
10,,清华大学,错的不是我是队友,5,638,-,-,+1(66),-8,+2(97),-,-,-,-,+1(128),+1(72),+3(215),-,37%,Gold,卢一鸣,林凯风,邓晗,N,N
11,,杭州电子科技大学,杭电2021-4队,5,664,-,-,+1(136),+1(85),-,-,-,-,-,+1(104),+1(40),+1(299),-,0%,Gold,俞天瑞,蔡思林,阮宇宁,N,N
12,,中国科学技术大学,罚时要罚到无穷,5,674,-,-,+1(157),-13,+1(136),-,-,-,-,+1(91),+1(27),+1(263),-,0%,Gold,丁子尧,吕泽龙,张天,N,N
13,7,中山大学,中山大学-卡布奇诺,5,862,-,-,+1(211),-,+4(290),-,-,-,-,+1(155),+1(89),+1(57),-,37%,Gold,吴景图,曾比,梁励,N,N
14,8,哈尔滨工程大学,噔噔咚,5,878,-,-,+1(109),+7(205),-,-,-,-,-,+3(59),+1(26),+2(299),-,64%,Gold,官毅,王昊宇,王洋,N,N
15,9,北京航空航天大学,我不知道.png,5,896,-,-,+2(276),+4(99),+1(236),-,-,-,-,+3(152),+1(13),-,-4,54%,Gold,冯玮琪,廖纪童,牟钰,N,N
16,10,北京化工大学,随便吧，我也没想法,5,897,-,-,+1(148),+4(100),+5(286),-,-,-,-,+5(124),+1(19),-,-,68%,Gold,叶可,庄禹,张世东,N,N
