Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
93,55,山东师范大学,爆零就去玩原神,6,870,+4(100),+1(168),+1(249),-,-,-,+1(14),-,-,+1(22),-,+2(237),-,40%,Silver,李佳恒,吕俊东,孙智毅,N,N
94,56,浙江工商大学,男生ACM单字极品ID,6,871,+2(66),+2(139),+1(290),-,-,-,+2(27),-,-,+1(37),-,+2(232),-,40%,Silver,姚益浩,丁豪,邬博丞,N,N
95,57,国防科技大学,再让我A一道,6,872,+3(60),+3(285),-,+2(275),-,-,+1(30),-,-,+1(17),-,+1(105),-,45%,Silver,张航耀,左智文,刘景毅,N,N
96,58,上海科技大学,羽生萌萌香鱼子酱,6,926,+6(74),+1(79),-1,-2,-,-,+2(35),-,-,+1(9),+13(263),+1(106),-,75%,Silver,李承熙,陶孜铖,黄扬铭,N,N
97,,华中科技大学,长歌,6,943,+3(102),+2(215),+2(249),-,-,-,+2(13),-,-,+1(22),-,+6(142),-,62%,Bronze,潘喆,向恩泽,冯元宁,N,N
98,,香港中文大学,無腦開吃,6,955,+4(113),+5(297),-,+1(189),-,-,+2(18),-,-,+1(12),-,+3(126),-,62%,Bronze,黄梓谦,黄文礼,Poonyapat Sriroth,N,N
99,,浙江工商大学,迷迭香_fan,6,1003,+6(85),+2(242),+1(285),-,-,-,+3(28),-,-,+1(13),-,+1(190),-,57%,Bronze,沈士渊,魏嘉豪,徐晨阳,N,N
100,59,暨南大学,麻辣火锅涮白切鸡,6,1004,+15(217),+1(97),-,+2(293),-,-,+1(16),-,-,+1(23),-,+1(58),-,71%,Bronze,黄一帆,郭志翔,王星钱,N,N
101,,北京邮电大学,吃堡饱队,6,1191,+3(84),+2(148),-,+9(296),-,-,+3(34),-,-,+1(25),-,+4(284),-,72%,Bronze,金旭一,单一凡,吴优,N,N
102,,华中科技大学,哈斯特坐牢领域大神,5,356,+4(90),+1(112),-10,-2,-,-,+1(14),-,-,+1(21),-,+1(59),-,37%,Bronze,杨逸轩,潘裕洲,武琪峻,N,N
103,60,中国农业大学,CAU_CiAllo University,5,389,+1(58),+1(88),-3,-,-,-,+1(22),-,-,+1(31),-,+1(190),-,0%,Bronze,杨维昊,桑浩翔,王曦田,N,N
104,61,浙江科技大学,djwcb,5,444,+1(74),-4,+1(177),-,-,-,+2(22),-,-,+1(32),-,+1(119),-,16%,Bronze,孙以恒,范思哲,徐林灿,N,N
105,,中国科学院大学,月落天白,5,463,+2(114),+1(72),-,-2,-,-,+2(20),-,-,+1(29),-,+1(188),-,28%,Bronze,石曜铭,吕安哲,尤俊翔,N,N
106,62,云南大学,安卓思维,5,464,+2(90),+1(129),-,-5,-,-,+3(27),-,-,+2(22),-,+2(96),-,50%,Bronze,周志昊,高凌豪,毕洲铭,N,N
107,63,湖南大学,凌空摘星,5,484,+4(122),+1(155),-11,-,-,-,+1(27),-,-,+1(13),-,+2(87),-,44%,Bronze,刘博文,朱潇庸,陈梵,N,N
108,,武汉大学,哇多麼好的機會啊,5,498,+3(65),+2(107),-5,-,-,-,+1(28),-,-,+1(20),-,+2(198),-,44%,Bronze,吴悠,文质彬,肖涵卓,N,N
109,,东北大学,东北大学_魔法霰弹,5,502,+3(72),+1(155),-,-1,-,-,+2(29),-,-,+1(30),-,+2(136),-,44%,Bronze,李卓恒,袁家铭,秦子溪,N,N
110,,四川大学,OG-C,5,509,+3(178),+1(51),-4,-1,-,-,+2(18),-,-,+1(22),-,+2(160),-,44%,Bronze,吴卓琦,黄奕浩,江来,N,N
111,,哈尔滨工业大学,想成为人类,5,526,+1(70),-7,-,+3(254),-,-,+1(22),-,-,+1(32),-,+1(108),-,28%,Bronze,许岩,王君迈,姜郑康,N,N
112,64,山东理工大学,我是天选，也是唯一,5,530,+1(89),+1(218),-,-1,-,-,+2(17),-,-,+1(42),-,+1(144),-,16%,Bronze,梁嘉坤,张龙庆,王一铭,N,N
113,65,同济大学,Non-Trivial TLE,5,537,+2(87),+1(201),-,-,-,-,+2(23),-,-,+2(25),-5,+1(141),-,37%,Bronze,许思源,潘越,上官思洋,N,N
114,66,吉林大学,栈深不知处,5,539,+2(73),+2(256),-1,-,-,-,+1(18),-,-,+2(32),-,+1(100),-,37%,Bronze,毛胜超,王星皓,石津豪,N,N
115,67,南京信息工程大学,旧梦新章,5,541,-10,+1(69),+3(272),-,-,-,+1(16),-,-,+1(22),-,+1(122),-,28%,Bronze,刘阳元,边上策,魏天佑,N,N
116,,中国传媒大学,葬送的acmer与香辛料,5,548,+3(81),+1(112),-9,-,-,-,+2(23),-,-,+1(30),-,+4(182),-,54%,Bronze,李善朔,余逸阳,赵俊凯,N,N
117,68,浙大城市学院,二三四,5,566,+3(110),+1(215),-1,-1,-,-,+1(16),-,-,+1(22),-,+1(163),-,28%,Bronze,宋珂鑫,林盛,许航杰,N,N
118,,华南理工大学,Fast Fast TLE,5,569,+2(84),-6,-,+3(156),-,-,+1(11),-,-,+1(21),-,+1(237),-,37%,Bronze,吴挺宇,甘景贤,吴尚鸿,N,N
119,69,重庆移通学院,願いが叶う場所,5,615,+3(118),+1(211),-5,-,-,-,+2(24),-,-,+2(35),-,+1(147),-,44%,Bronze,李德立,漆林虎,詹毅涵,N,N
120,70,北京交通大学,不是我喜欢的罚时，直接无视,5,622,+2(82),+2(236),-,-1,-,-,+2(31),-,-,+1(30),-,+1(183),-,37%,Bronze,宋杲行,张恩崎,陈昊廷,N,N
121,,广东工业大学,qwq,5,634,+5(91),+1(260),-3,-,-,-,+1(22),-,-,+1(16),-,+1(165),-,44%,Bronze,廖家健,冯天翔,欧俊希,N,N
122,71,成都理工大学,国际漫游,5,635,+2(178),+1(222),-,-5,-,-,+4(55),-,-,+1(17),-,+1(83),-,44%,Bronze,刘俊,陈宇枫,杨轩宇,N,N
123,72,香港理工大学,何意味,5,644,+4(121),+1(224),-,-,-,-,+1(46),-,-,+1(16),-1,+2(157),-,44%,Bronze,卢昱辰,钱旻灏,张兆和,N,N
124,73,杭州师范大学,楚庾风月,5,661,+2(76),+5(296),-,-1,-,-,+3(33),-,-,+1(29),-,+1(87),-,58%,Bronze,张俊涛,徐浩哲,戴子晟,N,N
125,74,江西农业大学,领航者,5,671,+2(72),-13,+4(283),-,-,-,+3(25),-,-,+2(29),-,+1(122),-,58%,Bronze,刘圣丰,江柏霖,吴楚扬,N,N
126,75,河南师范大学,循环线段树,5,673,+2(107),+1(181),-,-,-,-,+1(49),-,-,+1(22),-,+3(254),-,37%,Bronze,侯炳旭,吴帅甫,曹继喆,N,N
127,,南开大学,数智省身_在此输入队名,5,679,+3(127),+1(212),-,-3,-,-,+4(37),-,-,+1(22),-,+2(161),-,54%,Bronze,王重阳,谢北宸,陈家锐,N,N
128,,上海科技大学,惊天大涅槃,5,686,+4(59),-2,-,+4(244),-,-,+2(17),-,-,+2(25),-,+3(141),-,66%,Bronze,居然,王旻昊,杨子烆,N,N
129,,哈尔滨工业大学,睡到自然醒,5,706,+1(121),+1(222),-,-4,-,-,+1(21),-,-,+1(27),-,+5(235),-,44%,Bronze,曾浩锐,任相龙,徐明拯,N,N
130,,华中科技大学,哈斯特气气,5,731,+2(168),+5(225),-,-,-,-,+1(15),-,-,+1(21),-,+1(202),-,50%,Bronze,万仁杰,李东豪,黄国栋,N,N
131,76,合肥工业大学,二进制算法研究,5,763,+2(159),+1(194),-,-,-,-,+2(24),-,-,+1(35),-,+2(291),-,37%,Bronze,王熠辉,程云哲,张麒麟,N,N
