Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,逆十字,12,1326,+1(3),+1(192),+5(294),+1(45),+3(73),+1(86),+3(84),+2(50),+3(131),+1(23),+1(116),-1,+1(9),47%,Gold,周雨扬,孔朝哲,潘骏跃,N,N
2,2,浙江大学,Heltion & l1ll5 & SSerxhs,11,1380,+1(3),-,+3(189),+1(35),+1(71),+1(112),+1(68),+2(126),+2(294),+1(30),+1(254),-,+3(78),35%,Gold,凌子恒,吕耀维,赵广泽,N,N
3,3,清华大学,UB本当上手,10,1364,+1(7),-,-,+1(36),+5(187),+2(214),+1(70),+1(121),+1(175),+1(22),+4(293),-,+2(59),47%,Gold,于剑,张艺缤,杨耀良,N,N
4,,清华大学,雪见,10,1394,+1(3),-,-,+1(76),+2(151),+1(214),+1(107),+2(49),+4(286),+1(47),+3(226),-,+1(95),41%,Gold,李骥,杜伟桦,陆明琪,N,N
5,,清华大学,混学分,10,1454,+1(4),-,-,+1(55),+3(95),+1(143),+3(123),+2(170),+3(266),+1(33),+4(276),-,+1(89),50%,Gold,孙诺舟,李泽清,魏辰轩,N,N
6,,北京大学,淹园外被鸽的鸽子,10,1477,+1(3),-,-2,+1(23),+4(197),+1(219),+1(85),+1(246),+1(123),+1(26),+1(272),-,+1(223),23%,Gold,吴清月,胡晋侨,袁傲慕飞,N,N
7,4,上海交通大学,未至之境,9,827,+2(4),-,-,+2(31),+3(80),+1(138),+1(77),+1(109),+1(261),+1(19),-8,-,+1(28),30%,Gold,方家昊,罗成元,钟林昊,N,N
8,,北京大学,《上个大学这么多事呢》,9,963,+1(11),-,-3,+1(55),+6(199),+1(182),+2(32),+2(146),+1(134),+1(39),-2,-,+1(25),43%,Gold,吴永彤,林立,钟俊权,N,N
9,5,南京大学,Thedereap,9,1322,+1(4),-,-,+1(44),+11(248),+1(271),+1(100),+2(79),-,+2(44),+1(170),-,+1(122),57%,Gold,张浩宇,林荣恩,陈晓,N,N
10,,北京大学,找不到该队,9,1361,+1(4),-,-,+1(73),+3(218),+1(248),+1(92),+1(173),+1(278),+2(56),-12,-,+3(119),35%,Gold,余快,戴傅聪,陈奇之,N,N
11,6,杭州电子科技大学,杭电2021-2队,9,1389,+2(10),-,-10,+2(54),+4(212),+1(117),+3(86),+1(223),+6(295),+2(39),-,-,+1(93),59%,Gold,尹吴潇,戴志炜,赵政和,N,N
12,7,武汉大学,删点引猹,9,1558,+1(8),-,-,+1(84),+11(260),+2(222),+1(71),+1(152),-,+2(54),+7(289),-,+2(38),67%,Gold,侯哲,冯烨聪,蔡玉聪,N,N
13,8,复旦大学,莱布尼兹惊坐起,9,1571,+1(6),-,-,+4(53),+13(270),+2(296),+1(77),+2(61),+1(237),+1(34),-10,-,+3(157),67%,Gold,刘明君,陆佳艺,高庆麾,N,N
