Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,Dirt,Medal,Unofficial,Girl
40,36,Shandong University,lit. posing for a rotten team,2,110,-5,-,-,-,-1,-,-,-,+1(66),+1(44),-,0%,Bronze,N,N
41,37,Huazhong University of Science and Technology,CATS,2,156,-2,-,-,-1,-3,-,-,-,+1(74),+3(42),-,50%,Bronze,N,N
42,38,Wuhan University of Technology,Team Spirit,2,257,-10,-,-,-5,-,-,-1,-,+3(108),+2(89),-,60%,Bronze,N,N
43,39,Changsha University of Science and Technology,water drop,2,262,-2,-,-,-1,-,-,-,-,+1(97),+2(145),-,33%,Bronze,N,N
44,40,Southwest University of Science and Technology,Magic iron,2,302,-3,-,-,-,-,-,-,-,+5(169),+1(53),-,66%,Bronze,N,N
45,41,Xiamen University, Love Cut List Cut Love,2,304,-,-,-,-2,-,-,-,-,+1(235),+2(49),-,33%,Bronze,N,N
46,,Harbin Engineering University,Boatman no dream mechanical design,2,311,-,-,-,-2,-,-,-,-,+3(167),+2(84),-,60%,Bronze,N,N
47,42,South China Normal University,wide pointer,2,327,-,-,-,-2,-,-,-,-,+3(165),+3(82),-,66%,Bronze,N,N
48,,Huazhong University of Science and Technology,The ACMer I Push,2,332,-,-,-,-1,-,-,-,-,+1(227),+2(85),-,33%,Bronze,N,N
49,43,Shenzhen University,SZU_NicklausWirth,2,344,-2,-,-,-,-,-,-,-,+1(113),+3(191),-,50%,Honorable,N,N
50,44,Guilin University of Electronic Technology,,2,384,-14,-,-,-,-4,-,-,-,+4(185),+3(99),-,71%,Honorable,N,N
51,,City University of Hong Kong,"GenCow, activate!",2,403,-,-,-,-1,-,-,-,-,+5(207),+1(116),-,66%,Honorable,N,N
52,45,"Beijing Institute of Technology, Zhuhai",Dawn,2,479,-,-,-,-,-3,-,-,-,+3(277),+2(142),-,60%,Honorable,N,N
53,,Hong Kong University of Science and Technology,HKUST2,2,505,+7(260),-,-,-,-4,-,-,-,-1,+3(85),-,80%,Honorable,N,N
54,46,South China University of Technology,bb84,2,539,-,-,-,-,-,-,-2,-,+1(255),+5(204),-,66%,Honorable,N,N
55,47,Beijing Normal University - Hong Kong Baptist University United International College,uic.icu,2,558,-,-,-,-,-,-,-,-,+1(180),+12(158),-,84%,Honorable,N,N
56,48,Shanxi University,DropletSky,1,43,-,-,-,-,-,-,-,-,-6,+1(43),-,0%,Honorable,N,N
57,49,GuangDong Polytechnic Normal University,GPNU-1,1,58,-,-,-,-,-,-,-,-,-2,+1(58),-,0%,Honorable,N,N
58,50,Renmin University of China,Fu DanDongliang,1,62,-,-,-,-,-3,-,-,-,-10,+2(42),-,50%,Honorable,N,N
59,51,"Southeast University, China",Invincible zero warrior,1,83,-,-,-,-6,-,-,-,-,-6,+2(63),-,50%,Honorable,N,N
60,52,Foshan University,Remake,1,161,-,-,-,-,-,-,-,-,-2,+3(121),-,66%,Honorable,N,N
61,,South China Normal University,SAC,1,202,-,-,-,-,-,-,-1,-,-8,+3(162),-,66%,Honorable,N,N
62,53,Xinjiang University,Idear,1,213,-,-,-,-,-,-,-,-,-7,+5(133),-,80%,Honorable,N,N
63,54,Northeastern University at Qinhuangdao,"let's go ,icpc!",1,216,-1,-,-,-,-,-,-,-,+2(196),-6,-,50%,Honorable,N,N
64,55,Harbin Institute of Technology at Weihai,Epilogue of Winter,1,220,-,-,-,-1,-2,-,-,-,-3,+2(200),-,50%,Honorable,N,N
65,56,Harbin University of Science and Technology at Rongcheng,penguin,1,239,-,-,-,-,-,-,-,-,+4(179),-,-,75%,Honorable,N,N
66,,University of Macau,op brings me confidence,1,264,-,-,-,-,-,-,-,-,+3(224),-5,-,66%,Honorable,N,N
67,57,Zhejiang Gongshang University,Town's Acceptance Team,1,317,-,-,-,-,-,-,-,-,-4,+5(237),-,80%,Honorable,N,N
68,58,Changshu Institute of Technology,CCZ,1,337,-2,-,-,-,-,-,-,-,+6(237),-20,-,83%,Honorable,N,N
69,59,Shenzhen Technology University,SZTU_Ataglance,1,446,-,-,-,-,-,-,-,-,-9,+10(266),-,90%,Honorable,N,N
70,,Harbin Institute of Technology at Weihai,fufu Fans,1,453,-,-,-,-,-,-,-,-,+9(293),-3,-,88%,Honorable,N,N
71,,University of Macau,1 submission 1 accepted,0,0,-,-,-,-,-,-,-,-,-10,-2,-,0%,Honorable,N,N
71,,The Chinese University of Hong Kong,Android Package,0,0,-1,-1,-1,-3,-5,-1,-1,-1,-1,-9,-1,0%,Honorable,N,N
71,60,Guangdong Medical University,CodeCrushers,0,0,-1,-,-,-,-,-,-,-,-6,-11,-,0%,Honorable,N,N
71,60,Neusoft Institute Guangdong,Coloring the snow,0,0,-,-,-,-,-,-,-,-,-3,-4,-,0%,Honorable,N,N
71,60,NANFANG College at Guangzhou,Fury,0,0,-,-,-,-,-,-,-,-,-1,-8,-,0%,Honorable,N,N
71,60,Jiangsu University of Technology,Loading...,0,0,-,-,-,-,-,-,-,-,-,-1,-,0%,Honorable,N,N
71,60,Software Engineering Institute of Guangzhou,O.o,0,0,-,-,-,-,-,-,-,-,-11,-5,-,0%,Honorable,N,N
71,60,City University of Macau,Perfect Jam,0,0,-,-,-,-,-,-,-,-,-5,-10,-,0%,Honorable,N,N
71,,City University of Macau,Schale,0,0,-,-,-,-,-,-,-,-,-,-3,-,0%,Honorable,N,N
71,60,Shandong Institute of Petroleum and Chemical Technology,Ten years single exchange of a place,0,0,-,-,-,-,-,-,-,-,-5,-7,-,0%,Honorable,N,N
71,60,Huizhou University,The nest of the goldfinch,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,-1,0%,Honorable,N,N
71,,University of Science and Technology of China,"good good code, debug everyday",0,0,-,-,-,-,-,-,-,-,-5,-1,-,0%,Honorable,N,N
