Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,呆呆鸟,9,1096,-1,+1(53),+1(4),+1(129),+1(35),-,-,+3(264),+1(238),+1(43),+2(95),-,+3(135),35%,Gold,王蔚澄,王相文,徐安矣,N,N
2,,北京大学,退学申请的退字怎么写,9,1102,-2,+2(82),+1(7),+1(122),+2(76),-,-,+8(245),+1(189),+2(50),+1(95),-,+1(36),52%,Gold,朱羿恺,孟煜皓,南天放,N,N
3,,北京大学,大黄鸭信徒,9,1341,-,+1(126),+1(11),+1(47),+1(20),-,-,+5(249),+1(169),+1(36),+3(64),-,+12(279),65%,Gold,陈知轩,孙嘉伟,张记僖,N,N
4,2,北京交通大学,羊羊羊,9,1426,-,+1(183),+2(21),+4(203),+1(57),-,-,+3(255),+4(289),+1(52),+2(92),-,+2(54),55%,Gold,郭昱哲,夏鹤鸣,斯修远,N,N
5,3,上海交通大学,逆命,8,1027,-,+1(69),+1(4),+3(171),+3(72),-,-1,+6(286),-4,+1(36),+1(85),-,+1(124),52%,Gold,杨宗翰,张明驰,张建军,N,N
6,4,国防科技大学,自然选择号,8,1038,-,+2(269),+1(4),+3(169),+1(26),-,-,+3(221),-,+2(40),+1(82),-,+1(107),42%,Gold,亢世嘉,王子恒,吴佳英,N,N
7,5,杭州电子科技大学,对称起源,8,1155,-,+4(68),+1(6),+3(264),+1(35),-,-,-8,+2(165),+1(43),+5(155),-,+2(199),57%,Gold,马文浩,何卓锟,胡昊,N,N
8,6,复旦大学,有密码,8,1219,-,+1(112),+1(7),+1(288),+1(77),-,-,-,+3(263),+1(58),+1(137),-,+1(237),20%,Gold,马成,刘皓蓝,陈可汗,N,N
9,7,北京邮电大学,三只蒟蒻,7,804,-,+1(225),+1(3),+2(111),+2(27),-,-,+4(231),-2,+1(36),+1(71),-,-3,41%,Gold,区庆亮,王佳禾,鲍睿钊,N,N
10,8,中国科学技术大学,USTC摸鱼队,7,971,-,+1(180),+2(21),-,+1(65),-,-,-,+4(89),+1(66),+2(97),-,+6(253),58%,Gold,温家睿,陈凌峰,林度,N,N
11,9,东南大学,不休独舞,7,979,-,+1(211),+1(13),+3(173),+1(84),-,-,-,+2(265),+1(89),+2(64),-,-,36%,Gold,戚雨林,王希陶,张皓,N,N
12,,北京大学,我有鱼鱼症,7,1014,-,+2(176),+1(18),+1(297),+2(44),-,-,-,+2(251),+3(70),+1(58),-,-,41%,Gold,魏琳轩,周佳仪,朱厚源,N,N
13,10,浙江大学,Prismatic Encore,7,1016,-,+3(190),+1(9),-3,+1(35),-,-,+5(237),-1,+4(54),+5(75),-,+3(116),68%,Gold,唐嘉辰,李昌栋,黎伟诺,N,N
14,,浙江大学,随机过题军团,7,1055,-,+2(185),+1(17),+3(217),+1(87),-,-,-,+3(295),+1(46),+1(108),-,-,41%,Gold,吴浩,施雨航,杨远航,N,N
15,11,哈尔滨工业大学,玩原神玩的,7,1116,-,+9(291),+1(8),+6(140),+2(23),-,-,-,-4,+2(31),+3(66),-,+4(157),74%,Gold,祁展华,杜沛键,杨一凡,N,N
16,12,中南大学,美滋滋,7,1217,-,-,+3(29),+1(280),+1(76),-,-,-,+1(256),+1(93),+4(122),-,+2(241),46%,Gold,周卓,江天运,易光廷,N,N
17,13,电子科技大学,UESTC_篝月明火,6,603,-,+1(229),+1(9),-,+1(40),-,-,-,-,+1(44),+1(61),-,+3(180),25%,Gold,彭帅康,陈奕可,李奕聪,N,N
18,14,华中科技大学,双爸扶,6,708,-,+3(184),+1(9),-7,+1(56),-,-,-,-,+1(44),+1(80),-,+5(215),50%,Gold,汪文卓,金城根,杨治,N,N
19,,上海交通大学,蒸蒸日上,6,742,-2,-,+1(8),-2,+1(88),-,-,-,+1(161),+2(75),+2(112),-,+2(238),33%,Gold,赵鹏宏,吴之琛,曹倍铭,N,N
20,15,山东大学,攻击性没有还低能的要死,6,755,-,-,+1(17),+1(173),+1(55),-,-,-,-,+2(53),+3(118),-,+3(239),45%,Gold,周何,王在烜,李增,N,N
21,16,北京师范大学,内测度,6,756,-,-2,+1(10),+1(243),+2(43),-,-,-,-,+1(46),+1(186),-,+1(208),14%,Gold,何佳文,李鼎懋,林靖轩,N,N
22,17,北京理工大学,秋秋粉丝团,6,773,-,-,+2(20),-,+1(64),-,-,+4(206),-,+2(41),+3(112),-,+3(150),60%,Gold,于瀚文,李坚辉,张程,N,N
23,18,中山大学,中山大学_N/A,6,782,-,+3(100),+1(11),-4,+1(117),-,-,-,-1,+1(38),+5(183),-,+2(193),53%,Gold,苏律硕,张周骁,黄秋铭,N,N
24,19,武汉大学,放学后茶会,6,796,-,+1(261),+1(4),-2,+1(53),-,-,-,-,+2(75),+2(162),-,+1(201),25%,Gold,郑寒友,张弛,厉汪扬,N,N
25,,武汉大学,Still Alive,6,808,-1,+2(254),+1(4),-6,+1(84),-,-,-,-,+1(53),+2(128),-,+3(205),40%,Gold,刘锡锐,吴飞洋,徐嘉浩,N,N
26,,浙江大学,复仇之魂,6,829,-,-,+2(22),-,+1(54),-,-,-,+4(298),+1(40),+2(137),-,+1(178),45%,Gold,张志心,楼沁霈,周遥,N,N
27,20,浙江农林大学,这个彬彬交题超勇的,6,841,-,-,+1(10),-,+2(134),-,-,-,+1(107),+1(52),+2(202),-,+1(296),25%,Gold,王健彬,倪铂涵,朱蕴仪,N,N
28,21,湘潭大学,金色时代,6,860,-,-1,+1(8),-,+5(104),-,-,-5,+3(211),+1(51),+1(112),-,+2(234),53%,Gold,付有鑫,李子熙,田楚天,N,N
29,22,北京航空航天大学,会挽雕弓如满月,6,871,-,-,+1(14),-,+2(75),-,-,+3(297),-2,+2(49),+1(108),-,+4(188),53%,Gold,傅可树,梁钧著,马一,N,N
30,23,中国人民大学,嘉然今天创什么,6,895,-,-,+2(10),-,+1(80),-,-,+5(292),-,+1(104),+3(85),-,+1(184),53%,Silver,陈志朋,汪元森,李林豇,N,N
31,,北京航空航天大学,这是一场豪赌,6,897,-,+2(266),+1(6),-,+1(70),-,-,-,+3(242),+2(45),+4(128),-,-,53%,Silver,吴昊恒,李秉翰,董雨润,N,N
32,24,南京理工大学,流满猫猫头,6,907,-,+1(270),+1(17),-,+1(52),-,-,-,-,+1(87),+1(146),-,+3(295),25%,Silver,何丰辰,王一萌,丁则文,N,N
33,,中国科学技术大学,樱吹雪,6,926,-,-,+1(26),-1,+2(166),-,-,-,+3(204),+2(51),+1(78),-,+3(281),50%,Silver,杨思汗,黄盛唐,刘畅,N,N
34,25,哈尔滨工业大学（深圳）,春日霜影,6,941,-,-,+2(13),-,+1(42),-,-,-,+4(288),+2(49),+4(76),-,+7(193),70%,Silver,梁彬,孙宇开,羊柯伍,N,N
35,26,广东工业大学,绿豆沙,6,966,-,-1,+1(14),+8(244),+2(62),-,-,-,-,+2(67),+3(126),-,+2(213),66%,Silver,林俊耿,杨子弘,肖能翔,N,N
36,27,西湖大学,原神，启动,6,974,-,-,+1(7),-,+1(94),-,-,-,+2(297),+3(60),+2(127),-,+2(289),45%,Silver,王宇皓,周扬帆,楼鑫浩,N,N
37,28,大连理工大学,二保一,6,1009,-,+1(250),+1(7),-,+4(112),-,-,-,-,+2(65),+2(157),-,+4(258),57%,Silver,陈常杰,袁振,闫希良,N,N
38,29,南京大学,太平,6,1027,-,-,+1(11),+1(267),+1(52),-,-,-15,-,+2(80),+4(170),-,+5(287),57%,Silver,陈昊洋,黄可唯,王恺翔,N,N
39,30,华东师范大学,东方homo馆,6,1179,-,-,+1(9),+14(299),+3(65),-,-,-,-,+2(51),+2(122),-,+2(273),75%,Silver,漆宇祥,范晨阳,余东桦,N,N
40,,山东大学,世伊鸾涧渊,6,1235,-,+2(298),+1(12),-,+6(279),-,-,-,-,+1(54),+1(253),-,+2(199),53%,Silver,许蕴朴,陈子载,俞程,N,N
41,31,福州大学,西南饺子馆,5,449,-,-,+1(20),+3(195),+1(59),-,-,-,-,+1(49),+1(86),-,-10,28%,Silver,陈昊旸,邓宇凡,庄佳霖,N,N
42,32,南京信息工程大学,牧濑红莉栖,5,477,-,+1(171),+1(5),-,+3(84),-,-,-,-,+1(66),+1(111),-,-,28%,Silver,马天顺,徐凡明,林思程,N,N
43,33,吉林大学,Nan上加Nan,5,497,-,-3,+1(8),-,+2(62),-,-,-,-,+1(82),+2(100),-,+3(165),44%,Silver,周宇恒,方涵斌,李祯浩,N,N
44,34,武汉科技大学,RELX锐刻幻影Pro,5,498,-,-2,+1(16),-,+2(61),-,-,-,-,+1(60),+1(98),-,+2(223),28%,Silver,肖依如,孙煜恒,聂泽锴,N,N
45,35,哈尔滨理工大学,哈理工02队SY,5,500,-,-4,+1(8),-,+1(100),-,-,-,-1,+2(48),+1(54),-,+3(230),37%,Silver,吕锦泽,王开纪,王令开,N,N
