Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
434,,东南大学成贤学院,在铜川吃烤全羊,2,207,+2(58),,,,+2(109),,,,,-2,,,
435,,西藏民族大学,秦汉二,2,210,+1(60),,,,+1(150),,,,,-1,,,
436,,陕西师范大学,bronze==win,2,211,+2(77),,,,+1(114),,,,,-3,-2,,
437,,辽宁大学,小黄鸭,2,227,+1(50),,,-1,+3(137),,,,,-4,-5,,
438,,重庆移通学院,赛高泥嗨铁鸭子哒,2,229,+2(57),-3,,,-8,,,,,+3(112),-1,,
439,,广西大学,海底捞金,2,249,+4(91),,,,+2(78),,,,,-5,-4,,
440,,广东财经大学,dolls machines,2,279,+2(46),-2,,,+6(113),,,,,-4,,,
441,,兰州理工大学,小王子队,2,280,+4(137),,,,+1(83),,,,,-3,,,
442,,青岛农业大学,三只小蜜蜂,2,284,+2(34),,,,+4(170),,,,,-3,-3,,
443,,重庆移通学院,搏击长空,2,293,+5(76),,,,+2(117),,,,,-2,,,
444,,中原工学院,十五月夜,2,294,+3(64),,,,-13,,,,,+3(150),-2,,
445,,东南大学,一拳一个AC怪,2,310,+4(91),,,,+2(139),,,,,-10,-1,,
446,,南昌理工学院,如寄,2,311,+3(55),,,,-20,,,,,+4(156),-1,,
447,,中国海洋大学,电脑没有显卡能打ACM吗,2,321,+1(25),,,-2,-32,,,,,+5(216),-4,,
448,,宁夏大学,宁五,2,329,+4(102),,,,+2(147),,,,,-2,,,
449,,中国海洋大学,谁还在买gta啊,2,330,+3(116),,,,+2(154),,,,,,-2,,
450,,西安明德理工学院,533 bug机,2,337,+2(103),,,,-9,,,,,+1(214),,,
451,,东华理工大学,嘟嘟可在哪里,2,349,+2(47),,,,+2(262),,,,,-11,,,-1
452,,信息工程大学,强人索楠,2,369,+4(57),,,,+4(192),,,,,-2,-1,,
453,,贵州大学,请给我们一个铜牌,2,401,+1(29),,,,+6(272),,,,,,-1,,
454,,上海工程技术大学,松江斯坦福,2,415,+3(203),,,,+4(112),,,,,-1,,,
455,,东华理工大学,破晓,2,416,+6(245),,,,+1(71),,,,,-20,,,
456,,西藏民族大学,秦汉一,2,431,-8,,,,+3(92),,,,,+2(279),,,
457,,成都工业学院,听说拿牌队长就女装,2,435,+6(206),,,-1,+1(129),,,,,,,,
458,,海南师范大学,编程的海狮,2,477,+3(196),,,,-9,,,,,+3(201),,,
459,,南昌大学,cyl欠他队友一顿烤肉,2,489,+6(142),-5,,,+6(147),,,,,-5,,,
459,,石家庄铁道大学,xlf的航空母舰,2,489,+7(194),,,,+4(115),,,,,-7,-1,,
461,,湖南人文科技学院,拜托给个牌,2,504,+2(47),,,,-19,,,,,+9(277),,,
462,,鲁东大学,卓越工程师,2,525,+4(153),,,,-2,,,,,+5(232),-1,,
463,,上海海事大学,崩坏永存,2,530,+3(139),,,,+8(211),,,,,-5,-6,,
464,,北京电子科技学院,草原上的王者,2,533,+4(191),,,,-4,,,,,+3(242),,,
465,,宁夏大学,宁二,2,624,+7(123),,,,+6(281),,,,,-5,-3,,
466,,广西师范大学,三个臭皮匠,2,627,+4(208),,,-10,+6(259),,,,,,-2,,
467,,宜春学院,连牌子都保不住，怎么保护丘丘人,2,656,-9,,,,+4(252),,,,,+8(204),-1,,
468,,徐州工程学院,啪的一下就过了,2,665,+3(294),,,,-8,,,,,+7(211),,,
469,,浙江财经大学,读题困难户,1,62,+1(62),,,,-12,,,,,-6,-3,,
470,,湖北经济学院,汤逊湖畔,1,118,+3(78),,,,-3,,,,,-6,,,
471,,上海海事大学,用毒毒毒蛇会不会被毒毒死啊,1,130,+3(90),,,,-4,,,,,-9,-1,,
472,,贵州民族大学,求爸爸给个铜吧,1,132,+1(132),-2,-2,-3,-1,-3,-1,-3,-2,-1,-3,-1,-1
473,,内蒙古科技大学,Are you OK,1,140,+3(100),,,,-8,,,,,-13,,,
474,,金华职业技术学院,白狗苍云,1,154,-11,-2,,,-8,,,,,+4(94),,,
475,,上海应用技术大学,下次一定起飞队,1,160,+2(140),,,,,,,,,-12,,,
476,,通化师范学院,我都行,1,161,+4(101),,,,-2,,,,,,,,
477,,宁夏大学,宁三,1,181,-4,,,,+3(141),,,,,,,,
478,,石河子大学,天马行空队,1,216,-5,,,,+3(176),,,,,-2,,,
479,,内蒙古师范大学,IMNU,0,0,-6,,,,-3,,,,,,,,-1
479,,陕西师范大学,The attacking team,0,0,-3,,,,-2,,,,,,-2,,
479,,北方民族大学,UTF杠八,0,0,-7,,,,,,,,,-4,,,
479,,上海建桥学院,三个有很多头发的臭皮匠,0,0,-2,,,-5,-6,,,,,-1,,,-2
479,,湖北中医药大学,人均身高180,0,0,-14,,,,,,,,,-3,-1,,
479,,内蒙古农业大学职业技术学院,内农大职院,0,0,-7,,,-1,,,,,,,,,
479,,贵州师范学院,我们都是来打酱油，学习的,0,0,-12,,,,-3,,,,-1,,,,
479,,黔南民族师范学院,明天,0,0,-3,,,,,,,,,-3,,,
479,,北京大学,校门外歪脖树上的鸽子,0,0,,,,,,,,,,,,,
479,,北方民族大学,水之边,0,0,-3,,,,-1,,,,,,,,
479,,西藏民族大学,秦汉三,0,0,,,,,-4,,,,,,,,
479,,郑州升达经贸管理学院,铜锣湾,0,0,-5,,,,-2,,,,,,,,
479,,安徽建筑大学,非应急食品,0,0,-5,,,-1,-2,,,,,-1,,-1,
