Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K
80,,Shandong University,NanTong comes to me,2,153,+1(29),,,,,-12,,,,,+2(103)
81,,Guangdong University of Technology,GDUT_Uni-Grade Fleet,2,173,+2(53),,-7,,,-6,,,,,+1(100)
82,,Macau University of Science and Technology,MUST AC Machine,2,193,+1(65),,,,,-4,,,,,+1(128)
83,,Changshu Institute of Technology,Top order spirit,2,195,+2(45),,,,,-4,,,,,+1(129)
84,,South China Normal University,"let's go,rookies",2,199,+1(90),-1,,,,-15,,,,,+1(109)
85,,South China Normal University,Is delaying class until 10:30pm to cultivate feelings?,2,207,+1(37),,,,,-3,,,,,+4(109)
86,,Zhejiang University of Science & Technology,fansOfJYF,2,209,+1(26),-1,-14,-1,,+1(183),,,,,-11
87,,Hangzhou Normal University,still naïve,2,233,+1(22),,,,,-15,,,,,+4(151)
88,,Peking University,ordinary but confident,2,254,+4(66),,-5,,-5,,,,,,+2(107)
89,,Northeastern University at Qinhuangdao,Time is quite enough,2,286,+4(144),,-1,,,-1,,,,,+1(81)
90,,Northeastern University at Qinhuangdao,Our coach can’t write sign in questions,2,295,+1(41),,,,,-17,,,,,+1(253)
91,,Wuhan University of Technology,CONTEST=A NEW GARMENT,2,331,+3(145),,,,,-13,,,,,+3(105)
92,,Neusoft Institute Guangdong,Three GG Two,2,370,+3(70),,,,,-17,,,,,+4(200)
93,,Zhengzhou University,The sniper had,2,382,+5(61),,,,-3,+1(241),,,,,
94,,Civil Aviation University of China,Trip in three,2,424,+3(95),,,,,+1(288),,,,,-2
95,,Hong Kong University of Science and Technology,HKUST3,2,444,+5(66),,,,,-10,,,,,+7(178)
96,,South-Central Minzu University,Full Combo,2,498,+5(164),,,,,-8,,,,,+1(253)
97,,Wuhan University of Technology,Have Happy Together Enjoy Have Hard Together Back Team,2,615,+10(193),,-6,,,+1(242),,,-2,,
98,,Zhejiang University of Science & Technology,sleeping in a jam,2,640,-7,,,,,+5(263),,,,,+6(196)
99,,SouthWest Minzu University,Schrodinger’s Wrong Answer,1,139,+3(99),,,,,-5,,,,,
100,,South-Central Minzu University,ECHO,1,251,+6(151),,,,,,,,,,
101,,Hefei University,Three Squirrels,1,320,+11(120),,,,,,-1,,-2,,-1
102,,Macau University of Science and Technology,404,1,342,-7,,,,,,,,,,+6(242)
103,,City University of Macau,WATS,0,0,-4,,,,,,,,,,-10
103,,Hong Kong Polytechnic University,POLYU1,0,0,-1,,,,,,-19,-1,,,
103,,Hong Kong Polytechnic University,polymer,0,0,-1,,,,,,,,,,
103,,University of Macau,Look For Sponsor,0,0,,,,,-7,-8,,,,,
103,,University of Macau,MOva,0,0,-3,,-5,,-1,-1,,,,,
103,,University of Macau,Never gonna give you up,0,0,,,,,-9,-8,-3,,,,
103,,Quanzhou University of Information Engineering,quie2021,0,0,-2,,,,,-3,,,,,
