Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
30,22,南京理工大学,立一摸断平三色猫猫头,7,1000,+1(91),-,+1(17),+3(231),+7(279),-,+1(26),+2(123),-,-2,-,-,+1(53),56%,Silver,郭佳樊,金朝哲,陈一涵,N,N
31,23,安徽大学,融合巨怪,7,1046,+1(108),-,+1(24),+9(263),+6(246),-,+1(29),+1(64),-,-4,-1,-,+1(52),65%,Silver,李骋,罗欣然,闵烁,N,N
32,24,西南财经大学,前进！冲击！突破！,7,1084,+2(66),-,+1(39),+12(287),+8(167),-,+1(28),+1(68),-,-4,-,-,+2(29),74%,Silver,张硕,杨文昊,钟明汉,N,N
33,25,南方科技大学,南方科技大学 - 枫丹白露,7,1222,+2(179),-,+1(19),+6(293),+1(234),-,+1(25),+1(101),-,-,-2,-,+3(211),53%,Silver,严翔羽,何俞均,陈明志,N,N
34,26,湘潭大学,不起眼 AC 的养成方法,7,1273,+5(242),-,+1(18),+5(257),+2(291),-,+1(28),+1(82),-,-4,-,-,+4(115),63%,Silver,田楚天,肖志林,胡梁宇,N,N
35,,中山大学,中山大学_破晓,6,331,+1(20),-,+1(24),-16,+1(105),-,+1(34),+1(70),-,-1,-,-,+1(78),0%,Silver,古鸣浩,吴景图,欧梓洋,N,N
36,,南方科技大学,南方科技大学 - 敦刻尔克,6,441,+1(126),-,+1(26),+1(156),-6,-,+1(35),+2(17),-,-5,-,-,+1(61),14%,Silver,邓清文,陈天乐,黄少霖,N,N
37,27,华中科技大学,偏远小渔村传统弱校,6,468,+1(66),-1,+1(16),-9,+2(197),-,+1(23),+1(39),-,-2,-,-,+1(107),14%,Silver,李明翰,李根,陈贤坤,N,N
38,,香港中文大学（深圳）,龙大相遇，快乐划水,6,536,+2(126),-,+1(17),-10,+2(165),-,+2(42),+1(55),-,-,-,-,+1(71),33%,Silver,夏禹扬,蒋一歌,赵子逸,N,N
39,,清华大学,邦邦锵,6,593,+1(171),-,+1(20),-4,+2(177),-,+1(34),+2(79),-,-2,-,-,+2(52),33%,Silver,俞跃,蔡欣然,郭士尧,N,N
40,28,浙江工业大学,铁华团,6,624,+3(179),-,+2(19),+4(170),-6,-,+1(35),+1(56),-,-1,-,-,+1(45),50%,Silver,李汶芝,王瑞,王路,N,N
41,29,北京理工大学,所以爱会消失对不队,6,646,-,-,+1(11),+3(152),+2(224),-,+1(26),+1(69),-,-,-,-,+1(104),33%,Silver,刘艺程,周宇傲,张智博,N,N
42,30,西北工业大学,只能说，啊，该摸了,6,649,+3(159),-,+1(20),-8,+3(186),-,+1(28),+1(54),-,-7,-,-,+2(102),45%,Silver,徐浩洋,汪梁森,管孙笛,N,N
43,31,河海大学常州校区,几何杀手,6,652,+1(85),-,+2(32),-9,+4(223),-,+1(41),+1(87),-,-1,-1,-,+1(104),40%,Silver,俞天骋,孙嘉昊,王英吉,N,N
44,32,苏州大学,金闪闪,6,663,+1(113),-,+1(18),+6(257),-7,-,+1(24),+1(59),-,-,-,-,+1(92),45%,Silver,周进一,肖锦嗣,韩则进,N,N
45,33,长春理工大学,一次就好,6,695,+2(143),-,+1(28),-6,+1(237),-,+1(43),+1(80),-,-3,-,-,+2(124),25%,Silver,周泊宇,王大睿,郝良友,N,N
46,34,华中师范大学,烧冻鸡翅,6,708,+1(183),-,+1(16),-9,+2(270),-,+1(33),+1(47),-,-,-,-,+2(119),25%,Silver,熊吉祥,郭子寒,钟鸣,N,N
47,,南方科技大学,南方科技大学 - 图卢兹,6,722,+2(248),-,+1(24),-7,+1(284),-,+1(36),+1(48),-,-,-2,-,+1(62),14%,Silver,孔繁初,李开,王德涵,N,N
